 ;Direktverbrauch / Mittelwerte [W] ;Batterieentladung / Mittelwerte [W] ;Netzbezug / Mittelwerte [W] ;Gesamtverbrauch / Mittelwerte [W] ;Netzeinspeisung / Mittelwerte [W] ;Direktverbrauch / Mittelwerte [W]  ;Batterieladung / Mittelwerte [W]  ;PV-Erzeugung / Mittelwerte [W]  ;Begrenzung der Wirkleistungseinspeisung / Mittelwerte [W]  
"=""00:15""";0;64;0;64;0;0;0;0;4.158
"=""00:30""";0;93;0;93;0;0;0;0;4.158
"=""00:45""";0;91;0;91;0;0;0;0;4.158
"=""01:00""";0;81;0;81;0;0;0;0;4.158
"=""01:15""";0;91;0;91;0;0;0;0;4.158
"=""01:30""";0;110;0;110;0;0;0;0;4.158
"=""01:45""";0;95;0;95;0;0;0;0;4.158
"=""02:00""";0;104;0;104;0;0;0;0;4.158
"=""02:15""";0;103;0;103;0;0;0;0;4.158
"=""02:30""";0;75;1;75;1;0;0;0;4.158
"=""02:45""";0;76;0;76;0;0;0;0;4.158
"=""03:00""";0;111;0;111;0;0;0;0;4.158
"=""03:15""";0;89;0;89;0;0;0;0;4.158
"=""03:30""";0;81;0;81;0;0;0;0;4.158
"=""03:45""";0;120;0;120;0;0;0;0;4.158
"=""04:00""";0;124;0;124;0;0;0;0;4.158
"=""04:15""";0;105;0;105;0;0;0;0;4.158
"=""04:30""";0;99;0;99;0;0;0;0;4.158
"=""04:45""";0;103;0;102;1;0;0;0;4.158
"=""05:00""";0;74;0;75;0;0;0;0;4.158
"=""05:15""";0;82;0;82;0;0;0;0;4.158
"=""05:30""";0;112;0;112;0;0;0;0;4.158
"=""05:45""";0;85;1;85;1;0;0;0;4.158
"=""06:00""";0;73;0;73;0;0;0;0;4.158
"=""06:15""";0;106;0;106;0;0;0;0;4.158
"=""06:30""";54;45;0;99;0;54;0;54;4.158
"=""06:45""";98;0;0;98;57;98;0;155;4.158
"=""07:00""";106;0;0;106;193;106;0;299;4.158
"=""07:15""";96;0;0;96;494;96;0;590;4.158
"=""07:30""";76;0;0;76;779;76;0;855;4.158
"=""07:45""";77;0;0;77;1.071;77;0;1.148;4.158
"=""08:00""";617;119;29;764;860;617;0;1.477;4.158
"=""08:15""";207;0;5;212;1.587;207;0;1.794;4.158
"=""08:30""";93;0;0;93;2.008;93;0;2.101;4.158
"=""08:45""";240;0;0;240;2.165;240;0;2.405;4.158
"=""09:00""";68;0;0;68;2.693;68;0;2.761;4.158
"=""09:15""";252;0;0;252;2.744;252;0;2.996;4.158
"=""09:30""";135;0;0;135;3.107;135;0;3.242;4.158
"=""09:45""";163;0;0;163;3.280;163;0;3.443;4.158
"=""10:00""";139;0;0;139;3.526;139;0;3.665;4.158
"=""10:15""";891;0;0;891;2.997;891;0;3.888;4.158
"=""10:30""";326;0;0;326;3.735;326;0;4.061;4.158
"=""10:45""";230;0;0;230;3.980;230;0;4.210;4.158
"=""11:00""";265;0;0;265;4.077;265;0;4.342;4.158
"=""11:15""";268;0;0;268;2.265;268;1.905;4.438;4.158
"=""11:30""";249;0;0;249;2.053;249;2.207;4.508;4.158
"=""11:45""";232;0;0;232;1.908;232;2.406;4.546;4.158
"=""12:00""";246;0;0;246;2.323;246;2.040;4.609;4.158
"=""12:15""";263;0;0;263;3.233;263;1.171;4.667;4.158
"=""12:30""";227;0;0;227;3.505;227;997;4.729;4.158
"=""12:45""";260;0;0;260;3.705;260;756;4.720;4.158
"=""13:00""";259;0;0;259;3.882;259;566;4.707;4.158
"=""13:15""";225;0;0;225;3.904;225;546;4.676;4.158
"=""13:30""";238;0;0;238;3.435;238;927;4.599;4.158
"=""13:45""";232;0;0;232;4.063;232;245;4.539;4.158
"=""14:00""";433;0;2;435;3.521;433;522;4.475;4.158
"=""14:15""";1.607;0;0;1.607;2.767;1.607;7;4.380;4.158
"=""14:30""";924;0;0;924;3.380;924;0;4.304;4.158
"=""14:45""";313;0;7;320;2.727;313;1.098;4.139;4.158
"=""15:00""";172;0;0;172;3.810;172;3;3.985;4.158
"=""15:15""";232;0;0;232;3.573;232;0;3.805;4.158
"=""15:30""";259;0;0;259;3.376;259;0;3.635;4.158
"=""15:45""";246;0;0;246;2.275;246;0;2.521;4.158
"=""16:00""";257;0;0;257;3.046;257;0;3.303;4.158
"=""16:15""";294;0;0;294;2.939;294;0;3.233;4.158
"=""16:30""";318;0;0;318;2.328;318;0;2.646;4.158
"=""16:45""";271;0;0;271;2.291;271;0;2.562;4.158
"=""17:00""";265;0;3;269;1.734;265;253;2.253;4.158
"=""17:15""";273;0;0;273;1.675;273;0;1.948;4.158
"=""17:30""";413;0;1;415;1.264;413;0;1.677;4.158
"=""17:45""";403;0;4;407;960;403;0;1.363;4.158
"=""18:00""";190;0;0;190;876;190;0;1.066;4.158
"=""18:15""";572;840;104;1.516;31;572;152;754;4.158
"=""18:30""";444;381;62;886;67;444;47;558;4.158
"=""18:45""";269;48;104;421;72;269;21;362;4.158
"=""19:00""";139;1.154;117;1.410;102;139;1;242;4.158
"=""19:15""";98;344;33;475;36;98;59;193;4.158
"=""19:30""";117;0;1;118;1;117;49;167;4.158
"=""19:45""";90;0;1;91;1;90;55;146;4.158
"=""20:00""";79;0;1;80;1;79;44;124;4.158
"=""20:15""";67;12;15;94;0;67;22;89;4.158
"=""20:30""";39;52;1;91;1;39;0;39;4.158
"=""20:45""";0;409;12;419;8;0;0;6;4.158
"=""21:00""";0;1.535;3;1.531;7;0;0;0;4.158
"=""21:15""";0;1.038;7;1.042;3;0;0;0;4.158
"=""21:30""";0;2.148;6;2.149;5;0;0;0;4.158
"=""21:45""";0;458;3;455;5;0;0;0;4.158
"=""22:00""";0;564;8;566;5;0;0;0;4.158
"=""22:15""";0;1.924;7;1.922;9;0;0;0;4.158
"=""22:30""";0;688;7;688;7;0;0;0;4.158
"=""22:45""";0;401;3;401;3;0;0;0;4.158
"=""23:00""";0;389;4;388;4;0;0;0;4.158
"=""23:15""";0;394;4;395;3;0;0;0;4.158
"=""23:30""";0;353;3;352;3;0;0;0;4.158
"=""23:45""";0;288;2;288;2;0;0;0;4.158
"=""00:00""";0;249;3;249;3;0;0;0;4.158
