 ;Direktverbrauch / Mittelwerte [W] ;Batterieentladung / Mittelwerte [W] ;Netzbezug / Mittelwerte [W] ;Gesamtverbrauch / Mittelwerte [W] ;Netzeinspeisung / Mittelwerte [W] ;Direktverbrauch / Mittelwerte [W]  ;Batterieladung / Mittelwerte [W]  ;PV-Erzeugung / Mittelwerte [W]  ;Begrenzung der Wirkleistungseinspeisung / Mittelwerte [W]  
"=""00:15""";0;188;2;188;2;0;0;0;4.158
"=""00:30""";0;160;2;160;2;0;0;0;4.158
"=""00:45""";0;143;1;143;1;0;0;0;4.158
"=""01:00""";0;120;2;120;2;0;0;0;4.158
"=""01:15""";0;125;0;124;0;0;0;0;4.158
"=""01:30""";0;100;0;101;0;0;0;0;4.158
"=""01:45""";0;104;0;104;0;0;0;0;4.158
"=""02:00""";0;110;0;110;0;0;0;0;4.158
"=""02:15""";0;82;0;81;0;0;0;0;4.158
"=""02:30""";0;85;1;86;0;0;0;0;4.158
"=""02:45""";0;109;0;108;0;0;0;0;4.158
"=""03:00""";0;93;0;93;0;0;0;0;4.158
"=""03:15""";0;74;0;74;0;0;0;0;4.158
"=""03:30""";0;111;0;111;0;0;0;0;4.158
"=""03:45""";0;100;0;100;0;0;0;0;4.158
"=""04:00""";0;104;0;103;0;0;0;0;4.158
"=""04:15""";0;93;0;93;0;0;0;0;4.158
"=""04:30""";0;98;0;98;0;0;0;0;4.158
"=""04:45""";0;65;0;65;0;0;0;0;4.158
"=""05:00""";0;85;0;85;0;0;0;0;4.158
"=""05:15""";0;121;0;121;0;0;0;0;4.158
"=""05:30""";0;65;1;65;1;0;0;0;4.158
"=""05:45""";0;75;0;75;0;0;0;0;4.158
"=""06:00""";0;93;0;93;0;0;0;0;4.158
"=""06:15""";28;65;0;93;0;28;0;28;4.158
"=""06:30""";71;25;3;98;0;71;0;71;4.158
"=""06:45""";125;0;1;127;2;125;152;279;4.158
"=""07:00""";90;0;2;92;2;90;327;419;4.158
"=""07:15""";158;0;4;162;3;158;227;388;4.158
"=""07:30""";213;15;3;231;3;213;102;319;4.158
"=""07:45""";281;223;16;520;13;281;322;616;4.158
"=""08:00""";985;818;31;1.834;30;985;92;1.106;4.158
"=""08:15""";1.055;1.139;35;2.229;34;1.055;144;1.233;4.158
"=""08:30""";999;749;525;2.272;15;999;6;1.020;4.158
"=""08:45""";483;79;790;1.351;30;483;184;697;4.158
"=""09:00""";386;54;48;488;50;386;1.814;2.251;4.158
"=""09:15""";264;0;25;288;24;264;842;1.129;4.158
"=""09:30""";315;0;12;327;11;315;338;664;4.158
"=""09:45""";285;0;18;304;17;285;688;991;4.158
"=""10:00""";226;0;60;286;282;226;2.876;3.383;4.158
"=""10:15""";224;0;25;248;491;224;3.534;4.248;4.158
"=""10:30""";270;0;36;306;325;270;1.807;2.402;4.158
"=""10:45""";351;15;8;374;7;351;206;564;4.158
"=""11:00""";180;0;23;203;241;180;1.428;1.848;4.158
"=""11:15""";211;0;34;245;377;211;2.185;2.774;4.158
"=""11:30""";201;0;16;217;75;201;1.437;1.714;4.158
"=""11:45""";207;0;4;211;304;207;1.087;1.598;4.158
"=""12:00""";620;0;0;620;3.669;620;87;4.376;4.158
"=""12:15""";1.309;1.085;138;2.532;1.362;1.309;0;2.671;4.158
"=""12:30""";0;2.101;224;2.286;162;0;0;123;4.158
