 ;Direktverbrauch / Mittelwerte [W] ;Batterieentladung / Mittelwerte [W] ;Netzbezug / Mittelwerte [W] ;Gesamtverbrauch / Mittelwerte [W] ;Netzeinspeisung / Mittelwerte [W] ;Direktverbrauch / Mittelwerte [W]  ;Batterieladung / Mittelwerte [W]  ;PV-Erzeugung / Mittelwerte [W]  ;Begrenzung der Wirkleistungseinspeisung / Mittelwerte [W]  
"=""00:15""";0;97;1;97;1;0;0;0;4.158
"=""00:30""";0;103;0;103;0;0;0;0;4.158
"=""00:45""";0;61;0;61;0;0;0;0;4.158
"=""01:00""";0;86;1;86;0;0;0;0;4.158
"=""01:15""";0;129;0;129;0;0;0;0;4.158
"=""01:30""";0;77;1;77;1;0;0;0;4.158
"=""01:45""";0;86;0;86;0;0;0;0;4.158
"=""02:00""";0;103;0;104;0;0;0;0;4.158
"=""02:15""";0;112;0;112;1;0;0;0;4.158
"=""02:30""";0;94;0;94;0;0;0;0;4.158
"=""02:45""";0;108;0;108;0;0;0;0;4.158
"=""03:00""";0;92;0;92;0;0;0;0;4.158
"=""03:15""";0;76;0;76;0;0;0;0;4.158
"=""03:30""";0;63;0;63;0;0;0;0;4.158
"=""03:45""";0;118;0;118;1;0;0;0;4.158
"=""04:00""";0;99;0;99;0;0;0;0;4.158
"=""04:15""";0;65;1;65;0;0;0;0;4.158
"=""04:30""";0;72;0;72;0;0;0;0;4.158
"=""04:45""";0;84;0;84;0;0;0;0;4.158
"=""05:00""";0;83;0;83;0;0;0;0;4.158
"=""05:15""";0;95;0;95;0;0;0;0;4.158
"=""05:30""";0;91;0;91;0;0;0;0;4.158
"=""05:45""";0;100;0;100;1;0;0;0;4.158
"=""06:00""";0;54;1;54;1;0;0;0;4.158
"=""06:15""";0;82;0;82;0;0;0;0;4.158
"=""06:30""";6;86;0;92;0;6;0;6;4.158
"=""06:45""";46;32;1;79;1;46;0;47;4.158
"=""07:00""";70;6;4;80;2;70;0;72;4.158
"=""07:15""";119;14;0;133;2;119;7;128;4.158
"=""07:30""";136;408;15;560;8;136;55;200;4.158
"=""07:45""";159;235;4;398;2;159;58;219;4.158
"=""08:00""";125;0;3;128;3;125;146;274;4.158
"=""08:15""";245;1.306;16;1.567;13;245;35;293;4.158
"=""08:30""";313;1.092;26;1.431;17;313;91;420;4.158
"=""08:45""";665;1.332;11;2.007;15;665;57;736;4.158
"=""09:00""";673;531;24;1.228;22;673;467;1.162;4.158
"=""09:15""";202;56;14;271;15;202;751;968;4.158
"=""09:30""";166;0;12;177;10;166;522;698;4.158
"=""09:45""";172;0;11;183;10;172;627;809;4.158
"=""10:00""";178;0;12;190;11;178;759;948;4.158
"=""10:15""";140;0;11;151;12;140;1.150;1.301;4.158
"=""10:30""";118;0;8;126;8;118;1.235;1.361;4.158
"=""10:45""";132;0;9;141;11;132;1.493;1.635;4.158
"=""11:00""";149;0;10;159;9;149;1.392;1.550;4.158
"=""11:15""";252;0;3;255;4;252;1.196;1.453;4.158
"=""11:30""";128;0;4;131;3;128;1.349;1.480;4.158
"=""11:45""";147;0;4;151;4;147;1.261;1.412;4.158
"=""12:00""";156;0;3;159;3;156;1.171;1.330;4.158
"=""12:15""";121;0;4;125;5;121;1.498;1.624;4.158
"=""12:30""";98;0;2;100;967;98;529;1.594;4.158
"=""12:45""";105;0;0;105;1.988;105;0;2.093;4.158
"=""13:00""";627;0;0;627;1.664;627;0;2.290;4.158
"=""13:15""";55;0;0;55;2.349;55;0;2.404;4.158
"=""13:30""";285;0;0;285;1.217;285;0;1.502;4.158
"=""13:45""";768;49;70;886;231;768;7;1.006;4.158
"=""14:00""";514;8;0;522;335;514;3;852;4.158
"=""14:15""";384;0;9;393;254;384;4;642;4.158
"=""14:30""";220;242;90;552;158;220;207;585;4.158
"=""14:45""";193;0;65;258;228;193;284;705;4.158
"=""15:00""";276;0;44;321;220;276;20;517;4.158
"=""15:15""";342;0;19;361;298;342;18;658;4.158
"=""15:30""";306;0;3;310;422;306;5;733;4.158
"=""15:45""";190;0;0;190;560;190;0;750;4.158
"=""16:00""";271;0;0;271;474;271;0;745;4.158
"=""16:15""";250;0;0;250;527;250;0;777;4.158
"=""16:30""";353;236;13;602;395;353;60;808;4.158
"=""16:45""";326;103;6;435;11;326;444;781;4.158
"=""17:00""";273;0;0;273;484;273;8;765;4.158
"=""17:15""";258;0;0;258;707;258;0;965;4.158
"=""17:30""";289;0;0;289;713;289;0;1.002;4.158
"=""17:45""";241;0;0;241;913;241;0;1.154;4.158
"=""18:00""";244;0;0;244;1.038;244;0;1.282;4.158
"=""18:15""";259;0;0;259;835;259;0;1.094;4.158
"=""18:30""";342;142;64;548;625;342;40;1.007;4.158
"=""18:45""";200;0;3;202;62;200;261;522;4.158
"=""19:00""";267;326;42;635;131;267;1;399;4.158
"=""19:15""";255;152;78;484;68;255;90;413;4.158
"=""19:30""";213;0;5;219;5;213;137;355;4.158
"=""19:45""";177;24;8;209;2;177;7;186;4.158
"=""20:00""";83;314;5;402;5;83;0;88;4.158
"=""20:15""";4;185;5;194;5;4;0;9;4.158
"=""20:30""";0;217;2;217;2;0;0;0;4.158
"=""20:45""";0;230;1;230;1;0;0;0;4.158
"=""21:00""";0;234;3;234;3;0;0;0;4.158
"=""21:15""";0;275;4;275;4;0;0;0;4.158
"=""21:30""";0;200;1;200;1;0;0;0;4.158
"=""21:45""";0;1.997;5;2.001;1;0;0;0;4.158
"=""22:00""";0;770;3;766;7;0;0;0;4.158
"=""22:15""";0;211;3;211;3;0;0;0;4.158
"=""22:30""";0;633;6;639;1;0;0;0;4.158
"=""22:45""";0;1.357;5;1.357;5;0;0;0;4.158
"=""23:00""";0;333;1;329;4;0;0;0;4.158
"=""23:15""";0;94;0;94;0;0;0;0;4.158
"=""23:30""";0;111;0;111;0;0;0;0;4.158
"=""23:45""";0;111;0;111;0;0;0;0;4.158
"=""00:00""";0;106;0;106;0;0;0;0;4.158
