 ;Direktverbrauch / Mittelwerte [W] ;Batterieentladung / Mittelwerte [W] ;Netzbezug / Mittelwerte [W] ;Gesamtverbrauch / Mittelwerte [W] ;Netzeinspeisung / Mittelwerte [W] ;Direktverbrauch / Mittelwerte [W]  ;Batterieladung / Mittelwerte [W]  ;PV-Erzeugung / Mittelwerte [W]  ;Begrenzung der Wirkleistungseinspeisung / Mittelwerte [W]  
"=""08:00""";158;62;6;225;5;158;0;163;4.158
"=""08:15""";250;513;224;988;4;250;3;257;4.158
"=""08:30""";113;0;787;900;0;113;0;113;4.158
"=""08:45""";175;0;88;262;11;175;125;311;4.158
"=""09:00""";206;0;1;208;1;206;353;560;4.158
"=""09:15""";181;0;1;183;1;181;393;576;4.158
"=""09:30""";240;48;5;292;3;240;53;296;4.158
"=""09:45""";274;4;2;280;3;274;81;357;4.158
"=""10:00""";359;0;3;362;4;359;314;677;4.158
"=""10:15""";419;0;6;425;5;419;402;826;4.158
"=""10:30""";267;0;5;272;5;267;149;420;4.158
"=""10:45""";290;0;4;294;5;290;423;718;4.158
"=""11:00""";262;0;7;269;8;262;1.147;1.417;4.158
"=""11:15""";274;0;10;284;11;274;1.745;2.030;4.158
"=""11:30""";241;0;13;254;151;241;2.406;2.798;4.158
"=""11:45""";255;0;2;257;670;255;3.668;4.593;4.158
"=""12:00""";280;0;0;280;1.601;280;2.265;4.146;4.158
"=""12:15""";212;0;1;213;2.865;212;1.203;4.280;4.158
"=""12:30""";218;0;0;218;3.990;218;56;4.264;4.158
"=""12:45""";223;0;4;227;3.402;223;221;3.845;4.158
"=""13:00""";225;0;14;239;1.764;225;1.291;3.280;4.158
"=""13:15""";247;0;1;248;912;247;370;1.528;4.158
"=""13:30""";236;0;5;241;35;236;1.990;2.261;4.158
"=""13:45""";548;0;0;548;1.828;548;54;2.429;4.158
"=""14:00""";1.277;0;6;1.283;1.239;1.277;3;2.519;4.158
"=""14:15""";628;0;0;628;1.825;628;4;2.457;4.158
"=""14:30""";106;0;0;106;2.186;106;0;2.292;4.158
"=""14:45""";584;0;6;590;1.406;584;0;1.990;4.158
"=""15:00""";1.279;126;8;1.414;1.124;1.279;0;2.403;4.158
"=""15:15""";271;0;1;272;2.579;271;241;3.090;4.158
"=""15:30""";2.373;1.042;97;3.512;195;2.373;118;2.686;4.158
"=""15:45""";1.420;90;40;1.550;1.472;1.420;1.234;4.126;4.158
"=""16:00""";1.161;120;22;1.303;1.765;1.161;11;2.937;4.158
"=""16:15""";2.683;648;68;3.399;954;2.683;115;3.752;4.158
"=""16:30""";1.114;92;34;1.240;620;1.114;891;2.626;4.158
"=""16:45""";414;0;0;414;1.888;414;0;2.302;4.158
"=""17:00""";745;35;49;829;1.190;745;3;1.938;4.158
"=""17:15""";536;23;2;560;1.084;536;10;1.629;4.158
"=""17:30""";402;0;0;402;1.211;402;0;1.613;4.158
"=""17:45""";208;0;0;208;752;208;0;959;4.158
"=""18:00""";349;372;10;731;245;349;131;725;4.158
"=""18:15""";349;450;26;825;24;349;234;606;4.158
"=""18:30""";319;0;11;331;11;319;93;423;4.158
"=""18:45""";290;6;10;305;7;290;114;411;4.158
"=""19:00""";301;153;7;461;6;301;15;322;4.158
"=""19:15""";228;18;4;250;4;228;17;249;4.158
"=""19:30""";258;6;6;270;5;258;1;263;4.158
"=""19:45""";156;135;4;296;5;156;0;161;4.158
"=""20:00""";69;1.063;53;1.185;19;69;0;88;4.158
"=""20:15""";27;565;23;615;23;27;0;50;4.158
"=""20:30""";27;154;1;182;2;27;0;28;4.158
"=""20:45""";0;230;3;230;2;0;0;0;4.158
"=""21:00""";0;313;4;313;4;0;0;0;4.158
"=""21:15""";0;364;5;364;5;0;0;0;4.158
"=""21:30""";0;330;5;330;4;0;0;0;4.158
"=""21:45""";0;294;4;294;4;0;0;0;4.158
"=""22:00""";0;262;3;261;4;0;0;0;4.158
"=""22:15""";0;239;4;239;3;0;0;0;4.158
"=""22:30""";0;239;4;240;3;0;0;0;4.158
"=""22:45""";0;244;4;243;4;0;0;0;4.158
"=""23:00""";0;240;3;239;4;0;0;0;4.158
"=""23:15""";0;211;5;212;4;0;0;0;4.158
"=""23:30""";0;219;2;219;2;0;0;0;4.158
"=""23:45""";0;240;2;240;2;0;0;0;4.158
"=""00:00""";0;163;2;162;2;0;0;0;4.158
