 ;Direktverbrauch / Mittelwerte [W] ;Batterieentladung / Mittelwerte [W] ;Netzbezug / Mittelwerte [W] ;Gesamtverbrauch / Mittelwerte [W] ;Netzeinspeisung / Mittelwerte [W] ;Direktverbrauch / Mittelwerte [W]  ;Batterieladung / Mittelwerte [W]  ;PV-Erzeugung / Mittelwerte [W]  ;Begrenzung der Wirkleistungseinspeisung / Mittelwerte [W]  
"=""00:15""";0;107;0;107;0;0;0;0;4.158
"=""00:30""";0;127;1;127;0;0;0;0;4.158
"=""00:45""";0;91;0;91;1;0;0;0;4.158
"=""01:00""";0;97;0;97;0;0;0;0;4.158
"=""01:15""";0;127;0;127;1;0;0;0;4.158
"=""01:30""";0;91;0;91;0;0;0;0;4.158
"=""01:45""";0;81;1;81;0;0;0;0;4.158
"=""02:00""";0;99;0;99;0;0;0;0;4.158
"=""02:15""";0;94;0;94;0;0;0;0;4.158
"=""02:30""";0;63;0;63;0;0;0;0;4.158
"=""02:45""";0;101;0;101;0;0;0;0;4.158
"=""03:00""";0;107;1;107;1;0;0;0;4.158
"=""03:15""";0;93;0;93;0;0;0;0;4.158
"=""03:30""";0;105;0;105;0;0;0;0;4.158
"=""03:45""";0;88;0;88;0;0;0;0;4.158
"=""04:00""";0;102;0;102;0;0;0;0;4.158
"=""04:15""";0;70;0;70;0;0;0;0;4.158
"=""04:30""";0;118;1;119;0;0;0;0;4.158
"=""04:45""";0;88;0;88;0;0;0;0;4.158
"=""05:00""";0;78;0;78;0;0;0;0;4.158
"=""05:15""";0;89;1;89;0;0;0;0;4.158
"=""05:30""";0;99;0;99;0;0;0;0;4.158
"=""05:45""";0;90;1;90;1;0;0;0;4.158
"=""06:00""";0;95;0;95;0;0;0;0;4.158
"=""06:15""";0;87;1;87;1;0;0;0;4.158
"=""06:30""";0;76;0;76;1;0;0;0;4.158
"=""06:45""";21;36;0;57;1;21;0;22;4.158
"=""07:00""";96;0;1;97;3;96;65;164;4.158
"=""07:15""";194;2;5;201;4;194;110;308;4.158
"=""07:30""";174;0;5;179;3;174;184;361;4.158
"=""07:45""";93;899;36;1.028;20;93;0;113;4.158
