 ;Direktverbrauch / Mittelwerte [W] ;Batterieentladung / Mittelwerte [W] ;Netzbezug / Mittelwerte [W] ;Gesamtverbrauch / Mittelwerte [W] ;Netzeinspeisung / Mittelwerte [W] ;Direktverbrauch / Mittelwerte [W]  ;Batterieladung / Mittelwerte [W]  ;PV-Erzeugung / Mittelwerte [W]  ;Begrenzung der Wirkleistungseinspeisung / Mittelwerte [W]  
"=""00:15""";0;187;2;187;1;0;0;0;4.158
"=""00:30""";0;181;1;181;2;0;0;0;4.158
"=""00:45""";0;209;2;209;2;0;0;0;4.158
"=""01:00""";0;168;2;168;2;0;0;0;4.158
"=""01:15""";0;80;1;80;1;0;0;0;4.158
"=""01:30""";0;99;0;99;0;0;0;0;4.158
"=""01:45""";0;114;1;114;1;0;0;0;4.158
"=""02:00""";0;92;0;92;0;0;0;0;4.158
"=""02:15""";0;104;1;104;1;0;0;0;4.158
"=""02:30""";0;105;1;106;0;0;0;0;4.158
"=""02:45""";0;78;0;77;1;0;0;0;4.158
"=""03:00""";0;85;1;85;1;0;0;0;4.158
"=""03:15""";0;102;1;102;0;0;0;0;4.158
"=""03:30""";0;81;0;81;1;0;0;0;4.158
"=""03:45""";0;81;1;81;1;0;0;0;4.158
"=""04:00""";0;89;1;89;1;0;0;0;4.158
"=""04:15""";0;106;1;106;1;0;0;0;4.158
"=""04:30""";0;89;1;89;0;0;0;0;4.158
"=""04:45""";0;108;0;107;1;0;0;0;4.158
"=""05:00""";0;98;1;98;1;0;0;0;4.158
"=""05:15""";0;73;1;74;0;0;0;0;4.158
"=""05:30""";0;82;1;82;1;0;0;0;4.158
"=""05:45""";0;102;0;102;1;0;0;0;4.158
"=""06:00""";0;76;1;76;1;0;0;0;4.158
"=""06:15""";74;30;1;104;1;74;0;75;4.158
"=""06:30""";128;610;8;746;7;128;42;177;4.158
"=""06:45""";155;125;3;283;2;155;160;317;4.158
"=""07:00""";125;0;1;126;1;125;370;496;4.158
"=""07:15""";135;0;0;136;395;135;179;710;4.158
"=""07:30""";610;559;77;1.246;330;610;0;940;4.158
"=""07:45""";150;0;0;150;1.000;150;0;1.150;4.158
"=""08:00""";105;0;5;110;1.335;105;0;1.440;4.158
"=""08:15""";703;676;36;1.415;321;703;0;1.024;4.158
"=""08:30""";126;0;0;126;1.215;126;0;1.341;4.158
"=""08:45""";73;0;0;73;1.927;73;0;2.000;4.158
"=""09:00""";87;0;0;87;1.952;87;0;2.039;4.158
"=""09:15""";75;0;0;75;2.488;75;0;2.563;4.158
"=""09:30""";87;0;0;87;2.933;87;0;3.020;4.158
"=""09:45""";65;0;0;65;3.164;65;0;3.229;4.158
"=""10:00""";79;0;0;79;3.335;79;0;3.414;4.158
"=""10:15""";69;0;0;69;3.508;69;0;3.577;4.158
"=""10:30""";33;0;0;33;3.677;33;0;3.710;4.158
"=""10:45""";68;0;0;68;3.866;68;0;3.934;4.158
"=""11:00""";65;0;0;65;4.049;65;0;4.113;4.158
"=""11:15""";42;0;0;42;2.152;42;2.030;4.224;4.158
"=""11:30""";53;0;0;53;2.281;53;2.010;4.344;4.158
"=""11:45""";57;0;0;57;2.545;57;1.888;4.490;4.158
"=""12:00""";86;0;2;88;2.754;86;930;3.770;4.158
"=""12:15""";76;0;6;82;1.989;76;2.007;4.072;4.158
"=""12:30""";71;0;0;71;3.878;71;571;4.520;4.158
"=""12:45""";65;0;0;65;3.460;65;964;4.489;4.158
"=""13:00""";50;0;0;50;2.850;50;1.599;4.499;4.158
"=""13:15""";84;0;0;84;2.516;84;1.872;4.472;4.158
"=""13:30""";49;0;0;49;4.138;49;279;4.466;4.158
"=""13:45""";72;0;0;72;2.750;72;1.520;4.341;4.158
"=""14:00""";69;0;0;69;3.129;69;1.100;4.298;4.158
"=""14:15""";86;0;0;86;3.401;86;755;4.242;4.158
"=""14:30""";56;0;0;56;4.050;56;53;4.159;4.158
"=""14:45""";73;0;0;73;4.008;73;0;4.081;4.158
"=""15:00""";88;0;0;88;2.885;88;994;3.968;4.158
"=""15:15""";65;0;0;66;2.018;65;1.710;3.793;4.158
"=""15:30""";46;0;0;46;3.588;46;0;3.634;4.158
"=""15:45""";88;0;0;88;3.398;88;0;3.486;4.158
"=""16:00""";33;0;0;33;3.156;33;0;3.189;4.158
"=""16:15""";51;0;0;51;2.936;51;0;2.987;4.158
"=""16:30""";81;0;0;81;2.663;81;0;2.744;4.158
"=""16:45""";90;0;0;91;2.159;90;264;2.513;4.158
"=""17:00""";76;0;0;76;2.173;76;1;2.250;4.158
"=""17:15""";75;0;0;75;1.906;75;0;1.981;4.158
"=""17:30""";80;0;0;80;1.640;80;0;1.720;4.158
"=""17:45""";78;0;0;78;1.367;78;0;1.445;4.158
"=""18:00""";83;0;0;83;1.081;83;0;1.164;4.158
"=""18:15""";111;0;0;111;790;111;0;901;4.158
"=""18:30""";72;0;0;72;561;72;0;632;4.158
"=""18:45""";109;0;0;109;367;109;0;476;4.158
"=""19:00""";105;0;0;105;252;105;0;357;4.158
"=""19:15""";107;0;0;107;167;107;0;274;4.158
"=""19:30""";107;0;0;107;98;107;30;234;4.158
"=""19:45""";95;0;1;96;1;95;108;204;4.158
"=""20:00""";95;0;1;95;1;95;74;170;4.158
"=""20:15""";65;0;1;66;0;65;71;137;4.158
"=""20:30""";98;27;1;126;1;98;12;111;4.158
"=""20:45""";77;12;4;93;1;77;0;77;4.158
"=""21:00""";40;61;1;102;1;40;0;41;4.158
"=""21:15""";0;111;1;111;1;0;0;0;4.158
"=""21:30""";0;125;1;126;0;0;0;0;4.158
"=""21:45""";0;109;1;109;1;0;0;0;4.158
"=""22:00""";0;109;0;109;1;0;0;0;4.158
"=""22:15""";0;113;1;114;0;0;0;0;4.158
"=""22:30""";0;110;0;109;1;0;0;0;4.158
"=""22:45""";0;87;1;87;1;0;0;0;4.158
"=""23:00""";0;141;1;142;0;0;0;0;4.158
"=""23:15""";0;88;1;88;1;0;0;0;4.158
"=""23:30""";0;106;0;106;1;0;0;0;4.158
"=""23:45""";0;122;1;122;1;0;0;0;4.158
"=""00:00""";0;113;1;114;0;0;0;0;4.158
