 ;Direktverbrauch / Mittelwerte [W] ;Batterieentladung / Mittelwerte [W] ;Netzbezug / Mittelwerte [W] ;Gesamtverbrauch / Mittelwerte [W] ;Netzeinspeisung / Mittelwerte [W] ;Direktverbrauch / Mittelwerte [W]  ;Batterieladung / Mittelwerte [W]  ;PV-Erzeugung / Mittelwerte [W]  ;Begrenzung der Wirkleistungseinspeisung / Mittelwerte [W]  
"=""00:15""";0;201;3;201;3;0;0;0;4.158
"=""00:30""";0;181;1;181;2;0;0;0;4.158
"=""00:45""";0;134;1;134;1;0;0;0;4.158
"=""01:00""";0;168;0;168;0;0;0;0;4.158
"=""01:15""";0;115;0;115;0;0;0;0;4.158
"=""01:30""";0;96;0;96;0;0;0;0;4.158
"=""01:45""";0;87;0;88;0;0;0;0;4.158
"=""02:00""";0;110;1;111;0;0;0;0;4.158
"=""02:15""";0;99;0;99;0;0;0;0;4.158
"=""02:30""";0;105;0;105;0;0;0;0;4.158
"=""02:45""";0;97;0;97;0;0;0;0;4.158
"=""03:00""";0;95;0;95;0;0;0;0;4.158
"=""03:15""";0;70;0;70;0;0;0;0;4.158
"=""03:30""";0;90;0;90;0;0;0;0;4.158
"=""03:45""";0;97;0;97;0;0;0;0;4.158
"=""04:00""";0;63;0;63;0;0;0;0;4.158
"=""04:15""";0;83;1;83;1;0;0;0;4.158
"=""04:30""";0;106;0;106;0;0;0;0;4.158
"=""04:45""";0;103;0;103;0;0;0;0;4.158
"=""05:00""";0;90;0;90;0;0;0;0;4.158
"=""05:15""";0;89;0;89;0;0;0;0;4.158
"=""05:30""";0;84;0;84;0;0;0;0;4.158
"=""05:45""";0;63;0;63;0;0;0;0;4.158
"=""06:00""";0;87;0;87;0;0;0;0;4.158
"=""06:15""";0;98;1;98;0;0;0;0;4.158
"=""06:30""";17;56;0;73;0;17;0;17;4.158
"=""06:45""";88;6;33;127;4;88;0;92;4.158
"=""07:00""";110;0;0;110;212;110;0;322;4.158
"=""07:15""";91;0;0;91;555;91;0;646;4.158
"=""07:30""";151;0;0;151;824;151;0;975;4.158
"=""07:45""";184;0;0;184;1.113;184;0;1.297;4.158
"=""08:00""";196;0;0;196;1.349;196;0;1.545;4.158
"=""08:15""";185;0;0;185;1.314;185;0;1.499;4.158
"=""08:30""";257;0;0;257;1.673;257;0;1.929;4.158
"=""08:45""";268;0;0;268;1.919;268;0;2.187;4.158
"=""09:00""";194;0;0;194;2.084;194;0;2.278;4.158
"=""09:15""";485;0;0;485;2.108;485;0;2.593;4.158
"=""09:30""";230;0;0;230;2.824;230;0;3.054;4.158
"=""09:45""";182;0;0;182;2.787;182;0;2.969;4.158
"=""10:00""";125;0;0;125;3.133;125;0;3.258;4.158
"=""10:15""";133;0;0;133;3.631;133;0;3.764;4.158
"=""10:30""";135;0;0;135;3.880;135;0;4.015;4.158
"=""10:45""";100;0;0;100;3.659;100;0;3.759;4.158
"=""11:00""";138;0;0;138;3.518;138;0;3.656;4.158
"=""11:15""";188;0;0;188;3.469;188;0;3.657;4.158
"=""11:30""";151;0;0;151;2.041;151;1.978;4.170;4.158
"=""11:45""";159;0;0;159;2.350;159;1.851;4.359;4.158
"=""12:00""";169;0;0;169;2.559;169;1.577;4.305;4.158
"=""12:15""";237;0;0;237;2.958;237;1.134;4.329;4.158
"=""12:30""";335;0;0;335;1.982;335;2.287;4.604;4.158
"=""12:45""";360;0;0;360;3.211;360;1.113;4.684;4.158
"=""13:00""";302;0;0;302;3.080;302;1.169;4.552;4.158
"=""13:15""";198;0;0;198;3.987;198;4;4.189;4.158
"=""13:30""";847;0;0;847;3.377;847;0;4.224;4.158
"=""13:45""";2.064;0;0;2.064;2.038;2.064;0;4.102;4.158
"=""14:00""";837;0;0;837;3.270;837;0;4.107;4.158
