 ;Direktverbrauch / Mittelwerte [W] ;Batterieentladung / Mittelwerte [W] ;Netzbezug / Mittelwerte [W] ;Gesamtverbrauch / Mittelwerte [W] ;Netzeinspeisung / Mittelwerte [W] ;Direktverbrauch / Mittelwerte [W]  ;Batterieladung / Mittelwerte [W]  ;PV-Erzeugung / Mittelwerte [W]  ;Begrenzung der Wirkleistungseinspeisung / Mittelwerte [W]  
"=""00:15""";0;143;1;142;1;0;0;0;4.158
"=""00:30""";0;138;1;139;1;0;0;0;4.158
"=""00:45""";0;87;1;87;1;0;0;0;4.158
"=""01:00""";0;139;1;139;1;0;0;0;4.158
"=""01:15""";0;208;3;206;4;0;0;0;4.158
"=""01:30""";0;178;3;178;2;0;0;0;4.158
"=""01:45""";0;196;3;197;2;0;0;0;4.158
"=""02:00""";0;194;3;194;3;0;0;0;4.158
"=""02:15""";0;151;1;151;2;0;0;0;4.158
"=""02:30""";0;110;1;110;1;0;0;0;4.158
"=""02:45""";0;101;1;101;1;0;0;0;4.158
"=""03:00""";0;82;1;82;1;0;0;0;4.158
"=""03:15""";0;74;1;74;1;0;0;0;4.158
"=""03:30""";0;113;1;114;1;0;0;0;4.158
"=""03:45""";0;93;1;93;1;0;0;0;4.158
"=""04:00""";0;70;1;70;1;0;0;0;4.158
"=""04:15""";0;93;1;93;1;0;0;0;4.158
"=""04:30""";0;98;1;98;1;0;0;0;4.158
"=""04:45""";0;106;1;106;1;0;0;0;4.158
"=""05:00""";0;106;1;106;1;0;0;0;4.158
"=""05:15""";0;108;1;108;1;0;0;0;4.158
"=""05:30""";0;83;1;83;1;0;0;0;4.158
"=""05:45""";0;81;1;81;1;0;0;0;4.158
"=""06:00""";0;92;1;92;1;0;0;0;4.158
"=""06:15""";31;67;1;99;1;31;0;32;4.158
"=""06:30""";75;3;4;82;3;75;28;106;4.158
"=""06:45""";95;0;5;99;6;95;101;202;4.158
"=""07:00""";190;0;5;195;6;190;329;525;4.158
"=""07:15""";208;0;4;212;4;208;693;905;4.158
"=""07:30""";193;0;5;198;6;193;1.048;1.246;4.158
"=""07:45""";200;0;7;206;6;200;1.150;1.356;4.158
"=""08:00""";676;101;15;792;16;676;917;1.609;4.158
"=""08:15""";280;7;5;292;1.578;280;529;2.387;4.158
"=""08:30""";183;0;0;183;1.482;183;0;1.665;4.158
"=""08:45""";226;0;0;226;2.095;226;0;2.321;4.158
"=""09:00""";159;0;0;159;2.455;159;0;2.614;4.158
"=""09:15""";186;0;0;186;1.303;186;0;1.489;4.158
"=""09:30""";201;0;0;201;2.549;201;0;2.750;4.158
"=""09:45""";268;0;5;273;1.732;268;398;2.398;4.158
"=""10:00""";285;0;2;286;2.320;285;97;2.701;4.158
"=""10:15""";293;0;0;293;2.724;293;292;3.309;4.158
"=""10:30""";296;0;0;296;2.264;296;78;2.638;4.158
"=""10:45""";213;0;2;215;3.537;213;332;4.081;4.158
"=""11:00""";317;0;3;320;2.840;317;1.130;4.288;4.158
"=""11:15""";204;0;4;208;2.869;204;725;3.798;4.158
"=""11:30""";201;0;2;203;2.243;201;807;3.251;4.158
"=""11:45""";246;0;4;250;2.232;246;752;3.230;4.158
"=""12:00""";240;0;0;240;3.369;240;1.133;4.742;4.158
"=""12:15""";228;0;0;228;4.040;228;562;4.829;4.158
"=""12:30""";256;0;0;256;3.822;256;447;4.525;4.158
"=""12:45""";242;0;4;246;2.132;242;1.300;3.674;4.158
"=""13:00""";210;0;0;210;3.824;210;10;4.043;4.158
"=""13:15""";254;0;0;254;4.096;254;155;4.504;4.158
"=""13:30""";295;0;0;295;3.924;295;90;4.310;4.158
"=""13:45""";766;0;0;766;3.689;766;2;4.457;4.158
"=""14:00""";1.005;0;0;1.005;3.539;1.005;12;4.555;4.158
"=""14:15""";731;0;0;731;3.650;731;85;4.466;4.158
"=""14:30""";304;0;3;307;2.529;304;983;3.815;4.158
"=""14:45""";710;0;5;715;1.924;710;1.332;3.966;4.158
"=""15:00""";841;0;79;920;420;841;2.129;3.390;4.158
"=""15:15""";766;0;0;766;2.272;766;5;3.042;4.158
"=""15:30""";358;0;0;358;2.364;358;0;2.722;4.158
"=""15:45""";210;0;0;210;2.875;210;0;3.085;4.158
"=""16:00""";255;0;0;255;2.298;255;0;2.553;4.158
"=""16:15""";246;0;0;246;2.272;246;0;2.518;4.158
"=""16:30""";244;0;0;244;2.109;244;0;2.353;4.158
"=""16:45""";259;0;0;259;1.418;259;0;1.677;4.158
"=""17:00""";390;5;43;439;1.179;390;266;1.835;4.158
"=""17:15""";1.363;431;14;1.808;243;1.363;118;1.723;4.158
"=""17:30""";1.672;321;13;2.006;14;1.672;256;1.942;4.158
"=""17:45""";380;24;18;421;357;380;922;1.658;4.158
"=""18:00""";311;0;0;311;1.373;311;4;1.688;4.158
"=""18:15""";335;0;0;335;983;335;0;1.318;4.158
"=""18:30""";318;0;0;318;805;318;0;1.123;4.158
"=""18:45""";216;0;0;216;502;216;0;718;4.158
"=""19:00""";299;291;66;656;326;299;0;625;4.158
"=""19:15""";217;14;12;243;12;217;277;506;4.158
"=""19:30""";296;1.717;51;2.064;63;296;9;368;4.158
"=""19:45""";146;1.103;90;1.339;76;146;0;222;4.158
"=""20:00""";114;481;11;606;9;114;0;123;4.158
"=""20:15""";97;158;2;257;4;97;0;101;4.158
"=""20:30""";61;330;9;400;9;61;0;70;4.158
"=""20:45""";26;251;7;284;6;26;0;32;4.158
"=""21:00""";0;833;9;835;7;0;0;0;4.158
"=""21:15""";0;1.452;8;1.450;10;0;0;0;4.158
"=""21:30""";0;1.223;6;1.225;4;0;0;0;4.158
"=""21:45""";0;1.965;5;1.961;9;0;0;0;4.158
"=""22:00""";0;428;5;428;5;0;0;0;4.158
"=""22:15""";0;957;8;961;4;0;0;0;4.158
"=""22:30""";0;1.473;4;1.471;6;0;0;0;4.158
"=""22:45""";0;258;3;257;3;0;0;0;4.158
"=""23:00""";0;222;3;222;3;0;0;0;4.158
"=""23:15""";0;218;4;218;4;0;0;0;4.158
"=""23:30""";0;243;2;243;2;0;0;0;4.158
"=""23:45""";0;176;2;176;2;0;0;0;4.158
"=""00:00""";0;189;3;189;3;0;0;0;4.158
