 ;Direktverbrauch / Mittelwerte [W] ;Batterieentladung / Mittelwerte [W] ;Netzbezug / Mittelwerte [W] ;Gesamtverbrauch / Mittelwerte [W] ;Netzeinspeisung / Mittelwerte [W] ;Direktverbrauch / Mittelwerte [W]  ;Batterieladung / Mittelwerte [W]  ;PV-Erzeugung / Mittelwerte [W]  ;Begrenzung der Wirkleistungseinspeisung / Mittelwerte [W]  
"=""00:15""";0;77;1;77;1;0;0;0;4.158
"=""00:30""";0;102;1;102;1;0;0;0;4.158
"=""00:45""";0;92;0;92;0;0;0;0;4.158
"=""01:00""";0;85;1;85;1;0;0;0;4.158
"=""01:15""";0;85;0;85;1;0;0;0;4.158
"=""01:30""";0;104;1;104;0;0;0;0;4.158
"=""01:45""";0;65;1;65;1;0;0;0;4.158
"=""02:00""";0;78;1;78;1;0;0;0;4.158
"=""02:15""";0;85;1;85;1;0;0;0;4.158
"=""02:30""";0;67;1;67;1;0;0;0;4.158
"=""02:45""";0;92;1;92;0;0;0;0;4.158
"=""03:00""";0;100;0;99;1;0;0;0;4.158
"=""03:15""";0;94;1;94;1;0;0;0;4.158
"=""03:30""";0;103;1;103;0;0;0;0;4.158
"=""03:45""";0;88;0;88;1;0;0;0;4.158
"=""04:00""";0;95;1;95;1;0;0;0;4.158
"=""04:15""";0;57;1;58;0;0;0;0;4.158
"=""04:30""";0;114;1;114;1;0;0;0;4.158
"=""04:45""";0;81;1;81;1;0;0;0;4.158
"=""05:00""";0;72;1;72;1;0;0;0;4.158
"=""05:15""";0;94;1;94;1;0;0;0;4.158
"=""05:30""";0;98;1;98;1;0;0;0;4.158
"=""05:45""";0;93;0;93;0;0;0;0;4.158
"=""06:00""";19;74;1;94;1;19;0;20;4.158
"=""06:15""";79;9;7;95;0;79;0;79;4.158
"=""06:30""";74;0;2;76;23;74;0;97;4.158
"=""06:45""";91;0;0;91;42;91;0;133;4.158
"=""07:00""";106;0;0;106;326;106;0;432;4.158
"=""07:15""";70;0;0;70;484;70;0;554;4.158
"=""07:30""";70;0;0;70;842;70;0;912;4.158
"=""07:45""";98;0;0;98;1.014;98;0;1.112;4.158
"=""08:00""";99;0;0;99;1.248;99;0;1.347;4.158
"=""08:15""";92;0;0;92;1.613;92;0;1.705;4.158
"=""08:30""";86;0;0;86;1.877;86;0;1.963;4.158
"=""08:45""";96;0;0;96;2.132;96;0;2.228;4.158
"=""09:00""";47;0;0;47;2.321;47;0;2.368;4.158
"=""09:15""";79;0;0;79;2.714;79;0;2.793;4.158
"=""09:30""";80;0;0;80;2.296;80;0;2.376;4.158
"=""09:45""";57;0;0;57;2.980;57;0;3.037;4.158
"=""10:00""";67;0;0;67;3.376;67;0;3.442;4.158
"=""10:15""";84;0;0;84;3.133;84;0;3.217;4.158
"=""10:30""";69;0;0;69;3.085;69;0;3.154;4.158
"=""10:45""";92;0;0;92;2.101;92;0;2.193;4.158
"=""11:00""";81;0;0;81;1.836;81;0;1.917;4.158
"=""11:15""";58;0;2;61;1.980;58;566;2.605;4.158
"=""11:30""";36;0;2;38;2.330;36;1.267;3.633;4.158
"=""11:45""";91;0;0;91;3.630;91;5;3.726;4.158
"=""12:00""";56;0;0;56;3.010;56;0;3.066;4.158
"=""12:15""";44;0;0;44;2.578;44;0;2.621;4.158
"=""12:30""";72;0;4;76;1.361;72;1.609;3.042;4.158
"=""12:45""";93;0;1;94;1.458;93;555;2.106;4.158
"=""13:00""";73;0;1;74;1.442;73;560;2.075;4.158
"=""13:15""";103;0;1;104;384;103;341;828;4.158
"=""13:30""";70;19;9;98;1;70;8;78;4.158
"=""13:45""";77;7;1;85;1;77;154;232;4.158
"=""14:00""";69;0;1;70;330;69;731;1.130;4.158
"=""14:15""";95;0;0;95;2.706;95;1;2.803;4.158
"=""14:30""";61;0;0;61;2.436;61;0;2.497;4.158
"=""14:45""";69;0;0;69;2.537;69;0;2.605;4.158
"=""15:00""";81;0;0;81;3.397;81;0;3.478;4.158
"=""15:15""";80;0;0;80;1.980;80;0;2.060;4.158
"=""15:30""";83;0;0;83;3.099;83;0;3.182;4.158
"=""15:45""";71;0;0;71;3.024;71;0;3.095;4.158
"=""16:00""";107;0;0;107;1.075;107;0;1.182;4.158
"=""16:15""";67;0;0;67;856;67;0;923;4.158
"=""16:30""";98;0;0;98;1.021;98;0;1.119;4.158
"=""16:45""";95;0;0;95;554;95;0;648;4.158
"=""17:00""";79;0;0;79;736;79;0;815;4.158
"=""17:15""";77;0;0;77;1.191;77;0;1.268;4.158
"=""17:30""";89;0;0;89;974;89;0;1.063;4.158
"=""17:45""";88;0;0;88;1.052;88;0;1.140;4.158
"=""18:00""";102;0;0;102;1.357;102;0;1.459;4.158
"=""18:15""";91;0;0;91;965;91;0;1.056;4.158
"=""18:30""";98;0;0;98;779;98;0;877;4.158
"=""18:45""";64;0;0;64;674;64;0;738;4.158
"=""19:00""";121;0;0;121;515;121;0;636;4.158
"=""19:15""";88;0;0;88;428;88;0;516;4.158
"=""19:30""";83;0;0;83;327;83;0;410;4.158
"=""19:45""";101;0;0;101;225;101;0;326;4.158
"=""20:00""";116;0;0;116;118;116;0;234;4.158
"=""20:15""";103;0;3;106;33;103;0;136;4.158
"=""20:30""";67;48;1;116;1;67;0;68;4.158
"=""20:45""";50;71;1;122;1;50;0;51;4.158
"=""21:00""";1;94;1;96;0;1;0;1;4.158
"=""21:15""";0;88;1;88;1;0;0;0;4.158
"=""21:30""";0;121;1;121;1;0;0;0;4.158
"=""21:45""";0;90;1;90;1;0;0;0;4.158
"=""22:00""";0;114;1;115;1;0;0;0;4.158
"=""22:15""";0;111;0;111;0;0;0;0;4.158
"=""22:30""";0;109;1;109;1;0;0;0;4.158
"=""22:45""";0;110;0;110;1;0;0;0;4.158
"=""23:00""";0;132;1;132;0;0;0;0;4.158
"=""23:15""";0;109;1;109;1;0;0;0;4.158
"=""23:30""";0;99;0;99;1;0;0;0;4.158
"=""23:45""";0;109;1;109;1;0;0;0;4.158
"=""00:00""";0;117;1;117;0;0;0;0;4.158
