 ;Direktverbrauch / Mittelwerte [W] ;Batterieentladung / Mittelwerte [W] ;Netzbezug / Mittelwerte [W] ;Gesamtverbrauch / Mittelwerte [W] ;Netzeinspeisung / Mittelwerte [W] ;Direktverbrauch / Mittelwerte [W]  ;Batterieladung / Mittelwerte [W]  ;PV-Erzeugung / Mittelwerte [W]  ;Begrenzung der Wirkleistungseinspeisung / Mittelwerte [W]  
"=""08:45""";180;0;4;184;4;180;779;963;4.158
"=""09:00""";140;0;4;144;4;140;941;1.085;4.158
"=""09:15""";128;0;14;141;15;128;1.181;1.323;4.158
"=""09:30""";184;0;7;191;6;184;769;959;4.158
"=""09:45""";169;0;5;174;4;169;310;483;4.158
"=""10:00""";167;0;3;171;4;167;379;550;4.158
"=""10:15""";249;145;8;401;7;249;729;984;4.158
"=""10:30""";210;0;6;215;7;210;1.002;1.219;4.158
"=""10:45""";142;0;13;155;14;142;1.773;1.929;4.158
"=""11:00""";141;0;17;159;64;141;1.503;1.708;4.158
"=""11:15""";163;0;15;178;32;163;1.149;1.344;4.158
"=""11:30""";129;0;5;134;4;129;1.232;1.365;4.158
"=""11:45""";140;0;14;154;80;140;1.692;1.912;4.158
"=""12:00""";137;0;14;151;2.207;137;1.687;4.031;4.158
"=""12:15""";131;0;0;131;1.931;131;0;2.062;4.158
"=""12:30""";120;0;0;120;2.654;120;0;2.774;4.158
"=""12:45""";155;0;0;155;789;155;0;944;4.158
"=""13:00""";152;0;0;152;2.097;152;0;2.249;4.158
"=""13:15""";145;0;0;145;1.570;145;0;1.715;4.158
"=""13:30""";154;0;0;154;1.878;154;124;2.156;4.158
"=""13:45""";144;0;0;144;1.141;144;5;1.289;4.158
"=""14:00""";252;45;4;301;65;252;5;322;4.158
"=""14:15""";633;8;4;645;252;633;12;897;4.158
"=""14:30""";182;0;0;182;454;182;0;636;4.158
"=""14:45""";248;182;93;522;72;248;381;701;4.158
"=""15:00""";237;111;71;419;483;237;11;731;4.158
"=""15:15""";214;21;5;240;10;214;7;231;4.158
"=""15:30""";242;19;5;266;4;242;53;299;4.158
"=""15:45""";179;36;4;219;2;179;18;199;4.158
"=""16:00""";163;5;3;171;1;163;36;200;4.158
"=""16:15""";130;46;1;177;1;130;0;131;4.158
"=""16:30""";109;271;4;384;4;109;0;113;4.158
"=""16:45""";117;74;2;192;2;117;0;119;4.158
"=""17:00""";147;77;2;226;3;147;0;150;4.158
"=""17:15""";176;23;1;201;1;176;24;201;4.158
"=""17:30""";142;40;6;187;0;142;12;154;4.158
"=""17:45""";173;62;1;236;1;173;6;180;4.158
"=""18:00""";206;24;3;232;1;206;37;244;4.158
"=""18:15""";100;188;2;290;3;100;0;103;4.158
"=""18:30""";54;814;33;900;25;54;0;79;4.158
"=""18:45""";51;287;13;351;13;51;0;63;4.158
"=""19:00""";37;276;4;316;3;37;0;40;4.158
"=""19:15""";0;304;4;304;4;0;0;0;4.158
"=""19:30""";0;303;1;302;2;0;0;0;4.158
"=""19:45""";0;341;5;340;6;0;0;0;4.158
"=""20:00""";0;283;4;283;4;0;0;0;4.158
"=""20:15""";9;645;16;670;7;9;0;16;4.158
"=""20:30""";181;343;8;532;10;181;0;191;4.158
"=""20:45""";129;453;12;595;9;129;0;138;4.158
"=""21:00""";49;1.478;5;1.532;8;49;0;57;4.158
"=""21:15""";0;1.710;9;1.713;6;0;0;0;4.158
"=""21:30""";0;2.006;80;2.076;10;0;0;0;4.158
"=""21:45""";0;243;6;242;7;0;0;0;4.158
"=""22:00""";0;730;5;733;2;0;0;0;4.158
"=""22:15""";0;1.309;3;1.306;6;0;0;0;4.158
"=""22:30""";0;232;4;232;4;0;0;0;4.158
"=""22:45""";0;235;2;235;2;0;0;0;4.158
"=""23:00""";0;243;2;243;2;0;0;0;4.158
"=""23:15""";0;244;2;245;2;0;0;0;4.158
"=""23:30""";0;237;4;238;3;0;0;0;4.158
"=""23:45""";0;214;3;214;3;0;0;0;4.158
"=""00:00""";0;180;3;179;3;0;0;0;4.158
