 ;Direktverbrauch / Mittelwerte [W] ;Batterieentladung / Mittelwerte [W] ;Netzbezug / Mittelwerte [W] ;Gesamtverbrauch / Mittelwerte [W] ;Netzeinspeisung / Mittelwerte [W] ;Direktverbrauch / Mittelwerte [W]  ;Batterieladung / Mittelwerte [W]  ;PV-Erzeugung / Mittelwerte [W]  ;Begrenzung der Wirkleistungseinspeisung / Mittelwerte [W]  
"=""00:15""";0;230;1;230;1;0;0;0;4.158
"=""00:30""";0;202;2;202;2;0;0;0;4.158
"=""00:45""";0;208;3;208;3;0;0;0;4.158
"=""01:00""";0;105;0;105;0;0;0;0;4.158
"=""01:15""";0;100;0;100;0;0;0;0;4.158
"=""01:30""";0;91;0;91;0;0;0;0;4.158
"=""01:45""";0;79;0;79;0;0;0;0;4.158
"=""02:00""";0;118;0;118;0;0;0;0;4.158
"=""02:15""";0;89;1;90;0;0;0;0;4.158
"=""02:30""";0;82;0;82;0;0;0;0;4.158
"=""02:45""";0;94;0;94;0;0;0;0;4.158
"=""03:00""";0;104;0;104;0;0;0;0;4.158
"=""03:15""";0;104;0;104;0;0;0;0;4.158
"=""03:30""";0;96;0;96;0;0;0;0;4.158
"=""03:45""";0;106;0;106;0;0;0;0;4.158
"=""04:00""";0;77;0;77;0;0;0;0;4.158
"=""04:15""";0;56;0;56;0;0;0;0;4.158
"=""04:30""";0;96;1;96;1;0;0;0;4.158
"=""04:45""";0;82;0;82;0;0;0;0;4.158
"=""05:00""";0;72;0;72;0;0;0;0;4.158
"=""05:15""";0;76;0;76;0;0;0;0;4.158
"=""05:30""";0;84;0;84;0;0;0;0;4.158
"=""05:45""";0;82;1;82;0;0;0;0;4.158
"=""06:00""";0;79;0;79;0;0;0;0;4.158
"=""06:15""";0;92;0;92;0;0;0;0;4.158
"=""06:30""";32;37;0;70;4;32;3;39;4.158
"=""06:45""";95;0;1;96;1;95;119;214;4.158
"=""07:00""";100;214;6;320;4;100;14;118;4.158
"=""07:15""";113;5;1;119;1;113;50;164;4.158
"=""07:30""";143;447;12;602;5;143;171;318;4.158
"=""07:45""";131;183;1;314;5;131;321;456;4.158
"=""08:00""";187;41;3;231;3;187;385;575;4.158
"=""08:15""";124;0;2;126;2;124;663;789;4.158
"=""08:30""";169;0;4;173;4;169;749;922;4.158
