 ;Direktverbrauch / Mittelwerte [W] ;Batterieentladung / Mittelwerte [W] ;Netzbezug / Mittelwerte [W] ;Gesamtverbrauch / Mittelwerte [W] ;Netzeinspeisung / Mittelwerte [W] ;Direktverbrauch / Mittelwerte [W]  ;Batterieladung / Mittelwerte [W]  ;PV-Erzeugung / Mittelwerte [W]  ;Begrenzung der Wirkleistungseinspeisung / Mittelwerte [W]  
"=""00:15""";0;215;2;214;2;0;0;0;4.158
"=""00:30""";0;171;2;171;2;0;0;0;4.158
"=""00:45""";0;161;1;162;1;0;0;0;4.158
"=""01:00""";0;181;1;181;1;0;0;0;4.158
"=""01:15""";0;175;1;175;1;0;0;0;4.158
"=""01:30""";0;148;0;148;0;0;0;0;4.158
"=""01:45""";0;109;0;109;0;0;0;0;4.158
"=""02:00""";0;102;0;102;0;0;0;0;4.158
"=""02:15""";0;80;0;80;0;0;0;0;4.158
"=""02:30""";0;109;0;109;0;0;0;0;4.158
"=""02:45""";0;111;0;111;0;0;0;0;4.158
"=""03:00""";0;69;1;69;0;0;0;0;4.158
"=""03:15""";0;82;0;81;0;0;0;0;4.158
"=""03:30""";0;95;0;95;0;0;0;0;4.158
"=""03:45""";0;94;0;94;0;0;0;0;4.158
"=""04:00""";0;96;0;96;0;0;0;0;4.158
"=""04:15""";0;108;0;107;0;0;0;0;4.158
"=""04:30""";0;91;0;91;0;0;0;0;4.158
"=""04:45""";0;74;0;74;0;0;0;0;4.158
"=""05:00""";0;92;0;92;0;0;0;0;4.158
"=""05:15""";0;96;1;96;1;0;0;0;4.158
"=""05:30""";0;79;0;80;0;0;0;0;4.158
"=""05:45""";0;73;0;73;0;0;0;0;4.158
"=""06:00""";0;110;0;110;0;0;0;0;4.158
"=""06:15""";0;95;0;95;0;0;0;0;4.158
"=""06:30""";0;120;0;120;0;0;0;0;4.158
"=""06:45""";38;87;1;125;0;38;0;38;4.158
"=""07:00""";98;13;0;111;90;98;0;188;4.158
"=""07:15""";78;0;0;78;425;78;0;503;4.158
"=""07:30""";112;0;0;112;803;112;0;914;4.158
"=""07:45""";104;0;0;104;1.083;104;0;1.187;4.158
"=""08:00""";52;0;0;52;1.472;52;0;1.524;4.158
"=""08:15""";84;0;0;84;1.788;84;0;1.872;4.158
