 ;Direktverbrauch / Mittelwerte [W] ;Batterieentladung / Mittelwerte [W] ;Netzbezug / Mittelwerte [W] ;Gesamtverbrauch / Mittelwerte [W] ;Netzeinspeisung / Mittelwerte [W] ;Direktverbrauch / Mittelwerte [W]  ;Batterieladung / Mittelwerte [W]  ;PV-Erzeugung / Mittelwerte [W]  ;Begrenzung der Wirkleistungseinspeisung / Mittelwerte [W]  
"=""00:15""";0;127;0;127;0;0;0;0;4.158
"=""00:30""";0;91;0;91;1;0;0;0;4.158
"=""00:45""";0;127;1;127;1;0;0;0;4.158
"=""01:00""";0;121;0;121;0;0;0;0;4.158
"=""01:15""";0;98;0;98;1;0;0;0;4.158
"=""01:30""";0;96;1;97;0;0;0;0;4.158
"=""01:45""";0;126;1;126;0;0;0;0;4.158
"=""02:00""";0;112;0;112;0;0;0;0;4.158
"=""02:15""";0;109;0;109;1;0;0;0;4.158
"=""02:30""";0;100;0;100;0;0;0;0;4.158
"=""02:45""";0;95;0;95;0;0;0;0;4.158
"=""03:00""";0;77;1;77;1;0;0;0;4.158
"=""03:15""";0;102;1;102;0;0;0;0;4.158
"=""03:30""";0;144;0;144;1;0;0;0;4.158
"=""03:45""";0;94;1;95;0;0;0;0;4.158
"=""04:00""";0;102;0;102;0;0;0;0;4.158
"=""04:15""";0;115;0;115;0;0;0;0;4.158
"=""04:30""";0;107;0;107;0;0;0;0;4.158
"=""04:45""";0;117;1;117;0;0;0;0;4.158
"=""05:00""";0;114;0;113;1;0;0;0;4.158
"=""05:15""";0;98;1;98;1;0;0;0;4.158
"=""05:30""";0;79;0;79;0;0;0;0;4.158
"=""05:45""";0;101;1;101;1;0;0;0;4.158
"=""06:00""";0;104;0;104;1;0;0;0;4.158
"=""06:15""";0;83;1;83;0;0;0;0;4.158
"=""06:30""";0;89;0;88;1;0;0;0;4.158
"=""06:45""";0;122;1;122;0;0;0;0;4.158
"=""07:00""";0;108;0;108;0;0;0;0;4.158
"=""07:15""";107;70;1;179;1;107;15;123;4.158
"=""07:30""";214;597;12;822;6;214;114;334;4.158
"=""07:45""";120;0;1;120;1;120;59;179;4.158
"=""08:00""";91;0;0;92;0;91;79;171;4.158
"=""08:15""";112;8;3;123;1;112;31;144;4.158
"=""08:30""";114;0;0;114;1;114;203;318;4.158
"=""08:45""";97;0;1;98;1;97;306;404;4.158
"=""09:00""";119;0;1;120;1;119;213;332;4.158
"=""09:15""";131;7;3;141;1;131;33;165;4.158
"=""09:30""";161;0;1;162;2;161;334;497;4.158
"=""09:45""";126;0;1;128;2;126;683;812;4.158
"=""10:00""";369;0;5;373;5;369;513;886;4.158
"=""10:15""";290;0;5;295;4;290;775;1.069;4.158
"=""10:30""";250;0;3;253;6;250;1.024;1.280;4.158
"=""10:45""";86;0;5;91;5;86;1.792;1.883;4.158
"=""11:00""";95;0;7;102;692;95;2.773;3.560;4.158
"=""11:15""";67;0;11;78;946;67;2.972;3.984;4.158
"=""11:30""";109;0;0;109;1.303;109;16;1.428;4.158
"=""11:45""";109;0;3;112;1.642;109;2.063;3.814;4.158
"=""12:00""";93;0;4;97;1.572;93;2.360;4.025;4.158
"=""12:15""";1.372;37;5;1.413;1.697;1.372;542;3.610;4.158
"=""12:30""";806;1.369;32;2.207;132;806;0;938;4.158
"=""12:45""";758;1.992;530;3.280;68;758;203;1.028;4.158
"=""13:00""";1.412;45;97;1.554;577;1.412;2.104;4.093;4.158
"=""13:15""";262;0;8;270;1.857;262;2.477;4.596;4.158
"=""13:30""";254;0;0;254;4.165;254;354;4.773;4.158
