 ;Direktverbrauch / Mittelwerte [W] ;Batterieentladung / Mittelwerte [W] ;Netzbezug / Mittelwerte [W] ;Gesamtverbrauch / Mittelwerte [W] ;Netzeinspeisung / Mittelwerte [W] ;Direktverbrauch / Mittelwerte [W]  ;Batterieladung / Mittelwerte [W]  ;PV-Erzeugung / Mittelwerte [W]  ;Begrenzung der Wirkleistungseinspeisung / Mittelwerte [W]  
"=""10:15""";176;0;0;176;3.338;176;0;3.514;4.158
"=""10:30""";187;0;0;187;3.578;187;0;3.764;4.158
"=""10:45""";164;0;0;164;3.727;164;0;3.891;4.158
"=""11:00""";261;0;0;261;3.769;261;0;4.030;4.158
"=""11:15""";341;0;0;341;3.789;341;0;4.130;4.158
"=""11:30""";708;0;0;708;2.670;708;759;4.136;4.158
"=""11:45""";1.630;0;8;1.639;1.449;1.630;1.117;4.197;4.158
"=""12:00""";2.424;0;8;2.431;467;2.424;1.517;4.408;4.158
"=""12:15""";1.963;0;7;1.970;906;1.963;1.007;3.877;4.158
"=""12:30""";2.916;28;37;2.980;45;2.916;1.260;4.221;4.158
"=""12:45""";2.068;0;13;2.080;209;2.068;1.809;4.086;4.158
"=""13:00""";2.041;0;14;2.055;878;2.041;1.277;4.196;4.158
"=""13:15""";2.171;0;12;2.183;1.280;2.171;841;4.292;4.158
"=""13:30""";2.299;0;24;2.323;919;2.299;1.066;4.284;4.158
"=""13:45""";2.019;0;27;2.046;544;2.019;1.367;3.930;4.158
"=""14:00""";111;0;0;111;2.697;111;1.423;4.231;4.158
"=""14:15""";100;0;0;101;3.497;100;467;4.065;4.158
"=""14:30""";1.330;0;1;1.331;1.901;1.330;789;4.021;4.158
"=""14:45""";1.698;0;3;1.701;1.218;1.698;898;3.814;4.158
"=""15:00""";1.353;0;6;1.359;265;1.353;2.043;3.661;4.158
"=""15:15""";125;0;0;125;3.167;125;78;3.369;4.158
"=""15:30""";90;0;0;90;3.176;90;0;3.266;4.158
"=""15:45""";200;0;0;200;2.822;200;0;3.022;4.158
"=""16:00""";312;0;0;312;2.640;312;0;2.952;4.158
"=""16:15""";275;0;0;275;2.521;275;0;2.796;4.158
"=""16:30""";313;0;0;313;2.116;313;0;2.429;4.158
"=""16:45""";1.251;20;3;1.274;655;1.251;270;2.175;4.158
"=""17:00""";436;51;4;491;1.567;436;9;2.012;4.158
"=""17:15""";177;0;0;177;1.659;177;0;1.836;4.158
"=""17:30""";195;0;0;195;1.436;195;0;1.631;4.158
"=""17:45""";106;0;1;107;951;106;291;1.347;4.158
"=""18:00""";322;88;62;472;887;322;6;1.215;4.158
"=""18:15""";127;0;0;127;844;127;5;976;4.158
"=""18:30""";117;0;0;117;703;117;0;820;4.158
"=""18:45""";96;0;0;96;553;96;0;649;4.158
"=""19:00""";117;0;0;117;459;117;0;576;4.158
"=""19:15""";445;1.154;89;1.687;76;445;0;521;4.158
"=""19:30""";381;1.217;8;1.606;5;381;68;454;4.158
"=""19:45""";307;1.189;5;1.501;5;307;66;378;4.158
"=""20:00""";121;0;1;121;1;121;175;297;4.158
"=""20:15""";138;0;1;139;1;138;91;229;4.158
"=""20:30""";121;1.137;9;1.266;6;121;27;153;4.158
"=""20:45""";78;2.278;25;2.381;25;78;0;103;4.158
"=""21:00""";28;969;14;1.012;17;28;0;45;4.158
"=""21:15""";0;92;1;92;1;0;0;0;4.158
"=""21:30""";0;283;3;283;2;0;0;0;4.158
"=""21:45""";0;263;3;263;3;0;0;0;4.158
"=""22:00""";0;255;3;256;3;0;0;0;4.158
"=""22:15""";0;235;3;234;4;0;0;0;4.158
"=""22:30""";0;172;1;172;1;0;0;0;4.158
"=""22:45""";0;132;1;133;1;0;0;0;4.158
"=""23:00""";0;175;1;175;1;0;0;0;4.158
"=""23:15""";0;130;1;130;1;0;0;0;4.158
"=""23:30""";0;143;1;143;1;0;0;0;4.158
"=""23:45""";0;128;1;128;1;0;0;0;4.158
"=""00:00""";0;108;1;108;1;0;0;0;4.158
