 ;Direktverbrauch / Mittelwerte [W] ;Batterieentladung / Mittelwerte [W] ;Netzbezug / Mittelwerte [W] ;Gesamtverbrauch / Mittelwerte [W] ;Netzeinspeisung / Mittelwerte [W] ;Direktverbrauch / Mittelwerte [W]  ;Batterieladung / Mittelwerte [W]  ;PV-Erzeugung / Mittelwerte [W]  ;Begrenzung der Wirkleistungseinspeisung / Mittelwerte [W]  
"=""00:15""";0;2;269;271;0;0;0;0;4.158
"=""00:30""";0;0;270;270;0;0;0;0;4.158
"=""00:45""";0;0;259;259;0;0;0;0;4.158
"=""01:00""";0;0;230;230;0;0;0;0;4.158
"=""01:15""";0;0;215;215;0;0;0;0;4.158
"=""01:30""";0;0;236;236;0;0;0;0;4.158
"=""01:45""";0;0;178;178;0;0;0;0;4.158
"=""02:00""";0;0;124;124;0;0;0;0;4.158
"=""02:15""";0;0;131;131;0;0;0;0;4.158
"=""02:30""";0;0;142;142;0;0;0;0;4.158
"=""02:45""";0;0;124;124;0;0;0;0;4.158
"=""03:00""";0;0;128;128;0;0;0;0;4.158
"=""03:15""";0;0;135;135;0;0;0;0;4.158
"=""03:30""";0;0;88;88;0;0;0;0;4.158
"=""03:45""";0;0;129;129;0;0;0;0;4.158
"=""04:00""";0;0;127;127;0;0;0;0;4.158
"=""04:15""";0;0;95;95;0;0;0;0;4.158
"=""04:30""";0;0;115;115;0;0;0;0;4.158
"=""04:45""";0;0;109;109;0;0;0;0;4.158
"=""05:00""";0;0;126;126;0;0;0;0;4.158
"=""05:15""";0;0;115;115;0;0;0;0;4.158
"=""05:30""";0;0;116;116;0;0;0;0;4.158
"=""05:45""";0;0;118;118;0;0;0;0;4.158
"=""06:00""";2;0;75;77;0;2;0;2;4.158
"=""06:15""";82;0;54;136;0;82;0;82;4.158
"=""06:30""";105;0;1;106;6;105;62;173;4.158
"=""06:45""";79;0;1;80;1;79;210;290;4.158
"=""07:00""";117;0;1;117;78;117;270;465;4.158
"=""07:15""";103;0;0;103;562;103;3;668;4.158
"=""07:30""";114;0;0;114;742;114;0;856;4.158
"=""07:45""";110;0;0;110;995;110;0;1.105;4.158
"=""08:00""";118;0;0;118;1.224;118;0;1.342;4.158
"=""08:15""";123;0;0;123;1.520;123;0;1.643;4.158
"=""08:30""";216;0;0;216;1.694;216;0;1.910;4.158
"=""08:45""";564;44;26;633;1.607;564;0;2.171;4.158
"=""09:00""";307;29;0;336;2.129;307;0;2.436;4.158
"=""09:15""";195;0;0;195;2.506;195;0;2.701;4.158
"=""09:30""";273;0;0;273;2.622;273;0;2.895;4.158
"=""09:45""";171;0;0;171;2.945;171;0;3.116;4.158
"=""10:00""";190;0;0;190;3.149;190;0;3.339;4.158
