 ;Direktverbrauch / Mittelwerte [W] ;Batterieentladung / Mittelwerte [W] ;Netzbezug / Mittelwerte [W] ;Gesamtverbrauch / Mittelwerte [W] ;Netzeinspeisung / Mittelwerte [W] ;Direktverbrauch / Mittelwerte [W]  ;Batterieladung / Mittelwerte [W]  ;PV-Erzeugung / Mittelwerte [W]  ;Begrenzung der Wirkleistungseinspeisung / Mittelwerte [W]  
"=""00:15""";0;226;2;226;3;0;0;0;4.158
"=""00:30""";0;121;0;121;0;0;0;0;4.158
"=""00:45""";0;121;0;122;0;0;0;0;4.158
"=""01:00""";0;117;0;117;0;0;0;0;4.158
"=""01:15""";0;74;0;74;0;0;0;0;4.158
"=""01:30""";0;88;0;88;0;0;0;0;4.158
"=""01:45""";0;108;0;108;0;0;0;0;4.158
"=""02:00""";0;78;1;79;0;0;0;0;4.158
"=""02:15""";0;68;0;67;0;0;0;0;4.158
"=""02:30""";0;105;0;105;0;0;0;0;4.158
"=""02:45""";0;93;0;93;0;0;0;0;4.158
"=""03:00""";0;92;0;92;0;0;0;0;4.158
"=""03:15""";0;91;0;91;0;0;0;0;4.158
"=""03:30""";0;113;0;114;0;0;0;0;4.158
"=""03:45""";0;70;0;70;0;0;0;0;4.158
"=""04:00""";0;63;0;63;0;0;0;0;4.158
"=""04:15""";0;105;0;105;1;0;0;0;4.158
"=""04:30""";0;78;0;78;0;0;0;0;4.158
"=""04:45""";0;71;0;71;0;0;0;0;4.158
"=""05:00""";0;100;0;99;0;0;0;0;4.158
"=""05:15""";0;105;0;105;0;0;0;0;4.158
"=""05:30""";0;98;0;98;0;0;0;0;4.158
"=""05:45""";0;105;1;106;0;0;0;0;4.158
"=""06:00""";0;92;0;91;0;0;0;0;4.158
"=""06:15""";0;78;0;78;1;0;0;0;4.158
"=""06:30""";62;5;0;67;4;62;23;89;4.158
"=""06:45""";130;0;1;130;1;130;75;205;4.158
"=""07:00""";118;213;8;340;2;118;24;144;4.158
"=""07:15""";121;156;4;281;2;121;67;190;4.158
"=""07:30""";180;659;26;865;14;180;42;236;4.158
"=""07:45""";118;0;0;118;0;118;91;209;4.158
"=""08:00""";180;0;3;183;3;180;281;464;4.158
"=""08:15""";189;0;4;193;5;189;376;569;4.158
"=""08:30""";244;215;6;465;7;244;115;366;4.158
"=""08:45""";124;0;12;136;16;124;1.220;1.360;4.158
"=""09:00""";60;0;24;84;21;60;2.444;2.525;4.158
"=""09:15""";65;0;25;90;26;65;1.931;2.023;4.158
"=""09:30""";47;0;21;68;25;47;3.200;3.272;4.158
"=""09:45""";57;0;9;66;25;57;3.630;3.712;4.158
"=""10:00""";58;0;10;68;2.688;58;695;3.441;4.158
"=""10:15""";71;0;0;71;3.959;71;0;4.030;4.158
"=""10:30""";54;0;0;54;4.046;54;158;4.258;4.158
"=""10:45""";58;0;0;58;4.115;58;260;4.432;4.158
"=""11:00""";58;0;0;58;4.120;58;382;4.560;4.158
"=""11:15""";30;0;0;30;4.101;30;594;4.725;4.158
"=""11:30""";34;0;0;34;3.341;34;105;3.480;4.158
"=""11:45""";94;0;0;94;2.492;94;0;2.586;4.158
"=""12:00""";51;0;0;51;2.700;51;90;2.841;4.158
"=""12:15""";57;0;0;57;2.312;57;0;2.369;4.158
