 ;Direktverbrauch / Mittelwerte [W] ;Batterieentladung / Mittelwerte [W] ;Netzbezug / Mittelwerte [W] ;Gesamtverbrauch / Mittelwerte [W] ;Netzeinspeisung / Mittelwerte [W] ;Direktverbrauch / Mittelwerte [W]  ;Batterieladung / Mittelwerte [W]  ;PV-Erzeugung / Mittelwerte [W]  ;Begrenzung der Wirkleistungseinspeisung / Mittelwerte [W]  
"=""12:30""";479;37;42;558;1.242;479;3;1.723;4.158
"=""12:45""";552;12;1;566;1.153;552;12;1.717;4.158
"=""13:00""";185;0;0;185;3.385;185;0;3.570;4.158
"=""13:15""";462;0;1;463;699;462;0;1.161;4.158
"=""13:30""";313;0;0;313;2.956;313;0;3.269;4.158
"=""13:45""";130;87;68;284;502;130;276;907;4.158
"=""14:00""";88;0;0;88;1.009;88;2;1.100;4.158
"=""14:15""";170;0;0;170;791;170;0;961;4.158
"=""14:30""";166;0;0;166;778;166;0;944;4.158
"=""14:45""";325;4;14;343;1.634;325;8;1.966;4.158
"=""15:00""";354;17;46;416;809;354;8;1.170;4.158
"=""15:15""";321;0;0;321;848;321;0;1.169;4.158
"=""15:30""";310;0;0;310;1.678;310;0;1.988;4.158
"=""15:45""";244;0;0;244;1.685;244;0;1.929;4.158
"=""16:00""";202;0;2;204;1.313;202;208;1.724;4.158
"=""16:15""";187;0;0;187;1.279;187;0;1.466;4.158
"=""16:30""";165;0;0;165;2.584;165;0;2.749;4.158
"=""16:45""";251;0;0;251;930;251;0;1.181;4.158
"=""17:00""";267;0;0;267;1.840;267;0;2.107;4.158
"=""17:15""";440;1;3;443;1.392;440;8;1.840;4.158
"=""17:30""";271;2;4;276;826;271;0;1.097;4.158
"=""17:45""";191;19;2;211;2;191;61;253;4.158
"=""18:00""";219;17;5;240;4;219;76;299;4.158
"=""18:15""";162;41;1;205;2;162;58;222;4.158
"=""18:30""";259;0;3;262;2;259;92;353;4.158
"=""18:45""";212;0;1;213;120;212;140;473;4.158
"=""19:00""";218;0;0;218;145;218;0;363;4.158
"=""19:15""";124;0;0;124;174;124;0;298;4.158
"=""19:30""";203;1.183;48;1.434;36;203;0;240;4.158
"=""19:45""";81;373;81;535;41;81;19;140;4.158
"=""20:00""";108;14;5;127;0;108;2;111;4.158
"=""20:15""";45;96;1;141;1;45;0;45;4.158
"=""20:30""";69;139;11;219;7;69;0;76;4.158
"=""20:45""";114;1.328;1;1.443;4;114;0;118;4.158
"=""21:00""";48;1.014;8;1.070;4;48;0;52;4.158
"=""21:15""";0;1.690;1;1.687;4;0;0;0;4.158
"=""21:30""";0;228;3;228;3;0;0;0;4.158
"=""21:45""";0;766;9;769;7;0;0;0;4.158
"=""22:00""";0;1.441;4;1.438;6;0;0;0;4.158
"=""22:15""";0;263;4;262;4;0;0;0;4.158
"=""22:30""";0;774;18;774;18;0;0;0;4.158
"=""22:45""";0;318;2;318;2;0;0;0;4.158
"=""23:00""";0;289;3;289;3;0;0;0;4.158
"=""23:15""";0;304;5;304;4;0;0;0;4.158
"=""23:30""";0;375;7;375;7;0;0;0;4.158
"=""23:45""";0;301;2;300;3;0;0;0;4.158
"=""00:00""";0;179;1;179;1;0;0;0;4.158
