 ;Direktverbrauch / Mittelwerte [W] ;Batterieentladung / Mittelwerte [W] ;Netzbezug / Mittelwerte [W] ;Gesamtverbrauch / Mittelwerte [W] ;Netzeinspeisung / Mittelwerte [W] ;Direktverbrauch / Mittelwerte [W]  ;Batterieladung / Mittelwerte [W]  ;PV-Erzeugung / Mittelwerte [W]  ;Begrenzung der Wirkleistungseinspeisung / Mittelwerte [W]  
"=""00:15""";0;0;223;223;0;0;0;0;4.158
"=""00:30""";0;0;241;241;0;0;0;0;4.158
"=""00:45""";0;0;222;222;0;0;0;0;4.158
"=""01:00""";0;0;232;232;0;0;0;0;4.158
"=""01:15""";0;0;146;146;0;0;0;0;4.158
"=""01:30""";0;0;120;120;0;0;0;0;4.158
"=""01:45""";0;0;126;126;0;0;0;0;4.158
"=""02:00""";0;0;147;147;0;0;0;0;4.158
"=""02:15""";0;0;151;151;0;0;0;0;4.158
"=""02:30""";0;0;122;122;0;0;0;0;4.158
"=""02:45""";0;0;82;82;0;0;0;0;4.158
"=""03:00""";0;0;108;108;0;0;0;0;4.158
"=""03:15""";0;0;108;108;0;0;0;0;4.158
"=""03:30""";0;0;118;118;0;0;0;0;4.158
"=""03:45""";0;0;123;123;0;0;0;0;4.158
"=""04:00""";0;0;123;123;0;0;0;0;4.158
"=""04:15""";0;0;123;123;0;0;0;0;4.158
"=""04:30""";0;0;105;105;0;0;0;0;4.158
"=""04:45""";0;0;107;107;0;0;0;0;4.158
"=""05:00""";0;0;136;136;0;0;0;0;4.158
"=""05:15""";0;0;97;97;0;0;0;0;4.158
"=""05:30""";0;0;105;105;0;0;0;0;4.158
"=""05:45""";0;0;106;106;0;0;0;0;4.158
"=""06:00""";0;0;103;103;0;0;0;0;4.158
"=""06:15""";10;0;94;104;0;10;0;10;4.158
"=""06:30""";97;0;14;111;1;97;0;98;4.158
"=""06:45""";79;0;56;135;0;79;0;79;4.158
"=""07:00""";79;0;19;98;7;79;0;86;4.158
"=""07:15""";75;0;1;75;1;75;89;164;4.158
"=""07:30""";108;0;1;109;1;108;56;165;4.158
"=""07:45""";84;0;4;88;6;84;58;149;4.158
"=""08:00""";74;0;1;75;1;74;111;186;4.158
"=""08:15""";125;0;82;207;0;125;5;130;4.158
"=""08:30""";201;0;40;241;3;201;2;206;4.158
"=""08:45""";264;0;136;400;5;264;151;420;4.158
"=""09:00""";543;565;109;1.217;100;543;186;829;4.158
"=""09:15""";419;33;3;455;4;419;590;1.014;4.158
"=""09:30""";146;0;4;149;2;146;740;887;4.158
"=""09:45""";147;0;2;149;1;147;590;738;4.158
"=""10:00""";288;23;9;320;10;288;537;835;4.158
"=""10:15""";241;0;9;250;9;241;543;793;4.158
"=""10:30""";207;0;5;213;5;207;654;867;4.158
"=""10:45""";235;0;11;246;17;235;1.604;1.856;4.158
"=""11:00""";228;0;17;245;793;228;2.875;3.897;4.158
"=""11:15""";211;0;16;226;302;211;1.705;2.217;4.158
"=""11:30""";210;0;19;229;359;210;1.809;2.378;4.158
"=""11:45""";216;0;6;223;2.190;216;2.584;4.990;4.158
"=""12:00""";292;0;9;301;2.022;292;379;2.693;4.158
"=""12:15""";269;0;0;269;3.571;269;61;3.901;4.158
"=""12:30""";340;0;0;340;1.538;340;46;1.924;4.158
"=""12:45""";338;0;2;340;2.817;338;980;4.135;4.158
"=""13:00""";290;0;0;290;2.428;290;166;2.884;4.158
"=""13:15""";225;463;15;703;26;225;0;251;4.158
"=""13:30""";746;835;45;1.627;43;746;10;799;4.158
"=""13:45""";665;1.000;71;1.736;346;665;1.599;2.610;4.158
"=""14:00""";436;0;46;483;1.734;436;2.092;4.263;4.158
"=""14:15""";241;0;0;241;4.160;241;355;4.756;4.158
"=""14:30""";332;0;0;332;2.398;332;195;2.925;4.158
"=""14:45""";1.589;436;31;2.057;321;1.589;0;1.910;4.158
"=""15:00""";1.869;230;66;2.165;192;1.869;1.251;3.313;4.158
"=""15:15""";826;0;16;842;2.409;826;841;4.076;4.158
"=""15:30""";369;0;0;369;3.242;369;0;3.611;4.158
"=""15:45""";370;0;0;370;3.122;370;0;3.492;4.158
"=""16:00""";411;0;0;411;909;411;0;1.320;4.158
"=""16:15""";411;0;0;411;1.142;411;0;1.553;4.158
"=""16:30""";400;0;0;400;1.605;400;0;2.005;4.158
"=""16:45""";411;0;4;415;1.482;411;285;2.178;4.158
"=""17:00""";385;0;0;385;1.919;385;2;2.306;4.158
"=""17:15""";353;0;0;353;632;353;0;985;4.158
"=""17:30""";355;0;0;355;1.536;355;0;1.891;4.158
"=""17:45""";191;0;0;191;1.410;191;0;1.601;4.158
"=""18:00""";186;0;0;186;1.030;186;0;1.216;4.158
"=""18:15""";215;0;0;215;659;215;0;874;4.158
"=""18:30""";224;21;3;248;238;224;1;463;4.158
"=""18:45""";123;0;1;124;239;123;255;616;4.158
"=""19:00""";98;0;0;98;441;98;0;540;4.158
"=""19:15""";190;0;0;190;235;190;0;425;4.158
"=""19:30""";194;1.249;160;1.603;133;194;0;327;4.158
"=""19:45""";199;322;119;640;89;199;26;314;4.158
"=""20:00""";125;130;61;317;63;125;2;191;4.158
"=""20:15""";55;240;61;356;61;55;0;116;4.158
"=""20:30""";51;230;29;311;31;51;0;82;4.158
"=""20:45""";6;1.298;12;1.316;10;6;0;16;4.158
"=""21:00""";0;370;5;369;6;0;0;0;4.158
"=""21:15""";0;2.031;8;2.035;4;0;0;0;4.158
"=""21:30""";0;1.006;5;1.003;8;0;0;0;4.158
"=""21:45""";0;337;9;338;8;0;0;0;4.158
"=""22:00""";0;1.777;87;1.855;8;0;0;0;4.158
"=""22:15""";0;750;4;746;7;0;0;0;4.158
"=""22:30""";0;283;4;283;4;0;0;0;4.158
"=""22:45""";0;233;5;233;5;0;0;0;4.158
"=""23:00""";0;256;3;256;3;0;0;0;4.158
"=""23:15""";0;280;5;280;5;0;0;0;4.158
"=""23:30""";0;219;4;219;4;0;0;0;4.158
"=""23:45""";0;243;4;242;5;0;0;0;4.158
"=""00:00""";0;121;1;122;1;0;0;0;4.158
