 ;Direktverbrauch / Mittelwerte [W] ;Batterieentladung / Mittelwerte [W] ;Netzbezug / Mittelwerte [W] ;Gesamtverbrauch / Mittelwerte [W] ;Netzeinspeisung / Mittelwerte [W] ;Direktverbrauch / Mittelwerte [W]  ;Batterieladung / Mittelwerte [W]  ;PV-Erzeugung / Mittelwerte [W]  ;Begrenzung der Wirkleistungseinspeisung / Mittelwerte [W]  
"=""00:15""";0;1.388;2;1.385;5;0;0;0;4.158
"=""00:30""";0;207;3;208;3;0;0;0;4.158
"=""00:45""";0;194;3;194;3;0;0;0;4.158
"=""01:00""";0;140;0;140;1;0;0;0;4.158
"=""01:15""";0;99;0;99;0;0;0;0;4.158
"=""01:30""";0;91;0;91;0;0;0;0;4.158
"=""01:45""";0;121;0;121;0;0;0;0;4.158
"=""02:00""";0;79;1;79;1;0;0;0;4.158
"=""02:15""";0;88;0;88;0;0;0;0;4.158
"=""02:30""";0;107;0;107;0;0;0;0;4.158
"=""02:45""";0;116;0;116;0;0;0;0;4.158
"=""03:00""";0;98;0;98;0;0;0;0;4.158
"=""03:15""";0;110;0;110;0;0;0;0;4.158
"=""03:30""";0;100;0;100;0;0;0;0;4.158
"=""03:45""";0;83;0;83;0;0;0;0;4.158
"=""04:00""";0;78;1;78;0;0;0;0;4.158
"=""04:15""";0;115;0;115;0;0;0;0;4.158
"=""04:30""";0;77;0;77;1;0;0;0;4.158
"=""04:45""";0;81;1;82;0;0;0;0;4.158
"=""05:00""";0;104;0;104;0;0;0;0;4.158
"=""05:15""";0;94;0;94;0;0;0;0;4.158
"=""05:30""";0;104;0;104;0;0;0;0;4.158
"=""05:45""";0;91;0;91;0;0;0;0;4.158
"=""06:00""";0;108;0;108;1;0;0;0;4.158
"=""06:15""";0;59;0;59;0;0;0;0;4.158
"=""06:30""";0;81;1;81;0;0;0;0;4.158
"=""06:45""";38;70;1;108;0;38;0;38;4.158
"=""07:00""";127;349;9;484;17;127;0;143;4.158
"=""07:15""";138;0;0;138;318;138;0;456;4.158
"=""07:30""";245;116;76;438;559;245;0;804;4.158
"=""07:45""";182;100;0;282;862;182;0;1.044;4.158
"=""08:00""";294;114;455;863;689;294;0;983;4.158
"=""08:15""";586;0;1.098;1.684;186;586;20;792;4.158
"=""08:30""";1.721;0;493;2.214;0;1.721;0;1.721;4.158
"=""08:45""";1.418;0;31;1.449;791;1.418;165;2.374;4.158
"=""09:00""";542;0;0;542;2.232;542;0;2.774;4.158
"=""09:15""";152;0;0;152;2.830;152;0;2.982;4.158
"=""09:30""";110;0;0;110;3.069;110;0;3.179;4.158
"=""09:45""";147;0;0;147;3.379;147;7;3.533;4.158
"=""10:00""";137;0;1;138;3.368;137;262;3.767;4.158
"=""10:15""";163;0;0;163;3.756;163;0;3.919;4.158
"=""10:30""";171;0;0;171;3.965;171;0;4.136;4.158
"=""10:45""";274;0;0;274;3.977;274;0;4.251;4.158
"=""11:00""";61;0;0;61;4.159;61;0;4.220;4.158
"=""11:15""";56;0;0;56;3.786;56;623;4.465;4.158
"=""11:30""";96;0;0;96;2.168;96;2.334;4.598;4.158
"=""11:45""";46;0;0;46;1.991;46;2.622;4.658;4.158
"=""12:00""";71;0;0;71;2.470;71;2.110;4.651;4.158
