 ;Direktverbrauch / Mittelwerte [W] ;Batterieentladung / Mittelwerte [W] ;Netzbezug / Mittelwerte [W] ;Gesamtverbrauch / Mittelwerte [W] ;Netzeinspeisung / Mittelwerte [W] ;Direktverbrauch / Mittelwerte [W]  ;Batterieladung / Mittelwerte [W]  ;PV-Erzeugung / Mittelwerte [W]  ;Begrenzung der Wirkleistungseinspeisung / Mittelwerte [W]  
"=""12:30""";56;0;0;56;4.122;56;744;4.921;4.158
"=""12:45""";38;0;0;38;4.105;38;746;4.890;4.158
"=""13:00""";251;0;0;251;4.039;251;637;4.927;4.158
"=""13:15""";81;0;0;81;3.940;81;609;4.630;4.158
"=""13:30""";36;0;0;36;4.117;36;702;4.854;4.158
"=""13:45""";747;0;0;747;3.585;747;300;4.632;4.158
"=""14:00""";321;0;0;321;4.007;321;158;4.486;4.158
"=""14:15""";1.669;0;0;1.669;2.723;1.669;197;4.589;4.158
"=""14:30""";1.526;0;0;1.526;2.896;1.526;8;4.430;4.158
"=""14:45""";167;0;0;167;3.766;167;371;4.303;4.158
"=""15:00""";92;0;0;92;4.034;92;8;4.134;4.158
"=""15:15""";201;0;0;201;3.272;201;502;3.975;4.158
"=""15:30""";1.541;0;0;1.541;2.231;1.541;0;3.772;4.158
"=""15:45""";691;0;0;691;2.840;691;0;3.530;4.158
"=""16:00""";2.130;53;16;2.198;1.181;2.130;8;3.319;4.158
"=""16:15""";446;0;0;446;2.636;446;0;3.082;4.158
"=""16:30""";99;0;0;100;2.537;99;181;2.817;4.158
"=""16:45""";1.683;0;0;1.683;860;1.683;1;2.544;4.158
"=""17:00""";95;0;0;95;2.158;95;0;2.253;4.158
"=""17:15""";90;0;0;90;1.860;90;0;1.950;4.158
"=""17:30""";139;0;0;139;1.498;139;0;1.637;4.158
"=""17:45""";170;0;0;170;1.162;170;0;1.332;4.158
"=""18:00""";156;0;0;156;873;156;0;1.029;4.158
"=""18:15""";130;0;0;130;573;130;0;703;4.158
"=""18:30""";117;0;0;117;385;117;0;502;4.158
"=""18:45""";139;0;10;150;177;139;0;316;4.158
"=""19:00""";165;256;9;430;6;165;32;203;4.158
"=""19:15""";91;0;1;92;0;91;71;163;4.158
"=""19:30""";102;0;3;105;0;102;30;133;4.158
"=""19:45""";85;0;1;85;0;85;29;114;4.158
"=""20:00""";96;19;5;120;1;96;0;97;4.158
"=""20:15""";67;60;1;127;0;67;0;67;4.158
"=""20:30""";26;71;1;98;0;26;0;26;4.158
"=""20:45""";0;123;1;124;0;0;0;0;4.158
"=""21:00""";0;512;6;511;7;0;0;0;4.158
"=""21:15""";0;169;1;169;1;0;0;0;4.158
"=""21:30""";0;161;0;161;0;0;0;0;4.158
"=""21:45""";0;155;0;155;0;0;0;0;4.158
"=""22:00""";0;124;0;124;0;0;0;0;4.158
"=""22:15""";0;137;0;137;0;0;0;0;4.158
"=""22:30""";0;109;0;109;0;0;0;0;4.158
"=""22:45""";0;104;0;104;0;0;0;0;4.158
"=""23:00""";0;119;0;119;0;0;0;0;4.158
"=""23:15""";0;126;0;126;1;0;0;0;4.158
"=""23:30""";0;75;0;75;0;0;0;0;4.158
"=""23:45""";0;99;0;100;0;0;0;0;4.158
"=""00:00""";0;100;0;100;0;0;0;0;4.158
