 ;Direktverbrauch / Mittelwerte [W] ;Batterieentladung / Mittelwerte [W] ;Netzbezug / Mittelwerte [W] ;Gesamtverbrauch / Mittelwerte [W] ;Netzeinspeisung / Mittelwerte [W] ;Direktverbrauch / Mittelwerte [W]  ;Batterieladung / Mittelwerte [W]  ;PV-Erzeugung / Mittelwerte [W]  ;Begrenzung der Wirkleistungseinspeisung / Mittelwerte [W]  
"=""00:15""";0;78;0;78;0;0;0;0;4.158
"=""00:30""";0;95;0;95;0;0;0;0;4.158
"=""00:45""";0;80;0;80;0;0;0;0;4.158
"=""01:00""";0;77;0;77;1;0;0;0;4.158
"=""01:15""";0;53;0;54;0;0;0;0;4.158
"=""01:30""";0;92;0;92;0;0;0;0;4.158
"=""01:45""";0;57;0;57;0;0;0;0;4.158
"=""02:00""";0;73;1;73;1;0;0;0;4.158
"=""02:15""";0;97;0;97;0;0;0;0;4.158
"=""02:30""";0;79;0;79;0;0;0;0;4.158
"=""02:45""";0;78;0;78;0;0;0;0;4.158
"=""03:00""";0;78;0;78;0;0;0;0;4.158
"=""03:15""";0;82;0;82;0;0;0;0;4.158
"=""03:30""";0;60;0;60;0;0;0;0;4.158
"=""03:45""";0;101;0;101;0;0;0;0;4.158
"=""04:00""";0;89;0;89;0;0;0;0;4.158
"=""04:15""";0;70;1;70;1;0;0;0;4.158
"=""04:30""";0;89;0;89;0;0;0;0;4.158
"=""04:45""";0;97;0;97;0;0;0;0;4.158
"=""05:00""";0;99;0;99;0;0;0;0;4.158
"=""05:15""";0;91;0;91;0;0;0;0;4.158
"=""05:30""";0;103;0;103;0;0;0;0;4.158
"=""05:45""";0;69;0;69;0;0;0;0;4.158
"=""06:00""";0;74;0;74;1;0;0;0;4.158
"=""06:15""";0;99;1;99;0;0;0;0;4.158
"=""06:30""";0;89;0;89;0;0;0;0;4.158
"=""06:45""";64;25;4;92;1;64;0;64;4.158
"=""07:00""";114;194;3;311;34;114;0;148;4.158
"=""07:15""";143;21;64;228;280;143;0;423;4.158
"=""07:30""";263;305;0;568;483;263;0;746;4.158
"=""07:45""";244;0;0;244;822;244;0;1.066;4.158
"=""08:00""";113;0;0;113;1.278;113;0;1.391;4.158
"=""08:15""";59;0;0;59;1.672;59;0;1.731;4.158
"=""08:30""";59;0;0;59;2.010;59;0;2.069;4.158
"=""08:45""";77;0;0;77;2.304;77;0;2.381;4.158
"=""09:00""";45;0;0;45;2.693;45;0;2.738;4.158
"=""09:15""";50;0;0;50;2.939;50;0;2.989;4.158
"=""09:30""";70;0;0;70;3.183;70;0;3.253;4.158
"=""09:45""";67;0;0;67;3.448;67;0;3.515;4.158
"=""10:00""";49;0;0;49;3.681;49;0;3.730;4.158
"=""10:15""";62;0;0;62;3.854;62;0;3.916;4.158
"=""10:30""";53;0;0;53;4.067;53;0;4.120;4.158
"=""10:45""";61;0;0;61;4.157;61;0;4.218;4.158
"=""11:00""";62;0;0;62;4.159;62;0;4.221;4.158
"=""11:15""";15;0;0;15;4.159;15;0;4.174;4.158
"=""11:30""";53;0;0;53;4.159;53;84;4.296;4.158
"=""11:45""";47;0;0;47;2.538;47;2.143;4.728;4.158
"=""12:00""";31;0;0;31;3.884;31;928;4.843;4.158
"=""12:15""";40;0;0;40;4.107;40;703;4.850;4.158
