 ;Direktverbrauch / Mittelwerte [W] ;Batterieentladung / Mittelwerte [W] ;Netzbezug / Mittelwerte [W] ;Gesamtverbrauch / Mittelwerte [W] ;Netzeinspeisung / Mittelwerte [W] ;Direktverbrauch / Mittelwerte [W]  ;Batterieladung / Mittelwerte [W]  ;PV-Erzeugung / Mittelwerte [W]  ;Begrenzung der Wirkleistungseinspeisung / Mittelwerte [W]  
"=""00:15""";0;195;2;196;2;0;0;0;4.158
"=""00:30""";0;271;3;271;4;0;0;0;4.158
"=""00:45""";0;278;3;278;3;0;0;0;4.158
"=""01:00""";0;271;3;271;3;0;0;0;4.158
"=""01:15""";0;167;1;167;1;0;0;0;4.158
"=""01:30""";0;113;0;113;0;0;0;0;4.158
"=""01:45""";0;128;1;128;1;0;0;0;4.158
"=""02:00""";0;89;1;89;1;0;0;0;4.158
"=""02:15""";0;97;1;97;1;0;0;0;4.158
"=""02:30""";0;108;0;108;0;0;0;0;4.158
"=""02:45""";0;93;1;93;1;0;0;0;4.158
"=""03:00""";0;77;1;77;1;0;0;0;4.158
"=""03:15""";0;98;0;98;0;0;0;0;4.158
"=""03:30""";0;110;1;110;1;0;0;0;4.158
"=""03:45""";0;92;0;92;0;0;0;0;4.158
"=""04:00""";0;105;1;105;1;0;0;0;4.158
"=""04:15""";0;97;1;98;0;0;0;0;4.158
"=""04:30""";0;101;0;100;1;0;0;0;4.158
"=""04:45""";0;61;1;61;1;0;0;0;4.158
"=""05:00""";0;118;1;118;0;0;0;0;4.158
"=""05:15""";0;79;0;79;1;0;0;0;4.158
"=""05:30""";0;81;1;81;1;0;0;0;4.158
"=""05:45""";0;87;1;87;1;0;0;0;4.158
"=""06:00""";0;85;1;85;1;0;0;0;4.158
"=""06:15""";57;32;1;90;2;57;0;59;4.158
"=""06:30""";100;0;0;100;59;100;7;165;4.158
"=""06:45""";121;0;0;121;176;121;0;297;4.158
"=""07:00""";272;483;43;797;241;272;0;513;4.158
"=""07:15""";142;50;72;264;624;142;0;766;4.158
"=""07:30""";117;0;0;117;908;117;0;1.025;4.158
"=""07:45""";106;0;0;106;1.184;106;0;1.290;4.158
"=""08:00""";114;0;0;114;1.496;114;0;1.610;4.158
"=""08:15""";156;0;0;156;1.730;156;0;1.886;4.158
"=""08:30""";102;0;0;102;2.097;102;0;2.199;4.158
"=""08:45""";82;0;0;82;2.404;82;0;2.486;4.158
"=""09:00""";88;0;0;88;2.624;88;0;2.712;4.158
"=""09:15""";90;0;0;90;2.857;90;0;2.947;4.158
"=""09:30""";67;0;0;67;3.107;67;0;3.174;4.158
"=""09:45""";63;0;0;63;3.360;63;0;3.423;4.158
"=""10:00""";218;0;0;218;3.435;218;0;3.653;4.158
"=""10:15""";117;0;0;117;3.723;117;0;3.840;4.158
"=""10:30""";122;0;0;122;3.896;122;0;4.018;4.158
"=""10:45""";145;0;0;145;4.015;145;0;4.159;4.158
"=""11:00""";147;0;0;147;3.935;147;190;4.272;4.158
"=""11:15""";146;0;0;146;1.878;146;2.348;4.373;4.158
"=""11:30""";160;0;0;160;1.923;160;2.354;4.437;4.158
"=""11:45""";138;0;0;138;2.142;138;2.259;4.539;4.158
"=""12:00""";135;0;0;135;2.353;135;2.117;4.605;4.158
"=""12:15""";1.068;0;2;1.070;2.588;1.068;984;4.640;4.158
"=""12:30""";288;0;0;288;2.969;288;1.398;4.655;4.158
"=""12:45""";108;0;0;108;4.138;108;420;4.665;4.158
"=""13:00""";541;0;1;542;2.760;541;1.332;4.633;4.158
"=""13:15""";384;0;0;384;3.324;384;784;4.492;4.158
"=""13:30""";87;0;0;87;4.117;87;428;4.632;4.158
"=""13:45""";71;0;0;71;3.696;71;817;4.585;4.158
"=""14:00""";78;0;0;78;4.110;78;305;4.493;4.158
"=""14:15""";92;0;0;92;4.095;92;199;4.386;4.158
"=""14:30""";536;0;10;546;2.738;536;966;4.240;4.158
"=""14:45""";253;0;0;253;3.610;253;268;4.130;4.158
"=""15:00""";189;0;0;189;3.221;189;573;3.983;4.158
"=""15:15""";91;0;0;91;3.535;91;210;3.836;4.158
"=""15:30""";67;0;0;67;3.590;67;0;3.657;4.158
"=""15:45""";87;0;0;87;3.348;87;0;3.435;4.158
"=""16:00""";81;0;0;81;3.174;81;0;3.255;4.158
"=""16:15""";142;0;0;142;2.900;142;0;3.042;4.158
"=""16:30""";140;0;0;140;2.643;140;0;2.783;4.158
"=""16:45""";180;0;1;180;2.110;180;248;2.537;4.158
"=""17:00""";486;91;70;648;1.694;486;84;2.264;4.158
"=""17:15""";251;0;2;253;1.651;251;95;1.997;4.158
"=""17:30""";228;0;0;228;1.483;228;0;1.711;4.158
"=""17:45""";205;0;0;205;1.219;205;0;1.424;4.158
"=""18:00""";279;0;0;279;863;279;0;1.142;4.158
"=""18:15""";385;0;0;385;440;385;0;824;4.158
"=""18:30""";338;0;0;338;280;338;0;618;4.158
"=""18:45""";341;6;4;351;61;341;1;402;4.158
"=""19:00""";252;78;7;338;7;252;0;259;4.158
"=""19:15""";184;142;8;334;8;184;0;192;4.158
"=""19:30""";152;781;26;959;20;152;0;172;4.158
"=""19:45""";126;1.641;26;1.793;26;126;0;152;4.158
"=""20:00""";56;449;61;565;71;56;0;127;4.158
"=""20:15""";95;163;4;262;7;95;0;102;4.158
"=""20:30""";84;135;2;221;2;84;0;86;4.158
"=""20:45""";56;193;2;251;2;56;0;57;4.158
"=""21:00""";0;1.983;88;2.062;39;0;0;30;4.158
"=""21:15""";0;2.020;55;2.052;23;0;0;0;4.158
"=""21:30""";0;821;10;823;8;0;0;0;4.158
"=""21:45""";0;2.109;16;2.110;15;0;0;0;4.158
"=""22:00""";0;1.395;7;1.393;9;0;0;0;4.158
"=""22:15""";0;443;9;442;10;0;0;0;4.158
"=""22:30""";0;1.345;10;1.348;7;0;0;0;4.158
"=""22:45""";0;1.051;7;1.047;11;0;0;0;4.158
"=""23:00""";0;463;6;463;6;0;0;0;4.158
"=""23:15""";0;416;6;416;7;0;0;0;4.158
"=""23:30""";0;424;5;425;4;0;0;0;4.158
"=""23:45""";0;250;3;250;3;0;0;0;4.158
"=""00:00""";0;2;232;234;0;0;0;0;4.158
