 ;Direktverbrauch / Mittelwerte [W] ;Batterieentladung / Mittelwerte [W] ;Netzbezug / Mittelwerte [W] ;Gesamtverbrauch / Mittelwerte [W] ;Netzeinspeisung / Mittelwerte [W] ;Direktverbrauch / Mittelwerte [W]  ;Batterieladung / Mittelwerte [W]  ;PV-Erzeugung / Mittelwerte [W]  ;Begrenzung der Wirkleistungseinspeisung / Mittelwerte [W]  
"=""00:15""";0;96;1;96;1;0;0;0;4.158
"=""00:30""";0;94;0;94;0;0;0;0;4.158
"=""00:45""";0;97;1;97;1;0;0;0;4.158
"=""01:00""";0;63;0;62;1;0;0;0;4.158
"=""01:15""";0;77;1;78;0;0;0;0;4.158
"=""01:30""";0;90;0;90;1;0;0;0;4.158
"=""01:45""";0;71;1;71;1;0;0;0;4.158
"=""02:00""";0;91;1;91;1;0;0;0;4.158
"=""02:15""";0;106;1;106;1;0;0;0;4.158
"=""02:30""";0;94;0;94;0;0;0;0;4.158
"=""02:45""";0;100;1;100;1;0;0;0;4.158
"=""03:00""";0;89;0;89;0;0;0;0;4.158
"=""03:15""";0;93;1;93;1;0;0;0;4.158
"=""03:30""";0;59;1;59;0;0;0;0;4.158
"=""03:45""";0;107;0;106;1;0;0;0;4.158
"=""04:00""";0;78;1;78;0;0;0;0;4.158
"=""04:15""";0;75;0;75;1;0;0;0;4.158
"=""04:30""";0;86;1;86;0;0;0;0;4.158
"=""04:45""";0;89;1;89;1;0;0;0;4.158
"=""05:00""";0;89;0;89;1;0;0;0;4.158
"=""05:15""";0;105;1;105;0;0;0;0;4.158
"=""05:30""";0;91;1;91;1;0;0;0;4.158
"=""05:45""";0;59;1;59;1;0;0;0;4.158
"=""06:00""";5;53;0;59;1;5;0;6;4.158
"=""06:15""";79;26;2;107;0;79;0;79;4.158
"=""06:30""";81;0;0;81;106;81;0;186;4.158
"=""06:45""";85;0;0;85;221;85;0;306;4.158
"=""07:00""";107;0;0;107;383;107;0;490;4.158
"=""07:15""";103;0;0;103;612;103;0;715;4.158
"=""07:30""";97;0;0;97;874;97;0;971;4.158
"=""07:45""";100;0;0;100;1.146;100;0;1.246;4.158
"=""08:00""";89;0;0;89;1.431;89;0;1.520;4.158
"=""08:15""";68;0;0;68;1.747;68;0;1.815;4.158
"=""08:30""";65;0;0;65;2.035;65;0;2.100;4.158
"=""08:45""";102;0;0;102;2.299;102;0;2.401;4.158
"=""09:00""";43;0;0;43;2.565;43;0;2.608;4.158
"=""09:15""";58;0;0;58;2.805;58;0;2.863;4.158
"=""09:30""";70;0;0;70;3.041;70;0;3.111;4.158
"=""09:45""";83;0;0;83;3.258;83;0;3.341;4.158
"=""10:00""";65;0;0;65;3.482;65;0;3.547;4.158
"=""10:15""";61;0;0;61;3.670;61;0;3.731;4.158
"=""10:30""";53;0;0;53;3.826;53;0;3.879;4.158
"=""10:45""";41;0;0;41;3.994;41;0;4.035;4.158
"=""11:00""";65;0;0;65;4.142;65;0;4.206;4.158
"=""11:15""";59;0;0;59;4.142;59;85;4.285;4.158
"=""11:30""";25;0;0;25;4.129;25;229;4.383;4.158
"=""11:45""";62;0;0;62;4.127;62;289;4.478;4.158
"=""12:00""";51;0;0;51;4.134;51;367;4.552;4.158
"=""12:15""";69;0;0;69;4.127;69;395;4.591;4.158
"=""12:30""";48;0;0;48;4.130;48;477;4.655;4.158
"=""12:45""";69;0;0;69;4.120;69;456;4.645;4.158
"=""13:00""";33;0;0;33;4.129;33;465;4.627;4.158
"=""13:15""";35;0;0;35;4.125;35;435;4.594;4.158
"=""13:30""";59;0;0;59;4.117;59;389;4.565;4.158
"=""13:45""";47;0;0;47;4.123;47;341;4.510;4.158
"=""14:00""";22;0;0;22;4.108;22;275;4.404;4.158
"=""14:15""";52;0;0;52;4.104;52;171;4.327;4.158
"=""14:30""";50;0;0;50;4.121;50;83;4.254;4.158
"=""14:45""";79;0;0;79;4.016;79;11;4.106;4.158
"=""15:00""";59;0;0;59;3.629;59;272;3.960;4.158
"=""15:15""";90;0;1;91;2.799;90;911;3.800;4.158
