 ;Direktverbrauch / Mittelwerte [W] ;Batterieentladung / Mittelwerte [W] ;Netzbezug / Mittelwerte [W] ;Gesamtverbrauch / Mittelwerte [W] ;Netzeinspeisung / Mittelwerte [W] ;Direktverbrauch / Mittelwerte [W]  ;Batterieladung / Mittelwerte [W]  ;PV-Erzeugung / Mittelwerte [W]  ;Begrenzung der Wirkleistungseinspeisung / Mittelwerte [W]  
"=""00:15""";0;103;0;103;0;0;0;0;4.158
"=""00:30""";0;93;0;93;0;0;0;0;4.158
"=""00:45""";0;93;0;93;0;0;0;0;4.158
"=""01:00""";0;64;0;64;1;0;0;0;4.158
"=""01:15""";0;81;1;82;0;0;0;0;4.158
"=""01:30""";0;112;0;112;0;0;0;0;4.158
"=""01:45""";0;70;0;70;0;0;0;0;4.158
"=""02:00""";0;69;0;69;0;0;0;0;4.158
"=""02:15""";0;95;0;95;0;0;0;0;4.158
"=""02:30""";0;93;0;93;0;0;0;0;4.158
"=""02:45""";0;98;0;98;0;0;0;0;4.158
"=""03:00""";0;105;0;105;0;0;0;0;4.158
"=""03:15""";0;87;0;87;0;0;0;0;4.158
"=""03:30""";0;69;0;69;0;0;0;0;4.158
"=""03:45""";0;104;0;104;0;0;0;0;4.158
"=""04:00""";0;85;0;84;0;0;0;0;4.158
"=""04:15""";0;80;0;80;0;0;0;0;4.158
"=""04:30""";0;86;0;86;0;0;0;0;4.158
"=""04:45""";0;109;0;109;0;0;0;0;4.158
"=""05:00""";0;93;0;93;0;0;0;0;4.158
"=""05:15""";0;103;0;103;0;0;0;0;4.158
"=""05:30""";0;92;0;93;0;0;0;0;4.158
"=""05:45""";0;61;0;61;0;0;0;0;4.158
"=""06:00""";0;66;1;67;0;0;0;0;4.158
"=""06:15""";0;117;0;117;0;0;0;0;4.158
"=""06:30""";0;77;0;77;1;0;0;0;4.158
"=""06:45""";40;42;1;83;1;40;0;41;4.158
"=""07:00""";114;222;3;339;50;114;0;164;4.158
"=""07:15""";108;0;0;108;385;108;0;493;4.158
"=""07:30""";97;0;0;97;746;97;0;843;4.158
"=""07:45""";503;164;37;703;688;503;0;1.191;4.158
"=""08:00""";487;37;43;566;1.110;487;0;1.596;4.158
"=""08:15""";69;0;0;69;1.817;69;0;1.886;4.158
"=""08:30""";49;0;0;49;2.174;49;0;2.223;4.158
"=""08:45""";79;0;0;79;2.466;79;0;2.545;4.158
"=""09:00""";77;0;0;77;2.784;77;0;2.861;4.158
"=""09:15""";28;0;0;28;3.121;28;0;3.149;4.158
"=""09:30""";71;0;0;71;3.349;71;0;3.420;4.158
"=""09:45""";73;0;0;73;3.601;73;0;3.674;4.158
"=""10:00""";73;0;0;73;3.819;73;0;3.892;4.158
"=""10:15""";77;0;0;77;4.061;77;0;4.137;4.158
"=""10:30""";53;0;0;53;4.158;53;24;4.234;4.158
"=""10:45""";45;0;0;45;4.138;45;260;4.443;4.158
"=""11:00""";25;0;0;25;4.142;25;425;4.592;4.158
"=""11:15""";71;0;0;71;4.124;71;554;4.749;4.158
"=""11:30""";50;0;0;50;4.129;50;684;4.863;4.158
"=""11:45""";40;0;0;40;4.121;40;787;4.948;4.158
"=""12:00""";46;0;0;46;4.107;46;863;5.017;4.158
"=""12:15""";74;0;0;74;4.109;74;857;5.040;4.158
"=""12:30""";57;0;0;57;4.107;57;895;5.058;4.158
"=""12:45""";53;0;0;53;4.112;53;938;5.104;4.158
"=""13:00""";50;0;0;50;4.146;50;633;4.829;4.158
"=""13:15""";50;0;0;50;4.159;50;363;4.573;4.158
"=""13:30""";41;0;0;41;4.159;41;364;4.564;4.158
"=""13:45""";54;0;0;54;4.160;54;194;4.407;4.158
"=""14:00""";340;0;0;340;4.126;340;0;4.466;4.158
"=""14:15""";104;0;0;104;4.165;104;0;4.269;4.158
"=""14:30""";52;0;0;52;4.159;52;0;4.211;4.158
"=""14:45""";73;0;0;73;4.159;73;0;4.232;4.158
"=""15:00""";127;0;0;127;4.071;127;0;4.198;4.158
"=""15:15""";122;0;0;122;3.927;122;0;4.049;4.158
"=""15:30""";131;0;0;131;3.712;131;0;3.843;4.158
"=""15:45""";107;0;0;107;3.520;107;0;3.627;4.158
"=""16:00""";148;0;0;148;3.227;148;0;3.375;4.158
"=""16:15""";171;0;0;171;2.960;171;0;3.131;4.158
"=""16:30""";187;0;1;188;2.496;187;177;2.860;4.158
"=""16:45""";159;0;0;159;2.424;159;1;2.585;4.158
"=""17:00""";174;0;0;174;2.110;174;0;2.284;4.158
"=""17:15""";191;0;0;191;1.737;191;0;1.927;4.158
"=""17:30""";186;0;0;186;1.476;186;0;1.662;4.158
"=""17:45""";222;0;0;222;1.125;222;0;1.347;4.158
"=""18:00""";219;0;0;219;824;219;0;1.043;4.158
"=""18:15""";211;0;0;211;547;211;0;758;4.158
"=""18:30""";194;0;0;194;313;194;0;507;4.158
"=""18:45""";229;0;0;229;88;229;0;317;4.158
"=""19:00""";186;103;20;309;12;186;4;202;4.158
"=""19:15""";159;440;3;602;4;159;0;163;4.158
"=""19:30""";128;52;2;182;2;128;0;129;4.158
"=""19:45""";114;81;1;196;1;114;0;115;4.158
"=""20:00""";95;184;5;283;4;95;0;99;4.158
"=""20:15""";69;144;3;217;4;69;0;73;4.158
"=""20:30""";39;171;1;211;1;39;0;40;4.158
"=""20:45""";6;191;1;198;1;6;0;7;4.158
"=""21:00""";0;212;1;212;1;0;0;0;4.158
"=""21:15""";0;172;2;173;1;0;0;0;4.158
"=""21:30""";0;467;29;473;23;0;0;0;4.158
"=""21:45""";0;511;8;510;9;0;0;0;4.158
