 ;Direktverbrauch / Mittelwerte [W] ;Batterieentladung / Mittelwerte [W] ;Netzbezug / Mittelwerte [W] ;Gesamtverbrauch / Mittelwerte [W] ;Netzeinspeisung / Mittelwerte [W] ;Direktverbrauch / Mittelwerte [W]  ;Batterieladung / Mittelwerte [W]  ;PV-Erzeugung / Mittelwerte [W]  ;Begrenzung der Wirkleistungseinspeisung / Mittelwerte [W]  
"=""00:15""";0;96;0;96;0;0;0;0;4.158
"=""00:30""";0;106;1;106;1;0;0;0;4.158
"=""00:45""";0;101;0;101;1;0;0;0;4.158
"=""01:00""";0;95;1;96;0;0;0;0;4.158
"=""01:15""";0;120;1;120;1;0;0;0;4.158
"=""01:30""";0;103;0;103;0;0;0;0;4.158
"=""01:45""";0;109;1;109;1;0;0;0;4.158
"=""02:00""";0;80;0;80;1;0;0;0;4.158
"=""02:15""";0;99;1;100;0;0;0;0;4.158
"=""02:30""";0;117;1;117;1;0;0;0;4.158
"=""02:45""";0;69;25;93;1;0;0;0;4.158
"=""03:00""";0;84;1;84;0;0;0;0;4.158
"=""03:15""";0;102;0;102;1;0;0;0;4.158
"=""03:30""";0;87;1;87;1;0;0;0;4.158
"=""03:45""";0;106;0;106;0;0;0;0;4.158
"=""04:00""";0;91;1;91;1;0;0;0;4.158
"=""04:15""";0;108;1;108;0;0;0;0;4.158
"=""04:30""";0;107;0;107;1;0;0;0;4.158
"=""04:45""";0;78;1;78;0;0;0;0;4.158
"=""05:00""";0;98;1;98;1;0;0;0;4.158
"=""05:15""";0;97;1;97;1;0;0;0;4.158
"=""05:30""";0;97;0;97;1;0;0;0;4.158
"=""05:45""";0;76;1;76;1;0;0;0;4.158
"=""06:00""";7;90;1;98;1;7;0;8;4.158
"=""06:15""";83;17;1;100;1;83;0;84;4.158
"=""06:30""";104;0;0;104;69;104;0;173;4.158
"=""06:45""";113;0;0;113;174;113;0;287;4.158
"=""07:00""";102;0;0;102;350;102;0;452;4.158
"=""07:15""";111;0;0;111;562;111;0;673;4.158
"=""07:30""";168;0;0;168;762;168;0;930;4.158
"=""07:45""";222;0;0;222;969;222;0;1.191;4.158
"=""08:00""";220;0;0;220;1.267;220;0;1.487;4.158
"=""08:15""";160;0;0;160;1.645;160;0;1.804;4.158
"=""08:30""";222;0;0;222;1.814;222;0;2.036;4.158
"=""08:45""";1.226;212;12;1.450;1.082;1.226;0;2.308;4.158
"=""09:00""";2.187;468;32;2.687;400;2.187;0;2.587;4.158
"=""09:15""";1.096;216;3;1.314;1.760;1.096;0;2.856;4.158
"=""09:30""";2.230;114;62;2.405;868;2.230;0;3.098;4.158
"=""09:45""";1.224;0;0;1.224;2.090;1.224;0;3.314;4.158
"=""10:00""";279;0;0;279;3.238;279;0;3.517;4.158
"=""10:15""";1.417;0;0;1.417;2.292;1.417;0;3.709;4.158
"=""10:30""";680;0;0;680;3.182;680;0;3.862;4.158
"=""10:45""";207;0;0;207;3.826;207;0;4.032;4.158
"=""11:00""";287;0;0;287;3.856;287;0;4.143;4.158
"=""11:15""";335;0;0;335;3.929;335;0;4.264;4.158
"=""11:30""";396;0;0;396;3.914;396;0;4.310;4.158
"=""11:45""";368;0;0;368;3.734;368;269;4.371;4.158
"=""12:00""";347;0;0;347;1.919;347;2.188;4.454;4.158
"=""12:15""";308;0;0;308;1.766;308;2.408;4.482;4.158
"=""12:30""";319;0;0;319;1.748;319;2.419;4.486;4.158
"=""12:45""";314;0;0;314;2.034;314;2.133;4.481;4.158
"=""13:00""";495;0;1;496;1.910;495;2.097;4.501;4.158
"=""13:15""";304;0;0;304;2.190;304;1.984;4.478;4.158
"=""13:30""";371;0;0;371;3.560;371;520;4.451;4.158
"=""13:45""";545;0;0;545;3.817;545;19;4.380;4.158
"=""14:00""";1.772;0;0;1.772;2.510;1.772;0;4.282;4.158
"=""14:15""";618;0;25;643;2.450;618;1.118;4.186;4.158
"=""14:30""";1.268;0;0;1.268;2.567;1.268;261;4.096;4.158
"=""14:45""";1.920;0;0;1.920;2.076;1.920;0;3.996;4.158
"=""15:00""";2.142;0;0;2.142;1.560;2.142;142;3.844;4.158
"=""15:15""";274;0;0;274;3.446;274;0;3.720;4.158
"=""15:30""";517;0;0;517;3.034;517;0;3.551;4.158
"=""15:45""";255;0;0;255;3.120;255;0;3.375;4.158
"=""16:00""";299;0;0;299;2.870;299;0;3.169;4.158
"=""16:15""";238;0;0;238;2.664;238;0;2.902;4.158
"=""16:30""";209;0;0;209;2.507;209;0;2.716;4.158
"=""16:45""";167;0;0;167;2.315;167;0;2.482;4.158
"=""17:00""";160;0;0;160;2.078;160;0;2.238;4.158
"=""17:15""";164;0;0;164;1.818;164;0;1.982;4.158
"=""17:30""";164;0;0;164;1.542;164;0;1.706;4.158
"=""17:45""";143;0;0;143;1.278;143;0;1.421;4.158
"=""18:00""";177;0;0;177;978;177;0;1.155;4.158
"=""18:15""";172;0;0;172;714;172;0;886;4.158
"=""18:30""";281;0;0;281;359;281;0;640;4.158
"=""18:45""";358;8;6;371;45;358;2;404;4.158
"=""19:00""";276;191;8;475;8;276;2;286;4.158
"=""19:15""";209;155;6;369;6;209;0;215;4.158
"=""19:30""";137;628;54;818;53;137;0;190;4.158
"=""19:45""";77;873;97;1.047;89;77;0;166;4.158
"=""20:00""";114;595;29;737;25;114;0;139;4.158
"=""20:15""";111;178;2;292;2;111;0;113;4.158
"=""20:30""";95;236;2;333;2;95;0;97;4.158
"=""20:45""";74;209;2;285;2;74;0;76;4.158
"=""21:00""";33;164;4;200;5;33;0;37;4.158
"=""21:15""";0;211;4;215;4;0;0;4;4.158
"=""21:30""";0;207;3;206;3;0;0;0;4.158
"=""21:45""";0;197;3;197;3;0;0;0;4.158
"=""22:00""";0;235;4;235;4;0;0;0;4.158
"=""22:15""";0;215;4;215;3;0;0;0;4.158
"=""22:30""";0;186;3;185;4;0;0;0;4.158
"=""22:45""";0;188;3;188;3;0;0;0;4.158
"=""23:00""";0;202;4;202;4;0;0;0;4.158
"=""23:15""";0;158;2;158;2;0;0;0;4.158
"=""23:30""";0;186;1;186;1;0;0;0;4.158
"=""23:45""";0;176;2;177;1;0;0;0;4.158
"=""00:00""";0;183;2;182;3;0;0;0;4.158
