 ;Direktverbrauch / Mittelwerte [W] ;Batterieentladung / Mittelwerte [W] ;Netzbezug / Mittelwerte [W] ;Gesamtverbrauch / Mittelwerte [W] ;Netzeinspeisung / Mittelwerte [W] ;Direktverbrauch / Mittelwerte [W]  ;Batterieladung / Mittelwerte [W]  ;PV-Erzeugung / Mittelwerte [W]  ;Begrenzung der Wirkleistungseinspeisung / Mittelwerte [W]  
"=""00:15""";0;70;1;70;1;0;0;0;4.158
"=""00:30""";0;92;1;92;1;0;0;0;4.158
"=""00:45""";0;100;0;99;1;0;0;0;4.158
"=""01:00""";0;93;1;94;0;0;0;0;4.158
"=""01:15""";0;101;1;101;1;0;0;0;4.158
"=""01:30""";0;58;27;85;0;0;0;0;4.158
"=""01:45""";0;93;0;93;1;0;0;0;4.158
"=""02:00""";0;57;1;57;1;0;0;0;4.158
"=""02:15""";0;112;1;113;0;0;0;0;4.158
"=""02:30""";0;73;0;73;1;0;0;0;4.158
"=""02:45""";0;79;1;79;1;0;0;0;4.158
"=""03:00""";0;88;0;88;0;0;0;0;4.158
"=""03:15""";0;106;1;106;1;0;0;0;4.158
"=""03:30""";0;86;0;86;0;0;0;0;4.158
"=""03:45""";0;85;1;85;0;0;0;0;4.158
"=""04:00""";0;92;0;92;1;0;0;0;4.158
"=""04:15""";0;82;1;82;1;0;0;0;4.158
"=""04:30""";0;70;1;70;0;0;0;0;4.158
"=""04:45""";0;98;0;98;1;0;0;0;4.158
"=""05:00""";0;61;0;61;0;0;0;0;4.158
"=""05:15""";0;95;1;95;1;0;0;0;4.158
"=""05:30""";0;100;1;100;1;0;0;0;4.158
"=""05:45""";0;99;1;99;0;0;0;0;4.158
"=""06:00""";0;88;0;87;1;0;0;0;4.158
"=""06:15""";28;75;1;104;1;28;0;29;4.158
"=""06:30""";88;4;1;93;26;88;0;114;4.158
"=""06:45""";86;0;0;86;122;86;0;208;4.158
"=""07:00""";92;0;0;92;110;92;0;202;4.158
"=""07:15""";116;0;0;116;107;116;0;223;4.158
"=""07:30""";71;0;0;71;658;71;0;729;4.158
"=""07:45""";98;0;0;98;545;98;0;643;4.158
"=""08:00""";104;0;0;104;231;104;0;335;4.158
"=""08:15""";93;0;0;93;1.660;93;0;1.753;4.158
"=""08:30""";84;0;0;84;2.260;84;0;2.344;4.158
"=""08:45""";86;0;0;86;1.911;86;0;1.997;4.158
"=""09:00""";64;0;0;64;1.375;64;0;1.438;4.158
"=""09:15""";50;0;0;50;1.828;50;0;1.878;4.158
"=""09:30""";107;0;0;107;1.112;107;0;1.219;4.158
"=""09:45""";82;0;0;82;1.356;82;0;1.438;4.158
"=""10:00""";42;0;8;50;2.148;42;670;2.860;4.158
"=""10:15""";61;0;0;61;3.881;61;0;3.942;4.158
"=""10:30""";64;0;0;64;3.968;64;4;4.036;4.158
"=""10:45""";96;0;0;96;1.469;96;12;1.577;4.158
"=""11:00""";75;0;0;75;2.359;75;932;3.367;4.158
"=""11:15""";83;0;4;87;2.113;83;1.221;3.417;4.158
"=""11:30""";50;0;0;50;3.457;50;35;3.541;4.158
"=""11:45""";52;0;6;58;1.889;52;865;2.806;4.158
"=""12:00""";85;0;0;85;3.327;85;1.083;4.494;4.158
"=""12:15""";27;0;0;27;4.076;27;308;4.410;4.158
"=""12:30""";53;0;0;53;4.157;53;359;4.569;4.158
"=""12:45""";66;0;0;66;3.313;66;239;3.617;4.158
"=""13:00""";77;0;0;77;4.064;77;0;4.141;4.158
"=""13:15""";62;0;0;62;3.559;62;0;3.621;4.158
"=""13:30""";78;0;0;78;4.074;78;0;4.152;4.158
"=""13:45""";64;0;0;64;3.828;64;0;3.892;4.158
"=""14:00""";58;0;0;58;2.866;58;0;2.924;4.158
"=""14:15""";53;0;0;53;3.132;53;0;3.185;4.158
"=""14:30""";60;0;0;60;4.104;60;0;4.163;4.158
"=""14:45""";40;0;0;40;2.988;40;0;3.028;4.158
"=""15:00""";71;0;0;71;4.016;71;0;4.087;4.158
"=""15:15""";65;0;0;65;3.790;65;0;3.855;4.158
"=""15:30""";79;0;0;79;3.551;79;0;3.630;4.158
"=""15:45""";64;0;0;64;3.511;64;0;3.575;4.158
"=""16:00""";98;0;0;98;2.685;98;0;2.783;4.158
"=""16:15""";70;0;0;70;2.857;70;0;2.927;4.158
"=""16:30""";70;0;0;70;2.493;70;0;2.563;4.158
"=""16:45""";92;0;0;92;2.470;92;0;2.562;4.158
"=""17:00""";71;0;0;71;2.272;71;0;2.343;4.158
"=""17:15""";65;0;0;65;1.773;65;0;1.838;4.158
"=""17:30""";95;0;0;95;1.638;95;0;1.733;4.158
"=""17:45""";85;0;0;85;1.385;85;0;1.470;4.158
"=""18:00""";84;0;0;84;1.243;84;0;1.327;4.158
"=""18:15""";92;0;0;92;970;92;0;1.062;4.158
"=""18:30""";119;0;0;119;647;119;0;766;4.158
"=""18:45""";76;0;0;76;414;76;0;490;4.158
"=""19:00""";91;0;0;91;206;91;0;297;4.158
"=""19:15""";116;0;0;116;111;116;0;227;4.158
"=""19:30""";73;0;0;73;189;73;0;262;4.158
"=""19:45""";93;0;0;93;169;93;0;262;4.158
"=""20:00""";110;0;0;110;109;110;0;219;4.158
"=""20:15""";114;0;0;114;59;114;0;173;4.158
"=""20:30""";121;0;0;121;22;121;0;143;4.158
"=""20:45""";108;19;5;132;0;108;0;108;4.158
"=""21:00""";59;55;1;115;1;59;0;60;4.158
"=""21:15""";9;86;1;96;1;9;0;10;4.158
"=""21:30""";0;107;1;107;0;0;0;0;4.158
"=""21:45""";0;112;1;111;1;0;0;0;4.158
"=""22:00""";0;81;0;81;0;0;0;0;4.158
"=""22:15""";0;131;1;131;1;0;0;0;4.158
"=""22:30""";0;123;1;123;0;0;0;0;4.158
"=""22:45""";0;122;0;121;1;0;0;0;4.158
"=""23:00""";0;123;1;123;1;0;0;0;4.158
"=""23:15""";0;125;1;126;0;0;0;0;4.158
"=""23:30""";0;101;0;101;1;0;0;0;4.158
"=""23:45""";0;97;1;98;0;0;0;0;4.158
"=""00:00""";0;114;0;114;1;0;0;0;4.158
