 ;Direktverbrauch / Mittelwerte [W] ;Batterieentladung / Mittelwerte [W] ;Netzbezug / Mittelwerte [W] ;Gesamtverbrauch / Mittelwerte [W] ;Netzeinspeisung / Mittelwerte [W] ;Direktverbrauch / Mittelwerte [W]  ;Batterieladung / Mittelwerte [W]  ;PV-Erzeugung / Mittelwerte [W]  ;Begrenzung der Wirkleistungseinspeisung / Mittelwerte [W]  
"=""00:15""";0;161;1;162;1;0;0;0;4.158
"=""00:30""";0;206;2;206;2;0;0;0;4.158
"=""00:45""";0;122;1;122;1;0;0;0;4.158
"=""01:00""";0;65;1;65;1;0;0;0;4.158
"=""01:15""";0;94;1;94;0;0;0;0;4.158
"=""01:30""";0;106;0;106;1;0;0;0;4.158
"=""01:45""";0;101;0;101;0;0;0;0;4.158
"=""02:00""";0;106;1;106;1;0;0;0;4.158
"=""02:15""";0;101;1;101;0;0;0;0;4.158
"=""02:30""";0;84;1;84;1;0;0;0;4.158
"=""02:45""";0;70;0;70;1;0;0;0;4.158
"=""03:00""";0;118;1;118;0;0;0;0;4.158
"=""03:15""";0;83;0;83;1;0;0;0;4.158
"=""03:30""";0;81;1;82;0;0;0;0;4.158
"=""03:45""";0;95;1;95;1;0;0;0;4.158
"=""04:00""";0;109;1;109;1;0;0;0;4.158
"=""04:15""";0;100;0;100;0;0;0;0;4.158
"=""04:30""";0;95;1;96;0;0;0;0;4.158
"=""04:45""";0;94;0;94;1;0;0;0;4.158
"=""05:00""";0;65;1;66;0;0;0;0;4.158
"=""05:15""";0;65;0;65;1;0;0;0;4.158
"=""05:30""";0;117;1;117;1;0;0;0;4.158
"=""05:45""";0;82;1;82;1;0;0;0;4.158
"=""06:00""";0;62;0;62;0;0;0;0;4.158
"=""06:15""";45;48;1;94;1;45;0;46;4.158
"=""06:30""";97;1;1;99;5;97;58;161;4.158
"=""06:45""";96;0;2;98;1;96;221;318;4.158
"=""07:00""";142;106;2;250;1;142;79;223;4.158
"=""07:15""";189;406;13;608;8;189;213;411;4.158
"=""07:30""";113;64;4;181;9;113;889;1.011;4.158
"=""07:45""";78;0;4;82;4;78;1.230;1.312;4.158
"=""08:00""";104;0;5;109;5;104;1.480;1.589;4.158
"=""08:15""";210;0;4;214;555;210;1.068;1.833;4.158
"=""08:30""";169;0;0;169;2.010;169;0;2.179;4.158
"=""08:45""";156;0;0;156;2.421;156;0;2.577;4.158
"=""09:00""";129;0;0;129;2.716;129;0;2.845;4.158
"=""09:15""";128;0;0;128;2.503;128;0;2.630;4.158
"=""09:30""";301;0;0;301;2.530;301;0;2.831;4.158
"=""09:45""";210;0;0;210;3.107;210;0;3.317;4.158
"=""10:00""";2.052;0;0;2.052;1.257;2.052;0;3.309;4.158
"=""10:15""";423;0;0;423;3.403;423;0;3.826;4.158
"=""10:30""";1.123;0;0;1.123;2.899;1.123;0;4.022;4.158
"=""10:45""";336;0;0;336;3.879;336;2;4.216;4.158
"=""11:00""";1.626;0;0;1.626;2.761;1.626;30;4.417;4.158
"=""11:15""";308;0;5;312;3.211;308;385;3.904;4.158
"=""11:30""";234;0;1;235;2.932;234;364;3.530;4.158
"=""11:45""";196;0;2;198;3.171;196;217;3.584;4.158
"=""12:00""";161;0;1;161;2.891;161;251;3.303;4.158
"=""12:15""";356;0;0;356;2.918;356;379;3.653;4.158
"=""12:30""";1.186;0;36;1.222;1.180;1.186;1.266;3.632;4.158
"=""12:45""";521;0;32;553;970;521;1.991;3.482;4.158
"=""13:00""";153;0;0;153;3.174;153;297;3.624;4.158
"=""13:15""";1.031;0;0;1.031;2.867;1.031;0;3.898;4.158
"=""13:30""";2.220;0;0;2.220;1.264;2.220;0;3.484;4.158
"=""13:45""";1.017;0;0;1.018;2.520;1.017;0;3.537;4.158
"=""14:00""";198;0;0;198;2.378;198;0;2.576;4.158
"=""14:15""";862;0;0;862;1.081;862;0;1.942;4.158
"=""14:30""";632;0;0;632;1.422;632;0;2.054;4.158
"=""14:45""";281;0;0;281;2.380;281;0;2.661;4.158
"=""15:00""";163;0;0;163;2.240;163;0;2.403;4.158
"=""15:15""";169;0;0;169;2.922;169;0;3.091;4.158
"=""15:30""";189;0;0;189;3.256;189;0;3.445;4.158
"=""15:45""";190;0;0;190;3.098;190;0;3.288;4.158
"=""16:00""";179;0;0;179;2.481;179;0;2.660;4.158
"=""16:15""";235;0;0;235;2.142;235;0;2.377;4.158
"=""16:30""";215;0;0;215;2.077;215;0;2.292;4.158
"=""16:45""";318;0;22;340;731;318;0;1.049;4.158
"=""17:00""";346;142;124;611;317;346;313;976;4.158
"=""17:15""";202;0;0;202;779;202;0;981;4.158
"=""17:30""";171;0;0;171;1.027;171;0;1.198;4.158
"=""17:45""";194;0;0;194;1.009;194;0;1.203;4.158
"=""18:00""";198;0;0;198;954;198;0;1.152;4.158
"=""18:15""";183;0;0;183;1.103;183;0;1.286;4.158
"=""18:30""";188;0;0;188;753;188;0;941;4.158
"=""18:45""";588;631;82;1.300;115;588;0;703;4.158
"=""19:00""";267;64;17;348;21;267;276;564;4.158
"=""19:15""";194;0;3;198;2;194;258;454;4.158
"=""19:30""";185;0;6;191;6;185;120;311;4.158
"=""19:45""";200;0;10;210;9;200;101;309;4.158
"=""20:00""";131;189;10;330;7;131;46;184;4.158
"=""20:15""";111;1;1;113;4;111;56;171;4.158
"=""20:30""";90;3;10;103;0;90;47;138;4.158
"=""20:45""";47;123;2;172;2;47;0;49;4.158
"=""21:00""";0;181;3;184;3;0;0;3;4.158
"=""21:15""";0;636;18;636;18;0;0;0;4.158
"=""21:30""";0;370;7;370;6;0;0;0;4.158
"=""21:45""";0;282;4;282;4;0;0;0;4.158
"=""22:00""";0;253;4;253;4;0;0;0;4.158
"=""22:15""";0;221;4;221;4;0;0;0;4.158
"=""22:30""";0;236;4;236;4;0;0;0;4.158
"=""22:45""";0;254;4;254;4;0;0;0;4.158
"=""23:00""";0;227;4;227;3;0;0;0;4.158
"=""23:15""";0;264;4;264;4;0;0;0;4.158
"=""23:30""";0;243;4;243;4;0;0;0;4.158
"=""23:45""";0;196;4;196;4;0;0;0;4.158
"=""00:00""";0;178;4;179;3;0;0;0;4.158
