 ;Direktverbrauch / Mittelwerte [W] ;Batterieentladung / Mittelwerte [W] ;Netzbezug / Mittelwerte [W] ;Gesamtverbrauch / Mittelwerte [W] ;Netzeinspeisung / Mittelwerte [W] ;Direktverbrauch / Mittelwerte [W]  ;Batterieladung / Mittelwerte [W]  ;PV-Erzeugung / Mittelwerte [W]  ;Begrenzung der Wirkleistungseinspeisung / Mittelwerte [W]  
"=""00:15""";0;96;0;96;0;0;0;0;4.158
"=""00:30""";0;96;0;96;0;0;0;0;4.158
"=""00:45""";0;101;0;101;0;0;0;0;4.158
"=""01:00""";0;92;0;92;0;0;0;0;4.158
"=""01:15""";0;88;0;88;0;0;0;0;4.158
"=""01:30""";0;107;0;107;1;0;0;0;4.158
"=""01:45""";0;57;1;58;0;0;0;0;4.158
"=""02:00""";0;69;0;69;0;0;0;0;4.158
"=""02:15""";0;93;0;93;0;0;0;0;4.158
"=""02:30""";0;55;0;55;0;0;0;0;4.158
"=""02:45""";0;67;0;67;0;0;0;0;4.158
"=""03:00""";0;107;0;107;0;0;0;0;4.158
"=""03:15""";0;85;0;85;0;0;0;0;4.158
"=""03:30""";0;101;0;101;0;0;0;0;4.158
"=""03:45""";0;91;0;91;0;0;0;0;4.158
"=""04:00""";0;100;1;100;1;0;0;0;4.158
"=""04:15""";0;67;0;67;0;0;0;0;4.158
"=""04:30""";0;66;0;66;0;0;0;0;4.158
"=""04:45""";0;107;0;107;0;0;0;0;4.158
"=""05:00""";0;72;0;72;0;0;0;0;4.158
"=""05:15""";0;70;0;70;0;0;0;0;4.158
"=""05:30""";0;87;0;87;0;0;0;0;4.158
"=""05:45""";0;83;0;83;0;0;0;0;4.158
"=""06:00""";0;81;1;81;0;0;0;0;4.158
"=""06:15""";0;81;0;81;0;0;0;0;4.158
"=""06:30""";17;100;1;117;1;17;0;17;4.158
"=""06:45""";84;9;0;93;1;84;25;110;4.158
"=""07:00""";137;159;5;301;5;137;165;307;4.158
"=""07:15""";124;0;1;125;2;124;438;563;4.158
"=""07:30""";116;0;2;118;2;116;659;777;4.158
"=""07:45""";427;322;12;761;13;427;443;883;4.158
"=""08:00""";125;0;3;128;3;125;801;928;4.158
"=""08:15""";108;0;3;110;4;108;966;1.077;4.158
"=""08:30""";125;0;3;128;3;125;929;1.057;4.158
"=""08:45""";105;0;5;109;5;105;1.042;1.151;4.158
"=""09:00""";130;3;6;139;6;130;1.157;1.293;4.158
"=""09:15""";582;0;11;593;10;582;1.376;1.968;4.158
"=""09:30""";978;0;7;984;9;978;1.141;2.128;4.158
"=""09:45""";1.147;194;12;1.352;304;1.147;334;1.785;4.158
"=""10:00""";1.089;2;23;1.114;289;1.089;1.065;2.443;4.158
"=""10:15""";118;2;5;125;859;118;785;1.762;4.158
"=""10:30""";950;0;1;951;1.565;950;498;3.013;4.158
"=""10:45""";957;0;0;957;1.618;957;0;2.575;4.158
"=""11:00""";90;0;0;90;2.108;90;0;2.197;4.158
"=""11:15""";93;0;0;93;1.523;93;125;1.741;4.158
"=""11:30""";82;0;0;82;1.971;82;0;2.053;4.158
"=""11:45""";43;0;0;43;2.241;43;0;2.284;4.158
"=""12:00""";55;0;0;55;2.345;55;0;2.400;4.158
"=""12:15""";796;14;44;854;1.262;796;2;2.061;4.158
"=""12:30""";1.261;232;82;1.575;81;1.261;389;1.730;4.158
"=""12:45""";422;0;2;424;1.238;422;15;1.675;4.158
"=""13:00""";91;0;0;91;1.588;91;0;1.679;4.158
"=""13:15""";310;30;37;377;1.384;310;10;1.704;4.158
"=""13:30""";79;0;0;79;1.741;79;0;1.820;4.158
"=""13:45""";81;0;0;81;1.823;81;0;1.904;4.158
"=""14:00""";82;0;0;82;1.982;82;0;2.064;4.158
"=""14:15""";156;0;0;156;1.862;156;0;2.018;4.158
"=""14:30""";124;0;0;124;2.063;124;0;2.187;4.158
"=""14:45""";171;0;0;171;2.016;171;0;2.187;4.158
"=""15:00""";159;0;0;159;1.420;159;178;1.757;4.158
"=""15:15""";124;0;0;124;2.000;124;3;2.127;4.158
"=""15:30""";130;0;0;130;2.910;130;0;3.040;4.158
"=""15:45""";130;0;0;130;3.010;130;0;3.139;4.158
"=""16:00""";157;0;0;157;1.740;157;0;1.897;4.158
"=""16:15""";147;0;0;147;984;147;0;1.131;4.158
"=""16:30""";202;0;0;202;742;202;0;944;4.158
"=""16:45""";160;0;0;160;554;160;0;714;4.158
"=""17:00""";126;0;0;126;378;126;0;504;4.158
"=""17:15""";154;0;0;154;445;154;0;599;4.158
"=""17:30""";178;0;0;178;383;178;0;561;4.158
"=""17:45""";154;0;1;154;315;154;207;675;4.158
"=""18:00""";136;0;0;136;609;136;5;751;4.158
"=""18:15""";184;0;0;184;384;184;0;568;4.158
"=""18:30""";176;0;0;176;194;176;0;370;4.158
"=""18:45""";196;170;217;583;15;196;3;214;4.158
"=""19:00""";159;18;7;185;1;159;0;160;4.158
"=""19:15""";152;37;2;191;2;152;0;154;4.158
"=""19:30""";152;14;6;173;3;152;1;157;4.158
"=""19:45""";113;144;6;263;7;113;0;120;4.158
"=""20:00""";59;631;36;726;37;59;0;96;4.158
"=""20:15""";14;543;92;649;72;14;0;86;4.158
"=""20:30""";33;207;4;244;4;33;0;37;4.158
"=""20:45""";0;278;3;278;4;0;0;0;4.158
"=""21:00""";0;213;3;213;3;0;0;0;4.158
"=""21:15""";0;232;3;233;2;0;0;0;4.158
"=""21:30""";0;235;4;235;3;0;0;0;4.158
"=""21:45""";0;257;3;257;4;0;0;0;4.158
"=""22:00""";0;226;4;226;4;0;0;0;4.158
"=""22:15""";0;215;3;215;4;0;0;0;4.158
"=""22:30""";0;219;4;219;3;0;0;0;4.158
"=""22:45""";0;239;3;239;4;0;0;0;4.158
"=""23:00""";0;205;5;205;5;0;0;0;4.158
"=""23:15""";0;192;3;192;3;0;0;0;4.158
"=""23:30""";0;219;4;219;4;0;0;0;4.158
"=""23:45""";0;195;2;194;3;0;0;0;4.158
"=""00:00""";0;192;1;192;1;0;0;0;4.158
