 ;Direktverbrauch / Mittelwerte [W] ;Batterieentladung / Mittelwerte [W] ;Netzbezug / Mittelwerte [W] ;Gesamtverbrauch / Mittelwerte [W] ;Netzeinspeisung / Mittelwerte [W] ;Direktverbrauch / Mittelwerte [W]  ;Batterieladung / Mittelwerte [W]  ;PV-Erzeugung / Mittelwerte [W]  ;Begrenzung der Wirkleistungseinspeisung / Mittelwerte [W]  
"=""00:15""";0;230;1;230;1;0;0;0;4.158
"=""00:30""";0;196;2;197;1;0;0;0;4.158
"=""00:45""";0;107;0;107;0;0;0;0;4.158
"=""01:00""";0;122;0;122;0;0;0;0;4.158
"=""01:15""";0;94;0;94;0;0;0;0;4.158
"=""01:30""";0;97;0;97;0;0;0;0;4.158
"=""01:45""";0;122;0;122;0;0;0;0;4.158
"=""02:00""";0;77;0;77;0;0;0;0;4.158
"=""02:15""";0;91;0;91;0;0;0;0;4.158
"=""02:30""";0;101;0;101;0;0;0;0;4.158
"=""02:45""";0;99;0;99;0;0;0;0;4.158
"=""03:00""";0;120;0;120;0;0;0;0;4.158
"=""03:15""";0;101;0;101;0;0;0;0;4.158
"=""03:30""";0;87;0;87;0;0;0;0;4.158
"=""03:45""";0;67;0;67;0;0;0;0;4.158
"=""04:00""";0;96;0;96;0;0;0;0;4.158
"=""04:15""";0;77;0;77;0;0;0;0;4.158
"=""04:30""";0;79;0;78;1;0;0;0;4.158
"=""04:45""";0;102;0;103;0;0;0;0;4.158
"=""05:00""";0;90;1;91;0;0;0;0;4.158
"=""05:15""";0;90;0;89;0;0;0;0;4.158
"=""05:30""";0;92;0;92;0;0;0;0;4.158
"=""05:45""";0;90;0;90;0;0;0;0;4.158
"=""06:00""";0;83;0;82;1;0;0;0;4.158
"=""06:15""";0;77;1;77;0;0;0;0;4.158
"=""06:30""";0;107;0;107;0;0;0;0;4.158
"=""06:45""";22;63;0;85;0;22;0;22;4.158
"=""07:00""";127;185;3;314;13;127;0;140;4.158
"=""07:15""";153;0;0;153;192;153;0;344;4.158
"=""07:30""";234;132;55;421;432;234;0;666;4.158
"=""07:45""";484;298;54;835;587;484;0;1.071;4.158
"=""08:00""";678;325;10;1.013;756;678;0;1.434;4.158
"=""08:15""";207;13;1;221;1.582;207;0;1.789;4.158
"=""08:30""";987;7;4;998;1.146;987;0;2.133;4.158
"=""08:45""";1.556;46;54;1.656;877;1.556;0;2.433;4.158
"=""09:00""";207;0;0;207;2.524;207;0;2.731;4.158
"=""09:15""";97;0;0;97;2.898;97;0;2.995;4.158
"=""09:30""";73;0;0;73;3.206;73;0;3.278;4.158
"=""09:45""";79;0;0;79;3.435;79;0;3.514;4.158
"=""10:00""";64;0;0;64;3.594;64;0;3.658;4.158
"=""10:15""";78;0;0;78;3.696;78;0;3.774;4.158
"=""10:30""";62;0;0;62;4.081;62;0;4.143;4.158
"=""10:45""";41;0;0;41;4.158;41;73;4.272;4.158
"=""11:00""";46;0;0;46;4.125;46;261;4.433;4.158
"=""11:15""";93;0;0;93;2.634;93;1.753;4.480;4.158
"=""11:30""";135;0;0;135;1.952;135;2.504;4.591;4.158
"=""11:45""";223;0;0;223;2.342;223;2.094;4.659;4.158
"=""12:00""";223;0;0;223;1.917;223;2.588;4.727;4.158
"=""12:15""";178;0;0;178;2.449;178;2.154;4.781;4.158
"=""12:30""";160;0;0;160;3.507;160;1.174;4.841;4.158
"=""12:45""";89;0;0;89;3.312;89;1.409;4.810;4.158
"=""13:00""";1.718;5;1;1.723;2.654;1.718;421;4.792;4.158
"=""13:15""";2.214;0;0;2.215;2.586;2.214;0;4.800;4.158
"=""13:30""";1.464;0;23;1.487;2.197;1.464;1.034;4.695;4.158
"=""13:45""";139;0;0;139;3.775;139;479;4.393;4.158
"=""14:00""";284;0;0;284;3.071;284;461;3.815;4.158
"=""14:15""";70;0;0;70;3.995;70;102;4.168;4.158
"=""14:30""";45;0;0;45;4.160;45;11;4.215;4.158
"=""14:45""";124;0;0;124;3.976;124;0;4.100;4.158
"=""15:00""";219;0;0;219;3.648;219;0;3.867;4.158
"=""15:15""";279;0;0;279;3.431;279;0;3.710;4.158
"=""15:30""";222;0;0;222;2.666;222;0;2.888;4.158
"=""15:45""";221;0;0;221;2.274;221;0;2.495;4.158
"=""16:00""";246;0;0;246;2.178;246;0;2.424;4.158
"=""16:15""";228;0;0;228;2.061;228;0;2.289;4.158
"=""16:30""";973;247;11;1.231;793;973;0;1.766;4.158
"=""16:45""";879;243;7;1.128;11;879;800;1.689;4.158
"=""17:00""";438;23;26;487;1.149;438;301;1.888;4.158
"=""17:15""";410;25;26;461;1.288;410;9;1.707;4.158
"=""17:30""";546;289;48;884;609;546;0;1.155;4.158
"=""17:45""";551;451;4;1.005;7;551;441;998;4.158
"=""18:00""";153;0;3;156;212;153;530;895;4.158
"=""18:15""";165;0;0;165;609;165;0;774;4.158
"=""18:30""";171;0;0;171;453;171;0;624;4.158
"=""18:45""";205;27;18;250;322;205;0;527;4.158
"=""19:00""";349;1.060;64;1.473;58;349;11;418;4.158
"=""19:15""";183;0;1;184;1;183;127;311;4.158
"=""19:30""";184;0;1;185;1;184;78;263;4.158
"=""19:45""";162;66;4;232;3;162;14;179;4.158
"=""20:00""";120;52;3;176;1;120;0;121;4.158
"=""20:15""";82;61;2;145;2;82;0;84;4.158
"=""20:30""";52;106;1;159;1;52;0;53;4.158
"=""20:45""";9;170;1;180;2;9;0;11;4.158
"=""21:00""";0;102;1;102;1;0;0;0;4.158
"=""21:15""";0;251;4;252;4;0;0;0;4.158
"=""21:30""";0;169;7;169;7;0;0;0;4.158
"=""21:45""";0;139;1;139;0;0;0;0;4.158
"=""22:00""";0;118;0;118;0;0;0;0;4.158
"=""22:15""";0;136;0;136;0;0;0;0;4.158
"=""22:30""";0;435;4;434;4;0;0;0;4.158
"=""22:45""";0;106;0;106;0;0;0;0;4.158
"=""23:00""";0;114;0;114;0;0;0;0;4.158
"=""23:15""";0;117;0;117;1;0;0;0;4.158
"=""23:30""";0;98;1;98;0;0;0;0;4.158
"=""23:45""";0;87;1;88;0;0;0;0;4.158
"=""00:00""";0;98;0;98;0;0;0;0;4.158
