 ;Direktverbrauch / Mittelwerte [W] ;Batterieentladung / Mittelwerte [W] ;Netzbezug / Mittelwerte [W] ;Gesamtverbrauch / Mittelwerte [W] ;Netzeinspeisung / Mittelwerte [W] ;Direktverbrauch / Mittelwerte [W]  ;Batterieladung / Mittelwerte [W]  ;PV-Erzeugung / Mittelwerte [W]  ;Begrenzung der Wirkleistungseinspeisung / Mittelwerte [W]  
"=""00:15""";0;182;1;182;1;0;0;0;4.158
"=""00:30""";0;112;1;112;1;0;0;0;4.158
"=""00:45""";0;102;1;102;1;0;0;0;4.158
"=""01:00""";0;99;0;99;0;0;0;0;4.158
"=""01:15""";0;113;1;113;1;0;0;0;4.158
"=""01:30""";0;114;1;114;0;0;0;0;4.158
"=""01:45""";0;90;1;90;1;0;0;0;4.158
"=""02:00""";0;101;1;101;1;0;0;0;4.158
"=""02:15""";0;114;1;115;0;0;0;0;4.158
"=""02:30""";0;97;0;96;1;0;0;0;4.158
"=""02:45""";0;112;1;112;0;0;0;0;4.158
"=""03:00""";0;96;0;96;1;0;0;0;4.158
"=""03:15""";0;100;1;101;0;0;0;0;4.158
"=""03:30""";0;69;1;69;1;0;0;0;4.158
"=""03:45""";0;117;0;117;0;0;0;0;4.158
"=""04:00""";0;73;1;73;1;0;0;0;4.158
"=""04:15""";0;61;0;60;1;0;0;0;4.158
"=""04:30""";0;90;1;90;0;0;0;0;4.158
"=""04:45""";0;109;1;110;0;0;0;0;4.158
"=""05:00""";0;88;0;88;1;0;0;0;4.158
"=""05:15""";0;84;1;84;1;0;0;0;4.158
"=""05:30""";0;87;1;87;0;0;0;0;4.158
"=""05:45""";0;65;0;65;1;0;0;0;4.158
"=""06:00""";0;74;1;75;1;0;0;1;4.158
"=""06:15""";77;30;1;108;1;77;0;78;4.158
"=""06:30""";71;0;0;71;137;71;0;208;4.158
"=""06:45""";89;0;0;89;231;89;0;320;4.158
"=""07:00""";202;0;0;202;300;202;0;502;4.158
"=""07:15""";204;0;0;204;516;204;0;720;4.158
"=""07:30""";194;0;0;194;781;194;0;975;4.158
"=""07:45""";289;0;42;331;953;289;0;1.242;4.158
"=""08:00""";1.506;1.270;27;2.803;16;1.506;0;1.522;4.158
"=""08:15""";1.790;452;12;2.255;13;1.790;0;1.803;4.158
"=""08:30""";1.467;152;8;1.627;611;1.467;0;2.078;4.158
"=""08:45""";576;0;0;576;1.826;576;0;2.402;4.158
"=""09:00""";1.303;0;0;1.303;1.319;1.303;0;2.622;4.158
"=""09:15""";2.006;39;12;2.056;896;2.006;0;2.902;4.158
"=""09:30""";314;0;0;314;2.824;314;0;3.138;4.158
"=""09:45""";193;0;0;193;3.161;193;0;3.354;4.158
"=""10:00""";538;0;0;538;3.025;538;0;3.563;4.158
"=""10:15""";1.255;0;0;1.255;2.499;1.255;0;3.754;4.158
"=""10:30""";245;0;0;245;3.669;245;0;3.914;4.158
"=""10:45""";227;0;0;227;3.840;227;0;4.067;4.158
"=""11:00""";269;0;0;269;3.924;269;0;4.193;4.158
"=""11:15""";338;0;0;338;3.931;338;0;4.269;4.158
"=""11:30""";267;0;0;267;2.875;267;1.268;4.409;4.158
"=""11:45""";305;0;0;305;2.415;305;1.740;4.460;4.158
"=""12:00""";295;0;0;295;2.733;295;1.476;4.503;4.158
"=""12:15""";266;0;0;266;1.832;266;2.426;4.524;4.158
"=""12:30""";1.734;188;11;1.932;1.428;1.734;1.354;4.516;4.158
"=""12:45""";1.155;0;0;1.155;3.377;1.155;0;4.532;4.158
"=""13:00""";373;0;0;373;1.962;373;2.178;4.513;4.158
"=""13:15""";367;0;2;368;1.915;367;2.178;4.460;4.158
"=""13:30""";244;0;0;245;3.340;244;819;4.404;4.158
"=""13:45""";166;0;0;166;4.157;166;2;4.324;4.158
"=""14:00""";181;0;0;181;4.111;181;0;4.292;4.158
"=""14:15""";203;0;0;203;3.974;203;0;4.177;4.158
"=""14:30""";232;0;0;232;3.815;232;0;4.047;4.158
"=""14:45""";518;0;0;518;3.407;518;0;3.925;4.158
"=""15:00""";261;0;0;261;3.433;261;90;3.784;4.158
"=""15:15""";243;0;0;243;3.375;243;0;3.618;4.158
"=""15:30""";243;0;0;243;3.249;243;0;3.492;4.158
"=""15:45""";335;0;0;335;2.939;335;0;3.274;4.158
"=""16:00""";304;0;0;304;2.803;304;0;3.107;4.158
"=""16:15""";321;0;0;321;2.535;321;0;2.856;4.158
"=""16:30""";466;0;0;466;2.194;466;0;2.660;4.158
"=""16:45""";320;0;0;320;2.100;320;0;2.420;4.158
"=""17:00""";321;0;0;321;1.850;321;0;2.171;4.158
"=""17:15""";404;0;0;404;1.492;404;0;1.896;4.158
"=""17:30""";345;0;0;345;1.304;345;0;1.649;4.158
"=""17:45""";337;0;0;337;1.047;337;0;1.384;4.158
"=""18:00""";227;0;0;227;890;227;0;1.117;4.158
"=""18:15""";281;0;0;281;589;281;0;870;4.158
"=""18:30""";316;0;0;316;290;316;0;605;4.158
"=""18:45""";320;0;4;324;120;320;7;447;4.158
"=""19:00""";299;40;5;344;10;299;0;309;4.158
"=""19:15""";221;1.204;35;1.461;15;221;0;236;4.158
"=""19:30""";112;1.530;93;1.735;97;112;0;209;4.158
"=""19:45""";33;1.265;178;1.475;153;33;0;186;4.158
"=""20:00""";75;518;77;670;83;75;0;159;4.158
"=""20:15""";108;260;2;370;2;108;17;128;4.158
"=""20:30""";75;371;40;487;31;75;0;106;4.158
"=""20:45""";73;71;1;145;1;73;0;74;4.158
"=""21:00""";35;1.547;11;1.593;7;35;0;42;4.158
"=""21:15""";0;1.813;3;1.816;4;0;0;4;4.158
"=""21:30""";0;1.716;3;1.716;4;0;0;0;4.158
"=""21:45""";0;210;2;210;2;0;0;0;4.158
"=""22:00""";0;233;4;234;3;0;0;0;4.158
"=""22:15""";0;246;2;246;2;0;0;0;4.158
"=""22:30""";0;235;4;236;3;0;0;0;4.158
"=""22:45""";0;236;4;235;4;0;0;0;4.158
"=""23:00""";0;264;4;264;4;0;0;0;4.158
"=""23:15""";0;256;3;255;4;0;0;0;4.158
"=""23:30""";0;236;4;236;4;0;0;0;4.158
"=""23:45""";0;239;2;238;2;0;0;0;4.158
"=""00:00""";0;226;3;226;3;0;0;0;4.158
