 ;Direktverbrauch / Mittelwerte [W] ;Batterieentladung / Mittelwerte [W] ;Netzbezug / Mittelwerte [W] ;Gesamtverbrauch / Mittelwerte [W] ;Netzeinspeisung / Mittelwerte [W] ;Direktverbrauch / Mittelwerte [W]  ;Batterieladung / Mittelwerte [W]  ;PV-Erzeugung / Mittelwerte [W]  ;Begrenzung der Wirkleistungseinspeisung / Mittelwerte [W]  
"=""00:15""";0;202;2;203;2;0;0;0;4.158
"=""00:30""";0;167;3;168;2;0;0;0;4.158
"=""00:45""";0;140;1;140;1;0;0;0;4.158
"=""01:00""";0;119;1;119;1;0;0;0;4.158
"=""01:15""";0;108;1;108;1;0;0;0;4.158
"=""01:30""";0;70;1;70;1;0;0;0;4.158
"=""01:45""";0;120;1;120;1;0;0;0;4.158
"=""02:00""";0;98;1;98;1;0;0;0;4.158
"=""02:15""";0;108;0;108;0;0;0;0;4.158
"=""02:30""";0;90;1;90;1;0;0;0;4.158
"=""02:45""";0;106;0;106;1;0;0;0;4.158
"=""03:00""";0;69;1;69;0;0;0;0;4.158
"=""03:15""";0;61;1;61;1;0;0;0;4.158
"=""03:30""";0;96;0;96;0;0;0;0;4.158
"=""03:45""";0;95;1;95;1;0;0;0;4.158
"=""04:00""";0;65;0;65;0;0;0;0;4.158
"=""04:15""";0;90;1;90;1;0;0;0;4.158
"=""04:30""";0;90;1;90;1;0;0;0;4.158
"=""04:45""";0;89;0;89;0;0;0;0;4.158
"=""05:00""";0;101;1;101;1;0;0;0;4.158
"=""05:15""";0;111;1;112;0;0;0;0;4.158
"=""05:30""";0;82;1;82;1;0;0;0;4.158
"=""05:45""";0;74;0;74;1;0;0;0;4.158
"=""06:00""";0;127;1;127;1;0;0;0;4.158
"=""06:15""";15;68;1;84;1;15;0;16;4.158
"=""06:30""";79;6;7;92;2;79;0;81;4.158
"=""06:45""";120;0;0;120;6;120;76;202;4.158
"=""07:00""";211;157;4;372;3;211;152;366;4.158
"=""07:15""";162;195;6;363;4;162;267;433;4.158
"=""07:30""";224;627;10;862;9;224;81;315;4.158
"=""07:45""";121;0;1;122;2;121;258;380;4.158
"=""08:00""";108;0;1;109;1;108;314;423;4.158
"=""08:15""";102;52;5;159;5;102;481;587;4.158
"=""08:30""";127;0;2;129;2;127;799;928;4.158
"=""08:45""";69;0;8;77;8;69;1.274;1.351;4.158
"=""09:00""";59;0;11;71;14;59;2.556;2.629;4.158
"=""09:15""";93;0;2;95;1.871;93;999;2.963;4.158
"=""09:30""";79;0;0;79;2.965;79;0;3.044;4.158
"=""09:45""";104;0;0;104;1.966;104;0;2.070;4.158
"=""10:00""";99;0;2;101;2.101;99;511;2.711;4.158
"=""10:15""";138;0;6;144;1.914;138;699;2.751;4.158
"=""10:30""";189;0;8;198;2.703;189;1.137;4.029;4.158
"=""10:45""";229;0;0;229;3.853;229;0;4.081;4.158
"=""11:00""";300;0;0;300;3.392;300;0;3.692;4.158
"=""11:15""";253;0;0;253;3.637;253;548;4.437;4.158
"=""11:30""";249;0;0;249;4.109;249;78;4.436;4.158
"=""11:45""";277;0;0;277;4.127;277;140;4.544;4.158
"=""12:00""";245;0;0;245;3.191;245;742;4.178;4.158
"=""12:15""";496;0;0;496;3.730;496;1;4.227;4.158
"=""12:30""";242;0;0;242;4.042;242;221;4.505;4.158
"=""12:45""";257;0;0;257;3.834;257;225;4.316;4.158
"=""13:00""";224;0;0;224;4.072;224;466;4.761;4.158
"=""13:15""";205;0;0;205;4.080;205;227;4.512;4.158
"=""13:30""";252;0;0;252;4.094;252;324;4.670;4.158
"=""13:45""";221;0;0;221;4.143;221;35;4.399;4.158
"=""14:00""";272;0;0;272;4.073;272;0;4.345;4.158
"=""14:15""";438;43;51;531;2.436;438;0;2.874;4.158
"=""14:30""";371;0;9;380;3.061;371;0;3.432;4.158
"=""14:45""";221;0;0;221;3.181;221;0;3.402;4.158
"=""15:00""";283;0;0;283;3.759;283;0;4.042;4.158
"=""15:15""";295;0;0;295;3.880;295;0;4.175;4.158
"=""15:30""";278;0;0;278;3.747;278;0;4.025;4.158
