 ;Direktverbrauch / Mittelwerte [W] ;Batterieentladung / Mittelwerte [W] ;Netzbezug / Mittelwerte [W] ;Gesamtverbrauch / Mittelwerte [W] ;Netzeinspeisung / Mittelwerte [W] ;Direktverbrauch / Mittelwerte [W]  ;Batterieladung / Mittelwerte [W]  ;PV-Erzeugung / Mittelwerte [W]  ;Begrenzung der Wirkleistungseinspeisung / Mittelwerte [W]  
"=""17:45""";130;0;0;130;1.209;130;0;1.339;4.158
"=""18:00""";73;0;0;73;963;73;0;1.036;4.158
"=""18:15""";143;0;0;143;606;143;0;749;4.158
"=""18:30""";157;0;0;157;339;157;0;496;4.158
"=""18:45""";172;0;3;175;130;172;7;309;4.158
"=""19:00""";153;694;64;911;58;153;2;213;4.158
"=""19:15""";119;954;57;1.130;64;119;0;183;4.158
"=""19:30""";148;28;5;181;1;148;0;149;4.158
"=""19:45""";125;53;4;181;3;125;0;128;4.158
"=""20:00""";99;89;4;192;4;99;0;103;4.158
"=""20:15""";62;125;3;190;4;62;0;66;4.158
"=""20:30""";13;237;6;256;5;13;0;18;4.158
"=""20:45""";0;524;32;524;33;0;0;0;4.158
"=""21:00""";0;432;62;433;61;0;0;0;4.158
"=""21:15""";0;516;6;517;6;0;0;0;4.158
"=""21:30""";0;305;3;305;3;0;0;0;4.158
"=""21:45""";0;554;8;557;5;0;0;0;4.158
"=""22:00""";0;533;5;529;9;0;0;0;4.158
"=""22:15""";0;365;5;365;6;0;0;0;4.158
"=""22:30""";0;326;6;326;5;0;0;0;4.158
"=""22:45""";0;368;6;368;6;0;0;0;4.158
"=""23:00""";0;329;6;329;5;0;0;0;4.158
"=""23:15""";0;221;4;221;4;0;0;0;4.158
"=""23:30""";0;239;4;239;4;0;0;0;4.158
"=""23:45""";0;224;4;224;4;0;0;0;4.158
"=""00:00""";0;232;3;232;3;0;0;0;4.158
