 ;Direktverbrauch / Mittelwerte [W] ;Batterieentladung / Mittelwerte [W] ;Netzbezug / Mittelwerte [W] ;Gesamtverbrauch / Mittelwerte [W] ;Netzeinspeisung / Mittelwerte [W] ;Direktverbrauch / Mittelwerte [W]  ;Batterieladung / Mittelwerte [W]  ;PV-Erzeugung / Mittelwerte [W]  ;Begrenzung der Wirkleistungseinspeisung / Mittelwerte [W]  
"=""00:15""";0;224;4;223;4;0;0;0;4.158
"=""00:30""";0;236;3;235;4;0;0;0;4.158
"=""00:45""";0;213;4;214;3;0;0;0;4.158
"=""01:00""";0;208;3;208;3;0;0;0;4.158
"=""01:15""";0;155;1;154;2;0;0;0;4.158
"=""01:30""";0;102;0;102;0;0;0;0;4.158
"=""01:45""";0;101;0;101;0;0;0;0;4.158
"=""02:00""";0;115;0;115;0;0;0;0;4.158
"=""02:15""";0;77;0;77;0;0;0;0;4.158
"=""02:30""";0;90;0;90;0;0;0;0;4.158
"=""02:45""";0;116;0;116;0;0;0;0;4.158
"=""03:00""";0;108;0;108;0;0;0;0;4.158
"=""03:15""";0;99;0;99;0;0;0;0;4.158
"=""03:30""";0;99;0;99;0;0;0;0;4.158
"=""03:45""";0;77;1;77;1;0;0;0;4.158
"=""04:00""";0;71;0;71;0;0;0;0;4.158
"=""04:15""";0;122;0;122;0;0;0;0;4.158
"=""04:30""";0;88;0;88;0;0;0;0;4.158
"=""04:45""";0;79;0;79;0;0;0;0;4.158
"=""05:00""";0;101;0;101;0;0;0;0;4.158
"=""05:15""";0;100;0;100;0;0;0;0;4.158
"=""05:30""";0;104;0;104;0;0;0;0;4.158
"=""05:45""";0;95;0;95;0;0;0;0;4.158
"=""06:00""";0;93;1;93;1;0;0;0;4.158
"=""06:15""";0;64;0;64;0;0;0;0;4.158
"=""06:30""";0;71;0;71;0;0;0;0;4.158
"=""06:45""";5;123;1;129;1;5;0;6;4.158
"=""07:00""";64;145;2;211;5;64;0;69;4.158
"=""07:15""";111;0;0;111;171;111;0;282;4.158
"=""07:30""";273;301;64;637;354;273;0;627;4.158
"=""07:45""";105;14;0;118;980;105;0;1.085;4.158
"=""08:00""";88;0;0;88;1.400;88;0;1.488;4.158
"=""08:15""";89;0;0;89;1.695;89;0;1.784;4.158
"=""08:30""";57;0;0;57;2.043;57;0;2.100;4.158
"=""08:45""";51;0;0;51;2.379;51;0;2.430;4.158
"=""09:00""";78;0;0;78;2.657;78;0;2.735;4.158
"=""09:15""";71;0;0;71;2.878;71;0;2.949;4.158
"=""09:30""";89;0;0;89;3.144;89;0;3.233;4.158
"=""09:45""";1.481;0;0;1.481;2.030;1.481;0;3.511;4.158
"=""10:00""";271;0;0;271;3.419;271;0;3.690;4.158
"=""10:15""";2.022;0;0;2.022;1.825;2.022;0;3.846;4.158
"=""10:30""";344;0;0;344;3.739;344;0;4.083;4.158
"=""10:45""";86;0;0;86;4.036;86;39;4.161;4.158
"=""11:00""";1.758;0;2;1.761;2.086;1.758;488;4.332;4.158
"=""11:15""";243;0;0;243;2.226;243;1.949;4.418;4.158
"=""11:30""";89;0;0;89;2.235;89;1.934;4.258;4.158
"=""11:45""";35;0;0;35;2.765;35;1.421;4.221;4.158
"=""12:00""";53;0;0;53;3.525;53;1.301;4.880;4.158
"=""12:15""";393;0;2;394;2.101;393;2.287;4.781;4.158
"=""12:30""";66;0;0;66;2.861;66;1.762;4.689;4.158
"=""12:45""";70;0;0;70;4.116;70;588;4.773;4.158
"=""13:00""";61;0;0;61;4.127;61;759;4.947;4.158
"=""13:15""";49;0;0;49;4.145;49;363;4.557;4.158
"=""13:30""";38;0;0;38;4.164;38;0;4.202;4.158
"=""13:45""";648;0;0;648;3.964;648;0;4.612;4.158
"=""14:00""";342;0;0;342;4.112;342;0;4.454;4.158
"=""14:15""";46;0;0;46;4.159;46;0;4.205;4.158
"=""14:30""";70;0;0;70;4.159;70;0;4.229;4.158
"=""14:45""";495;0;0;495;3.768;495;0;4.263;4.158
"=""15:00""";348;0;0;348;3.803;348;0;4.151;4.158
"=""15:15""";92;0;0;92;3.899;92;0;3.991;4.158
"=""15:30""";129;0;0;129;3.729;129;0;3.858;4.158
"=""15:45""";110;0;2;111;3.279;110;184;3.573;4.158
"=""16:00""";111;0;0;111;3.244;111;6;3.360;4.158
"=""16:15""";156;0;0;156;2.888;156;0;3.044;4.158
"=""16:30""";141;0;0;141;2.668;141;0;2.809;4.158
"=""16:45""";146;0;0;146;2.405;146;0;2.551;4.158
"=""17:00""";158;0;0;158;2.113;158;0;2.271;4.158
"=""17:15""";1.223;713;130;2.065;422;1.223;265;1.909;4.158
"=""17:30""";156;0;1;157;1.010;156;466;1.632;4.158
