 ;Direktverbrauch / Mittelwerte [W] ;Batterieentladung / Mittelwerte [W] ;Netzbezug / Mittelwerte [W] ;Gesamtverbrauch / Mittelwerte [W] ;Netzeinspeisung / Mittelwerte [W] ;Direktverbrauch / Mittelwerte [W]  ;Batterieladung / Mittelwerte [W]  ;PV-Erzeugung / Mittelwerte [W]  ;Begrenzung der Wirkleistungseinspeisung / Mittelwerte [W]  
"=""08:30""";59;0;0;59;2.096;59;0;2.155;4.158
"=""08:45""";60;0;0;60;2.331;60;0;2.391;4.158
"=""09:00""";85;0;0;85;2.470;85;0;2.555;4.158
"=""09:15""";51;0;0;51;2.839;51;0;2.890;4.158
"=""09:30""";43;0;0;43;3.095;43;0;3.138;4.158
"=""09:45""";89;0;0;89;3.244;89;0;3.333;4.158
"=""10:00""";62;0;0;62;3.458;62;0;3.520;4.158
"=""10:15""";82;0;0;82;3.624;82;0;3.706;4.158
"=""10:30""";59;0;0;59;3.820;59;0;3.879;4.158
"=""10:45""";79;0;0;79;3.930;79;0;4.009;4.158
"=""11:00""";29;0;0;29;4.127;29;0;4.156;4.158
"=""11:15""";54;0;0;54;4.158;54;33;4.245;4.158
"=""11:30""";59;0;0;59;4.130;59;174;4.363;4.158
"=""11:45""";34;0;0;34;4.128;34;271;4.433;4.158
"=""12:00""";35;0;0;35;4.131;35;344;4.510;4.158
"=""12:15""";56;0;0;56;4.123;56;347;4.526;4.158
"=""12:30""";44;0;0;44;4.130;44;388;4.562;4.158
"=""12:45""";73;0;0;73;4.113;73;335;4.520;4.158
"=""13:00""";50;0;0;50;4.125;50;333;4.509;4.158
"=""13:15""";62;0;0;62;4.112;62;292;4.466;4.158
"=""13:30""";20;0;0;20;4.121;20;280;4.421;4.158
"=""13:45""";57;0;0;57;4.102;57;197;4.356;4.158
"=""14:00""";53;0;0;53;3.633;53;577;4.263;4.158
"=""14:15""";46;0;0;46;3.667;46;470;4.182;4.158
"=""14:30""";57;0;0;57;3.968;57;43;4.068;4.158
"=""14:45""";77;0;0;77;3.864;77;0;3.941;4.158
"=""15:00""";69;0;1;70;1.870;69;1.819;3.757;4.158
"=""15:15""";62;0;0;62;3.198;62;385;3.645;4.158
"=""15:30""";64;0;0;64;3.414;64;0;3.478;4.158
"=""15:45""";77;0;0;77;3.223;77;0;3.300;4.158
"=""16:00""";40;0;0;40;3.067;40;0;3.107;4.158
"=""16:15""";91;0;0;91;2.807;91;0;2.898;4.158
"=""16:30""";66;0;0;66;2.603;66;0;2.669;4.158
"=""16:45""";63;0;0;63;2.370;63;0;2.433;4.158
"=""17:00""";82;0;0;82;2.099;82;0;2.181;4.158
"=""17:15""";94;0;0;94;1.836;94;0;1.930;4.158
"=""17:30""";90;0;0;90;1.534;90;0;1.624;4.158
"=""17:45""";96;0;0;96;1.313;96;0;1.409;4.158
"=""18:00""";89;0;0;89;1.063;89;0;1.152;4.158
"=""18:15""";67;0;0;67;803;67;41;911;4.158
"=""18:30""";65;0;0;65;461;65;155;681;4.158
"=""18:45""";132;0;0;132;356;132;0;488;4.158
"=""19:00""";76;0;0;76;270;76;0;346;4.158
"=""19:15""";93;0;0;93;178;93;0;271;4.158
"=""19:30""";105;0;0;105;131;105;0;236;4.158
"=""19:45""";107;0;0;107;55;107;0;162;4.158
"=""20:00""";104;0;4;108;24;104;0;128;4.158
"=""20:15""";101;3;5;109;0;101;0;101;4.158
"=""20:30""";88;29;7;124;0;88;0;88;4.158
"=""20:45""";76;13;6;95;1;76;0;77;4.158
"=""21:00""";53;52;4;109;1;53;0;54;4.158
"=""21:15""";10;118;0;128;0;10;0;10;4.158
"=""21:30""";0;79;1;79;1;0;0;0;4.158
"=""21:45""";0;97;1;97;1;0;0;0;4.158
"=""22:00""";0;118;1;118;1;0;0;0;4.158
"=""22:15""";0;125;1;125;1;0;0;0;4.158
"=""22:30""";0;116;1;116;1;0;0;0;4.158
"=""22:45""";0;124;1;125;0;0;0;0;4.158
"=""23:00""";0;115;0;115;1;0;0;0;4.158
"=""23:15""";0;92;1;92;1;0;0;0;4.158
"=""23:30""";0;123;0;123;0;0;0;0;4.158
"=""23:45""";0;126;0;126;0;0;0;0;4.158
"=""00:00""";0;93;0;93;0;0;0;0;4.158
