 ;Direktverbrauch / Mittelwerte [W] ;Batterieentladung / Mittelwerte [W] ;Netzbezug / Mittelwerte [W] ;Gesamtverbrauch / Mittelwerte [W] ;Netzeinspeisung / Mittelwerte [W] ;Direktverbrauch / Mittelwerte [W]  ;Batterieladung / Mittelwerte [W]  ;PV-Erzeugung / Mittelwerte [W]  ;Begrenzung der Wirkleistungseinspeisung / Mittelwerte [W]  
"=""00:15""";0;105;1;105;0;0;0;0;4.158
"=""00:30""";0;91;1;91;1;0;0;0;4.158
"=""00:45""";0;103;0;103;1;0;0;0;4.158
"=""01:00""";0;90;1;91;0;0;0;0;4.158
"=""01:15""";0;81;1;81;1;0;0;0;4.158
"=""01:30""";0;64;0;64;0;0;0;0;4.158
"=""01:45""";0;117;1;117;1;0;0;0;4.158
"=""02:00""";0;64;1;64;1;0;0;0;4.158
"=""02:15""";0;65;0;65;0;0;0;0;4.158
"=""02:30""";0;88;1;88;1;0;0;0;4.158
"=""02:45""";0;110;1;110;0;0;0;0;4.158
"=""03:00""";0;86;0;86;1;0;0;0;4.158
"=""03:15""";0;85;1;86;0;0;0;0;4.158
"=""03:30""";0;88;1;88;1;0;0;0;4.158
"=""03:45""";0;69;1;70;0;0;0;0;4.158
"=""04:00""";0;84;1;84;1;0;0;0;4.158
"=""04:15""";0;106;0;106;1;0;0;0;4.158
"=""04:30""";0;64;1;65;0;0;0;0;4.158
"=""04:45""";0;92;1;92;1;0;0;0;4.158
"=""05:00""";0;90;0;90;0;0;0;0;4.158
"=""05:15""";0;109;1;109;1;0;0;0;4.158
"=""05:30""";0;85;1;85;1;0;0;0;4.158
"=""05:45""";0;104;1;104;1;0;0;0;4.158
"=""06:00""";35;44;1;80;1;35;0;36;4.158
"=""06:15""";86;0;1;88;33;86;0;119;4.158
"=""06:30""";98;0;0;98;127;98;0;225;4.158
"=""06:45""";87;0;0;87;285;87;0;372;4.158
"=""07:00""";63;0;0;63;504;63;0;567;4.158
"=""07:15""";113;0;0;113;684;113;0;797;4.158
"=""07:30""";89;0;0;89;862;89;0;951;4.158
"=""07:45""";105;0;0;105;1.222;105;0;1.327;4.158
"=""08:00""";85;0;0;85;1.417;85;0;1.502;4.158
"=""08:15""";96;0;0;96;1.816;96;0;1.912;4.158
