 ;Direktverbrauch / Mittelwerte [W] ;Batterieentladung / Mittelwerte [W] ;Netzbezug / Mittelwerte [W] ;Gesamtverbrauch / Mittelwerte [W] ;Netzeinspeisung / Mittelwerte [W] ;Direktverbrauch / Mittelwerte [W]  ;Batterieladung / Mittelwerte [W]  ;PV-Erzeugung / Mittelwerte [W]  ;Begrenzung der Wirkleistungseinspeisung / Mittelwerte [W]  
"=""00:15""";0;96;0;96;0;0;0;0;4.158
"=""00:30""";0;96;0;96;0;0;0;0;4.158
"=""00:45""";0;94;0;94;1;0;0;0;4.158
"=""01:00""";0;104;0;104;0;0;0;0;4.158
"=""01:15""";0;110;0;110;0;0;0;0;4.158
"=""01:30""";0;91;0;91;0;0;0;0;4.158
"=""01:45""";0;76;0;76;0;0;0;0;4.158
"=""02:00""";0;114;1;115;0;0;0;0;4.158
"=""02:15""";0;92;0;92;0;0;0;0;4.158
"=""02:30""";0;82;0;82;1;0;0;0;4.158
"=""02:45""";0;103;0;103;0;0;0;0;4.158
"=""03:00""";0;119;1;119;1;0;0;0;4.158
"=""03:15""";0;97;0;97;0;0;0;0;4.158
"=""03:30""";0;111;0;111;0;0;0;0;4.158
"=""03:45""";0;101;0;102;0;0;0;0;4.158
"=""04:00""";0;69;0;69;1;0;0;0;4.158
"=""04:15""";0;82;1;82;0;0;0;0;4.158
"=""04:30""";0;125;0;125;0;0;0;0;4.158
"=""04:45""";0;66;0;66;0;0;0;0;4.158
"=""05:00""";0;87;1;87;1;0;0;0;4.158
"=""05:15""";0;96;0;96;0;0;0;0;4.158
"=""05:30""";0;111;0;111;0;0;0;0;4.158
"=""05:45""";0;102;0;102;1;0;0;0;4.158
"=""06:00""";0;109;1;109;0;0;0;0;4.158
"=""06:15""";56;41;0;97;0;56;0;56;4.158
"=""06:30""";96;0;0;97;15;96;0;111;4.158
"=""06:45""";103;0;0;103;80;103;0;183;4.158
"=""07:00""";122;0;0;122;164;122;0;286;4.158
"=""07:15""";82;0;0;82;307;82;0;389;4.158
"=""07:30""";121;0;0;121;421;121;0;542;4.158
"=""07:45""";114;0;0;114;325;114;0;439;4.158
"=""08:00""";125;0;0;125;345;125;0;470;4.158
"=""08:15""";113;0;0;113;540;113;0;653;4.158
"=""08:30""";116;0;0;116;818;116;0;934;4.158
"=""08:45""";79;0;0;79;1.719;79;0;1.798;4.158
"=""09:00""";58;0;0;58;2.519;58;0;2.577;4.158
"=""09:15""";97;0;0;97;2.398;97;0;2.495;4.158
"=""09:30""";105;0;0;105;1.759;105;0;1.864;4.158
"=""09:45""";58;0;0;58;2.681;58;0;2.739;4.158
"=""10:00""";101;0;0;101;3.052;101;0;3.153;4.158
"=""10:15""";84;0;0;84;3.604;84;0;3.688;4.158
"=""10:30""";94;0;0;94;3.641;94;0;3.735;4.158
"=""10:45""";79;0;0;79;3.835;79;0;3.914;4.158
"=""11:00""";91;0;0;91;3.970;91;0;4.061;4.158
"=""11:15""";54;0;1;54;2.660;54;524;3.237;4.158
"=""11:30""";74;0;0;74;2.501;74;1;2.576;4.158
"=""11:45""";101;0;1;102;1.310;101;507;1.918;4.158
"=""12:00""";58;0;4;62;4;58;2.076;2.138;4.158
"=""12:15""";67;0;7;74;1.152;67;2.536;3.754;4.158
"=""12:30""";100;0;0;100;2.914;100;4;3.018;4.158
"=""12:45""";81;0;0;81;2.764;81;0;2.845;4.158
"=""13:00""";91;0;0;91;3.944;91;0;4.035;4.158
"=""13:15""";77;0;0;77;3.628;77;0;3.705;4.158
"=""13:30""";75;0;0;75;4.153;75;0;4.228;4.158
"=""13:45""";48;0;0;48;4.159;48;0;4.207;4.158
"=""14:00""";67;0;0;67;4.164;67;0;4.231;4.158
"=""14:15""";77;0;0;77;4.102;77;0;4.179;4.158
"=""14:30""";43;0;0;43;3.584;43;0;3.626;4.158
"=""14:45""";86;0;0;86;3.314;86;0;3.400;4.158
"=""15:00""";90;0;0;90;2.339;90;0;2.429;4.158
"=""15:15""";73;0;0;73;3.226;73;0;3.299;4.158
"=""15:30""";73;0;0;73;3.392;73;0;3.465;4.158
"=""15:45""";88;0;0;88;3.007;88;0;3.095;4.158
"=""16:00""";74;0;0;74;2.852;74;0;2.926;4.158
"=""16:15""";62;0;0;62;2.883;62;0;2.945;4.158
"=""16:30""";101;0;0;101;2.124;101;0;2.225;4.158
"=""16:45""";88;0;0;88;1.225;88;0;1.312;4.158
"=""17:00""";78;0;0;78;1.775;78;0;1.853;4.158
"=""17:15""";111;0;0;111;1.510;111;187;1.808;4.158
"=""17:30""";95;0;0;95;1.599;95;3;1.697;4.158
"=""17:45""";110;0;0;110;1.336;110;0;1.446;4.158
"=""18:00""";95;0;0;95;1.081;95;0;1.176;4.158
"=""18:15""";104;0;0;104;700;104;0;804;4.158
"=""18:30""";78;0;0;78;626;78;0;704;4.158
"=""18:45""";109;0;0;109;391;109;0;500;4.158
"=""19:00""";115;0;0;115;237;115;0;352;4.158
"=""19:15""";96;0;0;96;337;96;0;433;4.158
"=""19:30""";93;0;0;93;295;93;0;388;4.158
"=""19:45""";124;0;0;124;246;124;0;370;4.158
"=""20:00""";110;0;0;110;139;110;0;249;4.158
"=""20:15""";125;0;0;125;66;125;0;191;4.158
"=""20:30""";101;17;4;123;14;101;0;115;4.158
"=""20:45""";28;98;0;126;0;28;0;28;4.158
"=""21:00""";0;93;1;93;0;0;0;0;4.158
"=""21:15""";0;134;0;134;0;0;0;0;4.158
"=""21:30""";0;113;1;113;1;0;0;0;4.158
"=""21:45""";0;100;1;100;0;0;0;0;4.158
"=""22:00""";0;121;0;121;0;0;0;0;4.158
"=""22:15""";0;120;0;120;0;0;0;0;4.158
"=""22:30""";0;123;0;123;0;0;0;0;4.158
"=""22:45""";0;139;0;139;0;0;0;0;4.158
"=""23:00""";0;127;0;127;0;0;0;0;4.158
"=""23:15""";0;109;0;109;1;0;0;0;4.158
"=""23:30""";0;107;1;107;0;0;0;0;4.158
"=""23:45""";0;131;1;131;1;0;0;0;4.158
"=""00:00""";0;87;1;87;1;0;0;0;4.158
