 ;Direktverbrauch / Mittelwerte [W] ;Batterieentladung / Mittelwerte [W] ;Netzbezug / Mittelwerte [W] ;Gesamtverbrauch / Mittelwerte [W] ;Netzeinspeisung / Mittelwerte [W] ;Direktverbrauch / Mittelwerte [W]  ;Batterieladung / Mittelwerte [W]  ;PV-Erzeugung / Mittelwerte [W]  ;Begrenzung der Wirkleistungseinspeisung / Mittelwerte [W]  
"=""00:15""";0;147;0;147;0;0;0;0;4.158
"=""00:30""";0;132;1;132;1;0;0;0;4.158
"=""00:45""";0;212;2;211;3;0;0;0;4.158
"=""01:00""";0;99;0;99;0;0;0;0;4.158
"=""01:15""";0;97;1;97;1;0;0;0;4.158
"=""01:30""";0;97;0;97;0;0;0;0;4.158
"=""01:45""";0;95;0;95;0;0;0;0;4.158
"=""02:00""";0;119;0;119;1;0;0;0;4.158
"=""02:15""";0;74;0;74;0;0;0;0;4.158
"=""02:30""";0;101;0;101;0;0;0;0;4.158
"=""02:45""";0;105;0;105;0;0;0;0;4.158
"=""03:00""";0;99;0;99;0;0;0;0;4.158
"=""03:15""";0;106;0;106;0;0;0;0;4.158
"=""03:30""";0;90;0;90;0;0;0;0;4.158
"=""03:45""";0;76;0;76;0;0;0;0;4.158
"=""04:00""";0;67;0;67;0;0;0;0;4.158
"=""04:15""";0;110;0;110;0;0;0;0;4.158
"=""04:30""";0;84;1;84;0;0;0;0;4.158
"=""04:45""";0;73;0;73;0;0;0;0;4.158
"=""05:00""";0;106;0;106;0;0;0;0;4.158
"=""05:15""";0;92;0;92;0;0;0;0;4.158
"=""05:30""";0;106;0;106;0;0;0;0;4.158
"=""05:45""";0;88;0;88;0;0;0;0;4.158
"=""06:00""";0;97;0;97;1;0;0;0;4.158
"=""06:15""";0;62;0;62;0;0;0;0;4.158
"=""06:30""";0;87;0;87;0;0;0;0;4.158
"=""06:45""";48;49;1;98;1;48;0;49;4.158
"=""07:00""";76;0;0;76;61;76;0;137;4.158
"=""07:15""";91;0;0;91;369;91;0;460;4.158
"=""07:30""";143;0;0;143;574;143;0;717;4.158
"=""07:45""";180;0;0;180;653;180;0;833;4.158
"=""08:00""";176;0;0;176;1.067;176;0;1.243;4.158
"=""08:15""";587;226;59;872;1.046;587;0;1.633;4.158
"=""08:30""";149;0;0;149;1.805;149;0;1.953;4.158
"=""08:45""";204;0;0;204;2.153;204;0;2.357;4.158
"=""09:00""";433;0;0;433;2.264;433;0;2.697;4.158
"=""09:15""";1.064;0;0;1.064;1.939;1.064;0;3.003;4.158
"=""09:30""";638;0;0;638;2.630;638;0;3.268;4.158
"=""09:45""";189;0;0;189;3.315;189;0;3.504;4.158
"=""10:00""";185;0;0;185;3.556;185;0;3.741;4.158
"=""10:15""";159;0;0;159;3.784;159;0;3.943;4.158
"=""10:30""";259;0;0;259;3.824;259;0;4.083;4.158
