 ;Direktverbrauch / Mittelwerte [W] ;Batterieentladung / Mittelwerte [W] ;Netzbezug / Mittelwerte [W] ;Gesamtverbrauch / Mittelwerte [W] ;Netzeinspeisung / Mittelwerte [W] ;Direktverbrauch / Mittelwerte [W]  ;Batterieladung / Mittelwerte [W]  ;PV-Erzeugung / Mittelwerte [W]  ;Begrenzung der Wirkleistungseinspeisung / Mittelwerte [W]  
"=""00:15""";0;107;0;107;0;0;0;0;4.158
"=""00:30""";0;96;0;96;0;0;0;0;4.158
"=""00:45""";0;92;0;91;1;0;0;0;4.158
"=""01:00""";0;68;0;68;0;0;0;0;4.158
"=""01:15""";0;127;0;127;0;0;0;0;4.158
"=""01:30""";0;84;0;84;0;0;0;0;4.158
"=""01:45""";0;95;0;95;0;0;0;0;4.158
"=""02:00""";0;108;0;108;0;0;0;0;4.158
"=""02:15""";0;109;0;109;1;0;0;0;4.158
"=""02:30""";0;93;0;93;0;0;0;0;4.158
"=""02:45""";0;91;0;91;0;0;0;0;4.158
"=""03:00""";0;89;0;89;1;0;0;0;4.158
"=""03:15""";0;76;0;76;0;0;0;0;4.158
"=""03:30""";0;96;0;96;0;0;0;0;4.158
"=""03:45""";0;85;0;85;0;0;0;0;4.158
"=""04:00""";0;66;0;66;0;0;0;0;4.158
"=""04:15""";0;94;1;94;0;0;0;0;4.158
"=""04:30""";0;92;0;92;0;0;0;0;4.158
"=""04:45""";0;106;0;106;0;0;0;0;4.158
"=""05:00""";0;97;0;97;0;0;0;0;4.158
"=""05:15""";0;119;0;119;0;0;0;0;4.158
"=""05:30""";0;70;1;70;0;0;0;0;4.158
"=""05:45""";0;89;0;89;1;0;0;0;4.158
"=""06:00""";0;97;0;97;0;0;0;0;4.158
"=""06:15""";0;78;0;78;0;0;0;0;4.158
"=""06:30""";16;63;1;80;1;16;0;17;4.158
"=""06:45""";81;52;1;134;0;81;0;81;4.158
"=""07:00""";159;101;3;263;6;159;51;216;4.158
"=""07:15""";119;33;1;153;2;119;266;387;4.158
"=""07:30""";424;496;24;943;23;424;350;797;4.158
"=""07:45""";114;15;6;136;6;114;1.141;1.261;4.158
"=""08:00""";163;3;7;174;5;163;1.218;1.386;4.158
"=""08:15""";160;13;4;178;8;160;1.322;1.490;4.158
"=""08:30""";62;0;5;67;5;62;1.778;1.845;4.158
"=""08:45""";57;0;5;62;6;57;2.373;2.436;4.158
"=""09:00""";83;0;4;87;707;83;1.945;2.735;4.158
"=""09:15""";75;0;0;75;2.962;75;1;3.038;4.158
"=""09:30""";71;0;0;71;3.300;71;0;3.371;4.158
"=""09:45""";63;0;5;67;2.182;63;222;2.467;4.158
"=""10:00""";103;0;0;104;1.389;103;49;1.541;4.158
"=""10:15""";59;0;0;60;1.387;59;38;1.485;4.158
"=""10:30""";42;0;15;56;1.610;42;1.258;2.910;4.158
"=""10:45""";61;0;18;79;1.447;61;930;2.438;4.158
"=""11:00""";48;0;4;52;2.432;48;286;2.766;4.158
"=""11:15""";30;0;0;30;2.732;30;11;2.772;4.158
"=""11:30""";75;0;0;75;1.416;75;0;1.491;4.158
"=""11:45""";74;0;0;74;3.338;74;0;3.412;4.158
"=""12:00""";52;0;0;52;3.224;52;0;3.276;4.158
"=""12:15""";56;0;0;56;2.729;56;0;2.785;4.158
"=""12:30""";58;0;0;58;3.330;58;0;3.388;4.158
"=""12:45""";31;0;0;31;2.965;31;0;2.996;4.158
"=""13:00""";25;0;0;25;3.532;25;0;3.557;4.158
"=""13:15""";78;0;0;78;3.369;78;0;3.447;4.158
"=""13:30""";45;0;0;45;3.592;45;0;3.637;4.158
