 ;Direktverbrauch / Mittelwerte [W] ;Batterieentladung / Mittelwerte [W] ;Netzbezug / Mittelwerte [W] ;Gesamtverbrauch / Mittelwerte [W] ;Netzeinspeisung / Mittelwerte [W] ;Direktverbrauch / Mittelwerte [W]  ;Batterieladung / Mittelwerte [W]  ;PV-Erzeugung / Mittelwerte [W]  ;Begrenzung der Wirkleistungseinspeisung / Mittelwerte [W]  
"=""00:15""";0;200;2;201;2;0;0;0;4.158
"=""00:30""";0;203;3;203;3;0;0;0;4.158
"=""00:45""";0;181;2;181;2;0;0;0;4.158
"=""01:00""";0;185;2;185;2;0;0;0;4.158
"=""01:15""";0;202;2;202;2;0;0;0;4.158
"=""01:30""";0;97;1;97;1;0;0;0;4.158
"=""01:45""";0;106;0;106;0;0;0;0;4.158
"=""02:00""";0;113;0;113;0;0;0;0;4.158
"=""02:15""";0;107;0;107;0;0;0;0;4.158
"=""02:30""";0;105;1;105;1;0;0;0;4.158
"=""02:45""";0;111;0;111;0;0;0;0;4.158
"=""03:00""";0;92;0;92;0;0;0;0;4.158
"=""03:15""";0;84;0;84;0;0;0;0;4.158
"=""03:30""";0;114;0;114;0;0;0;0;4.158
"=""03:45""";0;96;0;96;0;0;0;0;4.158
"=""04:00""";0;76;0;76;0;0;0;0;4.158
"=""04:15""";0;120;1;120;0;0;0;0;4.158
"=""04:30""";0;107;0;107;0;0;0;0;4.158
"=""04:45""";0;98;1;98;1;0;0;0;4.158
"=""05:00""";0;108;0;108;0;0;0;0;4.158
"=""05:15""";0;92;0;92;1;0;0;0;4.158
"=""05:30""";0;63;0;63;0;0;0;0;4.158
"=""05:45""";0;78;0;78;0;0;0;0;4.158
"=""06:00""";0;98;0;98;1;0;0;0;4.158
"=""06:15""";0;81;1;81;0;0;0;0;4.158
"=""06:30""";0;79;0;79;0;0;0;0;4.158
"=""06:45""";28;93;1;122;1;28;0;29;4.158
"=""07:00""";79;24;4;107;1;79;0;80;4.158
"=""07:15""";179;0;0;180;198;179;0;377;4.158
"=""07:30""";166;0;0;166;630;166;0;796;4.158
"=""07:45""";553;172;44;768;576;553;0;1.129;4.158
"=""08:00""";1.270;1.192;70;2.533;188;1.270;0;1.458;4.158
"=""08:15""";1.747;483;12;2.242;12;1.747;0;1.759;4.158
"=""08:30""";1.445;210;11;1.666;619;1.445;0;2.064;4.158
"=""08:45""";1.699;8;8;1.715;711;1.699;0;2.410;4.158
"=""09:00""";985;0;0;985;1.788;985;0;2.773;4.158
"=""09:15""";948;2;4;954;2.061;948;0;3.009;4.158
"=""09:30""";2.184;176;44;2.405;1.074;2.184;0;3.258;4.158
"=""09:45""";1.401;78;11;1.490;2.100;1.401;0;3.501;4.158
"=""10:00""";591;0;0;591;3.135;591;0;3.726;4.158
"=""10:15""";177;0;0;177;3.742;177;0;3.919;4.158
"=""10:30""";1.146;0;0;1.146;2.959;1.146;0;4.105;4.158
"=""10:45""";671;0;1;672;3.110;671;506;4.287;4.158
"=""11:00""";348;0;0;348;2.502;348;1.517;4.367;4.158
"=""11:15""";190;0;0;190;2.123;190;2.145;4.458;4.158
"=""11:30""";166;0;0;166;2.063;166;2.327;4.556;4.158
"=""11:45""";130;0;0;130;2.140;130;2.345;4.616;4.158
"=""12:00""";139;0;0;139;2.138;139;2.411;4.688;4.158
"=""12:15""";53;0;0;53;3.381;53;1.348;4.781;4.158
"=""12:30""";89;0;0;89;3.888;89;840;4.816;4.158
"=""12:45""";147;0;0;147;4.128;147;556;4.831;4.158
"=""13:00""";594;0;0;594;3.705;594;531;4.830;4.158
"=""13:15""";2.252;0;0;2.252;2.532;2.252;4;4.788;4.158
"=""13:30""";120;0;0;120;4.121;120;484;4.724;4.158
"=""13:45""";1.212;0;0;1.212;3.215;1.212;284;4.711;4.158
"=""14:00""";617;0;0;617;3.628;617;384;4.630;4.158
"=""14:15""";111;0;0;111;4.030;111;34;4.175;4.158
"=""14:30""";151;0;0;151;4.159;151;0;4.310;4.158
"=""14:45""";213;0;0;213;4.083;213;0;4.296;4.158
"=""15:00""";275;0;0;275;3.840;275;0;4.115;4.158
"=""15:15""";269;0;0;269;3.710;269;0;3.979;4.158
"=""15:30""";252;0;0;252;3.518;252;0;3.770;4.158
"=""15:45""";278;0;0;278;3.201;278;0;3.478;4.158
"=""16:00""";213;0;0;213;3.174;213;0;3.387;4.158
"=""16:15""";263;0;0;263;2.803;263;0;3.066;4.158
"=""16:30""";247;0;0;247;2.524;247;0;2.771;4.158
"=""16:45""";243;0;0;243;2.249;243;0;2.492;4.158
"=""17:00""";293;0;3;297;1.725;293;189;2.207;4.158
"=""17:15""";140;0;0;140;1.765;140;2;1.907;4.158
"=""17:30""";149;0;0;149;1.451;149;0;1.600;4.158
"=""17:45""";204;27;44;275;1.089;204;3;1.296;4.158
"=""18:00""";84;0;0;84;859;84;0;943;4.158
"=""18:15""";86;0;0;86;629;86;0;715;4.158
"=""18:30""";63;0;0;63;417;63;0;480;4.158
"=""18:45""";126;0;0;126;175;126;0;301;4.158
"=""19:00""";103;67;36;206;95;103;0;198;4.158
"=""19:15""";148;673;4;825;2;148;10;160;4.158
"=""19:30""";67;2.206;126;2.399;61;67;0;128;4.158
"=""19:45""";24;469;64;557;70;24;0;94;4.158
"=""20:00""";37;114;44;195;40;37;0;77;4.158
"=""20:15""";52;54;1;106;1;52;0;52;4.158
"=""20:30""";24;80;1;105;0;24;0;24;4.158
"=""20:45""";0;218;4;219;3;0;0;0;4.158
"=""21:00""";0;188;2;189;2;0;0;0;4.158
"=""21:15""";0;291;3;291;3;0;0;0;4.158
"=""21:30""";0;272;3;271;4;0;0;0;4.158
"=""21:45""";0;275;2;275;2;0;0;0;4.158
"=""22:00""";0;280;1;280;1;0;0;0;4.158
"=""22:15""";0;284;1;284;1;0;0;0;4.158
"=""22:30""";0;273;1;273;1;0;0;0;4.158
"=""22:45""";0;251;2;252;1;0;0;0;4.158
"=""23:00""";0;322;2;321;3;0;0;0;4.158
"=""23:15""";0;164;1;163;2;0;0;0;4.158
"=""23:30""";0;174;1;174;0;0;0;0;4.158
"=""23:45""";0;128;1;128;1;0;0;0;4.158
"=""00:00""";0;401;2;401;2;0;0;0;4.158
