 ;Direktverbrauch / Mittelwerte [W] ;Batterieentladung / Mittelwerte [W] ;Netzbezug / Mittelwerte [W] ;Gesamtverbrauch / Mittelwerte [W] ;Netzeinspeisung / Mittelwerte [W] ;Direktverbrauch / Mittelwerte [W]  ;Batterieladung / Mittelwerte [W]  ;PV-Erzeugung / Mittelwerte [W]  ;Begrenzung der Wirkleistungseinspeisung / Mittelwerte [W]  
"=""00:15""";0;218;3;218;3;0;0;0;4.158
"=""00:30""";0;184;3;185;3;0;0;0;4.158
"=""00:45""";0;168;2;168;3;0;0;0;4.158
"=""01:00""";0;78;2;79;1;0;0;0;4.158
"=""01:15""";0;107;2;107;2;0;0;0;4.158
"=""01:30""";0;96;2;96;2;0;0;0;4.158
"=""01:45""";0;75;2;76;2;0;0;0;4.158
"=""02:00""";0;101;1;101;1;0;0;0;4.158
"=""02:15""";0;101;1;101;1;0;0;0;4.158
"=""02:30""";0;92;1;92;1;0;0;0;4.158
"=""02:45""";0;99;1;99;1;0;0;0;4.158
"=""03:00""";0;95;0;95;0;0;0;0;4.158
"=""03:15""";0;73;0;73;0;0;0;0;4.158
"=""03:30""";0;63;0;63;0;0;0;0;4.158
"=""03:45""";0;104;1;105;0;0;0;0;4.158
"=""04:00""";0;97;0;97;0;0;0;0;4.158
"=""04:15""";0;63;0;63;0;0;0;0;4.158
"=""04:30""";0;92;0;92;0;0;0;0;4.158
"=""04:45""";0;93;0;93;0;0;0;0;4.158
"=""05:00""";0;92;0;91;0;0;0;0;4.158
"=""05:15""";0;101;0;101;0;0;0;0;4.158
"=""05:30""";0;105;0;105;0;0;0;0;4.158
"=""05:45""";0;80;1;80;1;0;0;0;4.158
"=""06:00""";0;67;0;67;0;0;0;0;4.158
"=""06:15""";4;112;0;116;0;4;0;4;4.158
"=""06:30""";68;13;0;81;1;68;29;98;4.158
"=""06:45""";86;0;1;86;0;86;77;163;4.158
"=""07:00""";96;0;0;96;1;96;158;255;4.158
"=""07:15""";110;0;1;111;1;110;330;441;4.158
"=""07:30""";92;0;1;93;2;92;585;679;4.158
"=""07:45""";178;0;0;178;511;178;62;751;4.158
"=""08:00""";196;24;0;220;812;196;0;1.008;4.158
"=""08:15""";203;0;0;203;1.425;203;0;1.628;4.158
"=""08:30""";619;24;38;680;1.603;619;0;2.222;4.158
"=""08:45""";678;0;0;678;1.879;678;0;2.557;4.158
"=""09:00""";241;0;0;241;2.391;241;0;2.632;4.158
"=""09:15""";117;0;0;117;2.398;117;0;2.515;4.158
"=""09:30""";125;0;0;125;2.625;125;0;2.750;4.158
