 ;Direktverbrauch / Mittelwerte [W] ;Batterieentladung / Mittelwerte [W] ;Netzbezug / Mittelwerte [W] ;Gesamtverbrauch / Mittelwerte [W] ;Netzeinspeisung / Mittelwerte [W] ;Direktverbrauch / Mittelwerte [W]  ;Batterieladung / Mittelwerte [W]  ;PV-Erzeugung / Mittelwerte [W]  ;Begrenzung der Wirkleistungseinspeisung / Mittelwerte [W]  
"=""10:15""";241;0;0;241;3.789;241;0;4.029;4.158
"=""10:30""";149;0;0;149;4.044;149;0;4.193;4.158
"=""10:45""";248;0;0;248;3.234;248;767;4.249;4.158
"=""11:00""";80;0;0;80;3.629;80;702;4.411;4.158
"=""11:15""";89;0;1;89;2.952;89;108;3.149;4.158
"=""11:30""";26;0;1;27;3.223;26;1.292;4.541;4.158
"=""11:45""";72;0;0;72;4.115;72;501;4.688;4.158
"=""12:00""";356;0;0;356;3.350;356;1.079;4.785;4.158
"=""12:15""";99;0;0;99;3.639;99;776;4.514;4.158
"=""12:30""";57;0;0;57;3.007;57;1.041;4.105;4.158
"=""12:45""";48;0;0;48;4.110;48;775;4.932;4.158
"=""13:00""";60;0;0;60;3.499;60;1.281;4.841;4.158
"=""13:15""";61;0;0;61;2.617;61;1.843;4.521;4.158
"=""13:30""";69;0;0;69;3.200;69;570;3.839;4.158
"=""13:45""";73;0;0;73;3.890;73;186;4.148;4.158
"=""14:00""";44;0;0;44;3.202;44;0;3.246;4.158
"=""14:15""";61;0;0;61;2.588;61;0;2.649;4.158
"=""14:30""";61;0;0;61;3.948;61;0;4.009;4.158
"=""14:45""";539;0;0;539;1.641;539;0;2.180;4.158
"=""15:00""";155;0;0;155;4.161;155;0;4.316;4.158
"=""15:15""";79;0;0;79;3.270;79;0;3.349;4.158
"=""15:30""";160;0;0;160;1.468;160;0;1.628;4.158
"=""15:45""";148;0;0;148;2.531;148;0;2.679;4.158
"=""16:00""";155;0;0;155;2.398;155;0;2.553;4.158
"=""16:15""";183;0;4;187;1.780;183;182;2.145;4.158
"=""16:30""";172;0;0;172;1.298;172;7;1.477;4.158
"=""16:45""";231;0;0;231;1.822;231;0;2.053;4.158
"=""17:00""";264;0;0;264;1.444;264;0;1.708;4.158
"=""17:15""";232;0;0;232;634;232;0;865;4.158
"=""17:30""";219;0;0;219;1.595;219;0;1.814;4.158
"=""17:45""";260;0;0;260;954;260;0;1.214;4.158
"=""18:00""";248;0;0;248;727;248;0;975;4.158
"=""18:15""";253;0;0;253;725;253;0;978;4.158
"=""18:30""";258;0;0;258;427;258;0;685;4.158
"=""18:45""";209;0;0;209;340;209;0;549;4.158
"=""19:00""";288;449;45;781;177;288;5;470;4.158
"=""19:15""";373;2.516;67;2.956;64;373;0;437;4.158
"=""19:30""";309;1.256;18;1.582;9;309;32;349;4.158
"=""19:45""";207;1.412;6;1.625;8;207;13;228;4.158
"=""20:00""";112;99;4;215;4;112;0;116;4.158
"=""20:15""";83;135;4;223;4;83;0;87;4.158
"=""20:30""";53;154;4;211;5;53;0;58;4.158
"=""20:45""";49;174;5;228;4;49;0;53;4.158
"=""21:00""";2;203;4;209;4;2;0;6;4.158
"=""21:15""";0;580;8;581;8;0;0;0;4.158
"=""21:30""";0;334;5;334;5;0;0;0;4.158
"=""21:45""";0;256;3;257;2;0;0;0;4.158
"=""22:00""";0;482;6;486;2;0;0;0;4.158
"=""22:15""";0;434;2;430;6;0;0;0;4.158
"=""22:30""";0;237;3;236;3;0;0;0;4.158
"=""22:45""";0;201;1;201;1;0;0;0;4.158
"=""23:00""";0;113;0;113;0;0;0;0;4.158
"=""23:15""";0;95;0;95;0;0;0;0;4.158
"=""23:30""";0;106;0;106;0;0;0;0;4.158
"=""23:45""";0;103;0;104;0;0;0;0;4.158
"=""00:00""";0;98;0;98;0;0;0;0;4.158
