 ;Direktverbrauch / Mittelwerte [W] ;Batterieentladung / Mittelwerte [W] ;Netzbezug / Mittelwerte [W] ;Gesamtverbrauch / Mittelwerte [W] ;Netzeinspeisung / Mittelwerte [W] ;Direktverbrauch / Mittelwerte [W]  ;Batterieladung / Mittelwerte [W]  ;PV-Erzeugung / Mittelwerte [W]  ;Begrenzung der Wirkleistungseinspeisung / Mittelwerte [W]  
"=""00:15""";0;103;0;103;0;0;0;0;4.158
"=""00:30""";0;84;0;84;0;0;0;0;4.158
"=""00:45""";0;86;1;87;0;0;0;0;4.158
"=""01:00""";0;105;0;105;1;0;0;0;4.158
"=""01:15""";0;81;0;81;0;0;0;0;4.158
"=""01:30""";0;80;0;80;0;0;0;0;4.158
"=""01:45""";0;109;0;109;0;0;0;0;4.158
"=""02:00""";0;98;1;98;0;0;0;0;4.158
"=""02:15""";0;104;0;104;0;0;0;0;4.158
"=""02:30""";0;100;0;100;0;0;0;0;4.158
"=""02:45""";0;102;0;102;0;0;0;0;4.158
"=""03:00""";0;77;0;77;0;0;0;0;4.158
"=""03:15""";0;88;0;88;0;0;0;0;4.158
"=""03:30""";0;121;0;120;1;0;0;0;4.158
"=""03:45""";0;62;0;62;0;0;0;0;4.158
"=""04:00""";0;83;1;84;0;0;0;0;4.158
"=""04:15""";0;92;0;91;0;0;0;0;4.158
"=""04:30""";0;91;0;91;0;0;0;0;4.158
"=""04:45""";0;113;0;113;0;0;0;0;4.158
"=""05:00""";0;90;0;90;0;0;0;0;4.158
"=""05:15""";0;89;0;89;0;0;0;0;4.158
"=""05:30""";0;62;0;62;0;0;0;0;4.158
"=""05:45""";0;96;1;96;1;0;0;0;4.158
"=""06:00""";0;91;0;91;0;0;0;0;4.158
"=""06:15""";0;78;0;78;0;0;0;0;4.158
"=""06:30""";58;33;0;91;1;58;0;59;4.158
"=""06:45""";114;0;1;115;5;114;46;165;4.158
"=""07:00""";165;165;5;335;4;165;147;317;4.158
"=""07:15""";128;0;0;128;425;128;11;564;4.158
"=""07:30""";392;310;66;768;481;392;0;873;4.158
"=""07:45""";684;330;69;1.082;560;684;0;1.243;4.158
"=""08:00""";1.123;536;11;1.670;352;1.123;0;1.475;4.158
"=""08:15""";1.706;408;12;2.127;58;1.706;0;1.764;4.158
"=""08:30""";1.504;140;9;1.653;593;1.504;0;2.097;4.158
"=""08:45""";479;0;0;479;1.934;479;0;2.413;4.158
"=""09:00""";146;0;0;146;2.572;146;0;2.718;4.158
"=""09:15""";142;0;0;142;2.837;142;0;2.979;4.158
"=""09:30""";153;0;0;153;3.123;153;0;3.276;4.158
"=""09:45""";127;0;0;127;3.440;127;0;3.567;4.158
"=""10:00""";157;0;0;157;3.648;157;0;3.805;4.158
