 ;Direktverbrauch / Mittelwerte [W] ;Batterieentladung / Mittelwerte [W] ;Netzbezug / Mittelwerte [W] ;Gesamtverbrauch / Mittelwerte [W] ;Netzeinspeisung / Mittelwerte [W] ;Direktverbrauch / Mittelwerte [W]  ;Batterieladung / Mittelwerte [W]  ;PV-Erzeugung / Mittelwerte [W]  ;Begrenzung der Wirkleistungseinspeisung / Mittelwerte [W]  
"=""00:15""";0;112;0;112;0;0;0;0;4.158
"=""00:30""";0;98;0;98;0;0;0;0;4.158
"=""00:45""";0;94;0;93;1;0;0;0;4.158
"=""01:00""";0;93;0;93;0;0;0;0;4.158
"=""01:15""";0;91;0;91;0;0;0;0;4.158
"=""01:30""";0;75;0;75;0;0;0;0;4.158
"=""01:45""";0;88;1;88;1;0;0;0;4.158
"=""02:00""";0;90;0;91;0;0;0;0;4.158
"=""02:15""";0;62;0;62;0;0;0;0;4.158
"=""02:30""";0;90;1;90;0;0;0;0;4.158
"=""02:45""";0;113;0;113;0;0;0;0;4.158
"=""03:00""";0;92;0;92;0;0;0;0;4.158
"=""03:15""";0;108;0;108;0;0;0;0;4.158
"=""03:30""";0;96;0;96;0;0;0;0;4.158
"=""03:45""";0;92;0;92;0;0;0;0;4.158
"=""04:00""";0;75;0;75;0;0;0;0;4.158
"=""04:15""";0;93;0;93;0;0;0;0;4.158
"=""04:30""";0;105;0;105;0;0;0;0;4.158
"=""04:45""";0;66;0;66;0;0;0;0;4.158
"=""05:00""";0;79;0;80;0;0;0;0;4.158
"=""05:15""";0;92;0;92;0;0;0;0;4.158
"=""05:30""";0;90;0;90;0;0;0;0;4.158
"=""05:45""";0;102;0;103;0;0;0;0;4.158
"=""06:00""";0;101;0;101;0;0;0;0;4.158
"=""06:15""";0;79;0;79;1;0;0;0;4.158
"=""06:30""";0;59;0;59;0;0;0;0;4.158
"=""06:45""";0;102;0;102;0;0;0;0;4.158
"=""07:00""";0;342;4;342;4;0;0;0;4.158
"=""07:15""";15;108;0;124;1;15;0;16;4.158
"=""07:30""";61;554;8;622;7;61;0;68;4.158
"=""07:45""";161;58;2;221;2;161;52;215;4.158
"=""08:00""";173;0;1;173;1;173;364;537;4.158
"=""08:15""";211;93;5;309;5;211;491;707;4.158
"=""08:30""";178;100;4;283;3;178;323;504;4.158
"=""08:45""";245;2.088;112;2.445;10;245;36;291;4.158
"=""09:00""";280;1.451;38;1.769;26;280;151;457;4.158
"=""09:15""";232;0;11;243;12;232;681;926;4.158
"=""09:30""";222;0;10;232;10;222;807;1.039;4.158
"=""09:45""";447;324;5;776;4;447;401;852;4.158
"=""10:00""";566;305;4;874;6;566;390;962;4.158
"=""10:15""";105;0;1;106;1;105;463;569;4.158
"=""10:30""";95;0;10;104;13;95;1.522;1.629;4.158
"=""10:45""";93;0;3;96;4;93;1.327;1.424;4.158
"=""11:00""";98;0;4;102;3;98;1.244;1.345;4.158
"=""11:15""";96;0;2;98;2;96;882;980;4.158
"=""11:30""";98;0;10;108;129;98;1.589;1.816;4.158
"=""11:45""";77;0;1;78;2;77;707;786;4.158
"=""12:00""";90;0;20;110;37;90;1.943;2.071;4.158
"=""12:15""";341;112;29;482;67;341;849;1.257;4.158
