 ;Direktverbrauch / Mittelwerte [W] ;Batterieentladung / Mittelwerte [W] ;Netzbezug / Mittelwerte [W] ;Gesamtverbrauch / Mittelwerte [W] ;Netzeinspeisung / Mittelwerte [W] ;Direktverbrauch / Mittelwerte [W]  ;Batterieladung / Mittelwerte [W]  ;PV-Erzeugung / Mittelwerte [W]  ;Begrenzung der Wirkleistungseinspeisung / Mittelwerte [W]  
"=""12:30""";140;0;30;170;941;140;3.079;4.160;4.158
"=""12:45""";103;0;19;122;184;103;1.599;1.886;4.158
"=""13:00""";502;0;1;502;2.213;502;39;2.754;4.158
"=""13:15""";108;0;0;108;1.161;108;0;1.269;4.158
"=""13:30""";85;0;0;85;2.124;85;0;2.209;4.158
"=""13:45""";394;0;0;394;1.797;394;0;2.191;4.158
"=""14:00""";422;0;0;422;2.009;422;0;2.431;4.158
"=""14:15""";69;0;0;69;886;69;0;955;4.158
"=""14:30""";155;0;0;155;1.404;155;0;1.559;4.158
"=""14:45""";179;0;0;179;532;179;0;711;4.158
"=""15:00""";174;0;0;174;1.161;174;0;1.335;4.158
"=""15:15""";279;0;0;279;1.472;279;0;1.751;4.158
"=""15:30""";263;0;0;263;1.973;263;0;2.236;4.158
"=""15:45""";202;0;2;205;1.648;202;190;2.040;4.158
"=""16:00""";196;0;0;196;1.397;196;1;1.594;4.158
"=""16:15""";159;0;0;159;1.617;159;0;1.776;4.158
"=""16:30""";69;0;0;69;1.198;69;0;1.267;4.158
"=""16:45""";46;0;0;46;1.468;46;0;1.514;4.158
"=""17:00""";93;0;0;93;1.369;93;0;1.462;4.158
"=""17:15""";65;0;0;65;1.027;65;0;1.092;4.158
"=""17:30""";93;0;0;93;880;93;0;973;4.158
"=""17:45""";170;0;0;170;842;170;0;1.012;4.158
"=""18:00""";160;0;0;160;808;160;0;968;4.158
"=""18:15""";179;0;0;179;645;179;0;824;4.158
"=""18:30""";169;0;2;171;403;169;198;769;4.158
"=""18:45""";188;0;0;188;493;188;2;683;4.158
"=""19:00""";150;0;0;150;376;150;0;526;4.158
"=""19:15""";162;269;43;473;98;162;1;260;4.158
"=""19:30""";113;766;101;980;67;113;0;180;4.158
"=""19:45""";80;86;24;190;24;80;51;155;4.158
"=""20:00""";121;124;5;249;4;121;1;125;4.158
"=""20:15""";86;167;2;255;2;86;0;88;4.158
"=""20:30""";54;218;2;273;1;54;0;55;4.158
"=""20:45""";16;259;2;278;2;16;0;18;4.158
"=""21:00""";0;276;3;276;3;0;0;0;4.158
"=""21:15""";0;301;4;302;3;0;0;0;4.158
"=""21:30""";0;288;2;288;2;0;0;0;4.158
"=""21:45""";0;234;3;234;3;0;0;0;4.158
"=""22:00""";0;233;4;233;4;0;0;0;4.158
"=""22:15""";0;529;5;528;6;0;0;0;4.158
"=""22:30""";0;143;0;142;1;0;0;0;4.158
"=""22:45""";0;141;1;141;1;0;0;0;4.158
"=""23:00""";0;184;3;185;2;0;0;0;4.158
"=""23:15""";0;144;0;144;1;0;0;0;4.158
"=""23:30""";0;130;1;130;0;0;0;0;4.158
"=""23:45""";0;127;0;127;0;0;0;0;4.158
"=""00:00""";0;108;0;108;0;0;0;0;4.158
