 ;Direktverbrauch / Mittelwerte [W] ;Batterieentladung / Mittelwerte [W] ;Netzbezug / Mittelwerte [W] ;Gesamtverbrauch / Mittelwerte [W] ;Netzeinspeisung / Mittelwerte [W] ;Direktverbrauch / Mittelwerte [W]  ;Batterieladung / Mittelwerte [W]  ;PV-Erzeugung / Mittelwerte [W]  ;Begrenzung der Wirkleistungseinspeisung / Mittelwerte [W]  
"=""00:15""";0;219;3;218;4;0;0;0;4.158
"=""00:30""";0;170;3;170;3;0;0;0;4.158
"=""00:45""";0;183;2;183;2;0;0;0;4.158
"=""01:00""";0;174;1;174;2;0;0;0;4.158
"=""01:15""";0;139;1;140;1;0;0;0;4.158
"=""01:30""";0;127;1;127;1;0;0;0;4.158
"=""01:45""";0;99;1;99;1;0;0;0;4.158
"=""02:00""";0;94;0;94;0;0;0;0;4.158
"=""02:15""";0;89;1;89;1;0;0;0;4.158
"=""02:30""";0;73;1;73;0;0;0;0;4.158
"=""02:45""";0;123;0;122;1;0;0;0;4.158
"=""03:00""";0;69;1;69;1;0;0;0;4.158
"=""03:15""";0;78;1;78;1;0;0;0;4.158
"=""03:30""";0;94;1;94;0;0;0;0;4.158
"=""03:45""";0;101;0;101;1;0;0;0;4.158
"=""04:00""";0;96;1;96;1;0;0;0;4.158
"=""04:15""";0;89;1;89;1;0;0;0;4.158
"=""04:30""";0;88;0;88;1;0;0;0;4.158
"=""04:45""";0;58;1;58;0;0;0;0;4.158
"=""05:00""";0;65;1;65;1;0;0;0;4.158
"=""05:15""";0;122;0;122;1;0;0;0;4.158
"=""05:30""";0;78;1;78;1;0;0;0;4.158
"=""05:45""";0;69;1;69;0;0;0;0;4.158
"=""06:00""";0;95;1;95;1;0;0;0;4.158
"=""06:15""";13;78;0;92;1;13;0;14;4.158
"=""06:30""";84;0;15;99;1;84;19;103;4.158
"=""06:45""";120;0;3;123;6;120;14;140;4.158
"=""07:00""";214;169;4;388;4;214;138;356;4.158
"=""07:15""";188;28;112;329;158;188;12;358;4.158
"=""07:30""";161;553;12;726;32;161;187;380;4.158
"=""07:45""";129;0;1;130;1;129;423;553;4.158
"=""08:00""";110;18;5;133;4;110;325;440;4.158
"=""08:15""";78;0;3;81;3;78;858;939;4.158
"=""08:30""";107;0;2;109;2;107;763;871;4.158
"=""08:45""";99;0;1;100;2;99;383;484;4.158
"=""09:00""";111;0;1;112;1;111;386;497;4.158
"=""09:15""";115;0;1;116;1;115;315;431;4.158
"=""09:30""";105;0;1;106;1;105;184;290;4.158
"=""09:45""";92;0;1;92;1;92;426;519;4.158
"=""10:00""";85;0;1;87;2;85;653;740;4.158
"=""10:15""";129;0;3;133;6;129;1.103;1.238;4.158
"=""10:30""";43;0;14;57;51;43;1.909;2.002;4.158
"=""10:45""";79;0;2;81;2;79;817;898;4.158
"=""11:00""";80;0;1;81;495;80;916;1.491;4.158
"=""11:15""";114;0;0;114;923;114;0;1.036;4.158
"=""11:30""";118;0;0;118;1.027;118;0;1.145;4.158
"=""11:45""";121;0;0;121;1.528;121;0;1.649;4.158
"=""12:00""";98;0;0;98;1.093;98;0;1.191;4.158
"=""12:15""";67;0;0;67;610;67;0;677;4.158
"=""12:30""";119;0;36;156;830;119;5;954;4.158
"=""12:45""";147;0;96;243;803;147;10;960;4.158
"=""13:00""";69;0;0;69;1.206;69;0;1.275;4.158
"=""13:15""";101;0;0;101;756;101;0;857;4.158
"=""13:30""";115;0;0;115;1.677;115;0;1.791;4.158
"=""13:45""";1.336;3;16;1.355;2.328;1.336;0;3.665;4.158
"=""14:00""";1.068;58;1;1.128;905;1.068;12;1.985;4.158
"=""14:15""";2.257;261;25;2.544;427;2.257;46;2.730;4.158
"=""14:30""";1.204;10;23;1.236;1.840;1.204;421;3.465;4.158
"=""14:45""";1.135;80;11;1.227;2.040;1.135;0;3.175;4.158
"=""15:00""";815;0;0;815;2.046;815;5;2.865;4.158
"=""15:15""";409;0;0;409;1.893;409;0;2.302;4.158
"=""15:30""";162;0;0;162;1.489;162;0;1.651;4.158
"=""15:45""";162;0;0;162;1.101;162;0;1.262;4.158
"=""16:00""";181;0;0;181;913;181;0;1.094;4.158
"=""16:15""";244;0;0;244;981;244;0;1.225;4.158
"=""16:30""";261;0;0;261;705;261;0;966;4.158
"=""16:45""";235;0;0;235;2.585;235;0;2.820;4.158
"=""17:00""";238;0;4;242;2.166;238;174;2.578;4.158
"=""17:15""";247;0;0;247;1.763;247;1;2.012;4.158
"=""17:30""";253;0;0;253;969;253;0;1.222;4.158
"=""17:45""";294;0;0;294;526;294;0;820;4.158
"=""18:00""";230;0;0;230;1.095;230;0;1.325;4.158
"=""18:15""";211;0;0;211;499;211;0;709;4.158
"=""18:30""";150;0;0;150;435;150;0;585;4.158
"=""18:45""";119;0;0;119;227;119;0;346;4.158
"=""19:00""";376;837;120;1.333;132;376;0;508;4.158
"=""19:15""";321;1.274;37;1.632;55;321;0;376;4.158
"=""19:30""";225;338;83;646;82;225;84;391;4.158
"=""19:45""";89;2;17;108;21;89;250;360;4.158
"=""20:00""";84;0;2;86;1;84;174;258;4.158
"=""20:15""";111;12;8;131;1;111;11;123;4.158
"=""20:30""";71;17;11;98;1;71;9;80;4.158
"=""20:45""";48;72;1;121;1;48;0;49;4.158
"=""21:00""";0;416;7;422;5;0;0;4;4.158
"=""21:15""";0;401;6;400;6;0;0;0;4.158
"=""21:30""";0;313;3;313;3;0;0;0;4.158
"=""21:45""";0;289;3;289;3;0;0;0;4.158
"=""22:00""";0;287;4;287;4;0;0;0;4.158
"=""22:15""";0;258;4;258;4;0;0;0;4.158
"=""22:30""";0;290;2;290;2;0;0;0;4.158
"=""22:45""";0;246;2;246;2;0;0;0;4.158
"=""23:00""";0;204;2;204;2;0;0;0;4.158
"=""23:15""";0;211;2;212;2;0;0;0;4.158
"=""23:30""";0;203;2;203;2;0;0;0;4.158
"=""23:45""";0;455;5;454;5;0;0;0;4.158
"=""00:00""";0;387;5;387;4;0;0;0;4.158
